	feature_id_timar	feature_mz_timar	feature_rt_timar	candidate_structure_molecular_formula_timar	candidate_library_timar	candidate_count_similarity_peaks_matched_timar	candidate_score_similarity_timar	candidate_structure_exact_mass_timar	candidate_structure_xlogp_timar	candidate_structure_inchikey_no_stereo_timar	candidate_structure_smiles_no_stereo_timar	candidate_structure_tax_cla_chemontid_timar	candidate_structure_tax_cla_03cla_timar	candidate_structure_tax_cla_04dirpar_timar	candidate_structure_tax_npc_01pat_timar	candidate_structure_tax_npc_02sup_timar	candidate_structure_tax_npc_03cla_timar	candidate_structure_organism_occurrence_closest_timar	candidate_structure_organism_occurrence_reference_timar	candidate_structure_error_mz_timar	candidate_structure_error_rt_timar	rank_initial_timar	rank_final_timar	score_initial_timar	score_biological_timar	score_chemical_timar	score_final_timar	first_score_final_timar
153	154	344.1862324872728	2.604675	C20H25NO4|C20H25NO4|C20H25NO4	ISDB|ISDB|ISDB	104|56|68	0.0600235015153885|0.207760378718376|0.207478180527687	343.17836|343.17836|343.17836	3.1897|3.2793|3.1897	VCPVGXBVJATFMB|YDCQKNFVLHDJKY|MPYHGNAJOKCMAQ	COc1cc2c(c(OC)c1OC)CCN(C)C2Cc1ccc(O)cc1|COc1ccc(CN2CCc3cc(OC)c(OC)cc3C2)cc1OC|COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C)cc1O	0000054|0000054|0000054	Isoquinolines and derivatives|Isoquinolines and derivatives|Isoquinolines and derivatives	Benzylisoquinolines|Benzylisoquinolines|Benzylisoquinolines	Alkaloids|Alkaloids|Alkaloids	Tyrosine alkaloids|Tyrosine alkaloids|Tyrosine alkaloids	Isoquinoline alkaloids $ Tetrahydroisoquinoline alkaloids|Isoquinoline alkaloids|Isoquinoline alkaloids $ Tetrahydroisoquinoline alkaloids	Ranunculaceae|Ranunculales|Ranunculales	10.1021/NP50021A011 $ 10.1016/S0040-4039(01)99545-0|10.1007/BF00631016 $ 10.1007/BF00631020|10.1248/CPB.45.470 $ 10.1021/NP960381N $ 10.1016/S0031-9422(03)00240-1 $ 10.1080/10575639308043881 $ 10.1016/J.PHYTOL.2011.11.001 $ 10.1073/PNAS.0405704101	-0.000565719999997327|-0.000565719999997327|-0.000565719999997327	||	21|2|3	1|2|3	0.0600235015153885|0.207760378718376|0.207478180527687	0.6|0.5|0.5	1|1|1	0.486474300304929|0.485669875989208|0.485575809925645	0.486474300304929
154	155	406.1646722969441	2.6055917999999996	C24H23NO5|C24H23NO5|C24H23NO5|C24H23NO5	ISDB|ISDB|ISDB|ISDB	21|22|27|26	0|0.00243094936013222|0|0	405.15762|405.15762|405.15762|405.15762	4.7227|3.6971|4.334|4.7227	VGTQLFWIJIABSU|AUWKBILYNITFJV|IMZDPAOUNINERM|OLYNXAXGZUKQDD	COc1ccc2c(c1OC)C(CC(C)=O)N(C)c1c-2ccc2cc3c(cc12)OCO3|COCC1C=Cc2c(c3ccccc3n(C)c2=O)C1c1cc2c(cc1OC)OCO2|COc1ccc2c(c1OC)-c1cc(CC(C)=O)c3cc4c(cc3c1N(C)C2)OCO4|COc1cc2c(cc1OC)C(CC(C)=O)N(C)c1c-2ccc2cc3c(cc12)OCO3	0002667|0000100|0000100|0000100	Benzophenanthridine alkaloids|Quinolines and derivatives|Quinolines and derivatives|Quinolines and derivatives	Dihydrobenzophenanthridine alkaloids|Phenanthridines and derivatives|Phenanthridines and derivatives|Phenanthridines and derivatives	Alkaloids|Shikimates and Phenylpropanoids|Alkaloids|Alkaloids	Tyrosine alkaloids|Coumarins|Tyrosine alkaloids|Tyrosine alkaloids	Isoquinoline alkaloids|Furocoumarins|Isoquinoline alkaloids|Isoquinoline alkaloids	Ranunculales|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1055/S-2003-37710 $ 10.1080/14786419.2014.953497|10.1016/J.TET.2012.01.007|10.1016/J.BMC.2005.07.050|10.1080/10286020.2011.572878 $ 10.1002/RCM.3045 $ 10.1016/S0031-9422(00)00402-7 $ 10.1055/S-2003-38882	0.000198836000038227|0.000198836000038227|0.000198836000038227|0.000198836000038227	|||	12|9|12|12	1|2|3|3	0|0.00243094936013222|0|0	0.5|0.4|0.4|0.4	0.75|1|1|1	0.374874874874875|0.367176682819744|0.366366366366366|0.366366366366366	0.374874874874875
155	156	539.1982860459483	2.612333	C25H32NO12|C22H34O15|C25H32NO12+	ISDB|ISDB|ISDB	87|102|54	0.067964032292366|0.0408563539385796|0.0289412718266249	538.19245|538.18977|538.1919	-1.44471|-4.415|-1.6741	MPWHMYZPTQZGPC|XCXZPJYVZYGBQA|FPYKDTSNMCSLIB	C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1C=CC1=CC(C(=O)O)=CN(CCO)[CH]1|CC1C(O)CC2C(C(=O)O)=COC(OC3OC(COC4OC(CO)C(O)C(O)C4O)C(O)C(O)C3O)C21|C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1C=Cc1cc(C(=O)O)c[n+](CCO)c1	0002049|0004081|0002049	Prenol lipids|Prenol lipids|Prenol lipids	Terpene glycosides|Iridoid O-glycosides|Terpene glycosides	Terpenoids|Terpenoids|Alkaloids $ Terpenoids	Monoterpenoids|Monoterpenoids|Nicotinic acid alkaloids $ Monoterpenoids	Secoiridoid monoterpenoids|Iridoids monoterpenoids|Pyridine alkaloids $ Secoiridoid monoterpenoids	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1021/NP800040K|10.1016/0031-9422(95)00904-3 $ 10.1016/S0031-9422(00)00417-9|10.1021/NP800040K	0.00142646399990554|-0.0012536120001414|0.00087788408995948	||	3|6|7	1|2|3	0.067964032292366|0.0408563539385796|0.0289412718266249	0.4|0.4|0.4	1|1|1	0.389021043797155|0.37998515101256|0.376013456975241	0.389021043797155
156	157	293.11631085192965	2.6280334	C14H16N2O5|C12H20O8|C19H16O3	ISDB|ISDB|ISDB	13|9|11	0.101788185536861|0.0229692310094833|0.042216569185257	292.10592|292.11582|292.10994	0.395|-2.2455|4.64592	DBJBAGUZUMGDCA|GDSQVKRZOYJXNE|JAZVSCKRKREELH	O=C(OCC1=CCOC1N1C(=O)CCC1O)c1ccc[nH]1|CC1(C)COC(=O)C1OCC1OC(O)C(O)C(O)C1O|COc1c(C(=O)C=Cc2ccc(C)cc2)ccc2occc12	0002554|0001245|0003542	Pyrroles|Lactones|Linear 1,3-diarylpropanoids	Pyrrole carboxylic acids and derivatives|Gamma butyrolactones|Furanochalcones	Alkaloids|Terpenoids|Shikimates and Phenylpropanoids	Ornithine alkaloids|Monoterpenoids|Flavonoids	Pyrrolidine alkaloids|Secoiridoid monoterpenoids|Chalcones	Magnoliopsida|Streptophyta|Magnoliopsida	10.1021/NP200048U $ 10.1021/NP010330C|10.1007/S11418-009-0376-Y|10.1016/0031-9422(82)80177-5	-0.00310238800000207|0.00679359999998042|0.00092037199999595	||	1|20|5	1|2|3	0.101788185536861|0.0229692310094833|0.042216569185257	0.4|0.3|0.4	1|0.75|0.25	0.40029576154532|0.282431185111269|0.255813931470161	0.40029576154532
157	158	167.07017542281642	2.6374917	C9H10O3|C9H10O3|C9H10O3	MassBank - 2023.11|ISDB|ISDB	6|12|17	0.609360337257385|0.375365018844605|0.366478234529495	166.06299|166.06299|166.06299	1.6034|0.6746|1.4094	UILPJVPSNHJFIK|VOXXWSYKYCBWHO|NMHMNPHRMNGLLB	COc1ccc(C(C)=O)c(O)c1|O=C(O)C(O)Cc1ccccc1|O=C(O)CCc1ccc(O)cc1	0004298|0002551|0002551	Organooxygen compounds|Phenylpropanoic acids|Phenylpropanoic acids	Alkyl-phenylketones|Phenylpropanoic acids|Phenylpropanoic acids	Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids	notClassified|notClassified|notClassified	notClassified|notClassified|notClassified	Ranunculaceae|Magnoliopsida|Magnoliopsida	10.1080/14786410500182037|10.3390/METABO4030599 $ 10.1002/JCCS.199500076 $ 10.1016/J.BMCL.2011.04.043 $ 10.1007/S11418-009-0382-0 $ 10.1021/JF00070A011|10.1016/S0031-9422(99)00116-8 $ 10.1007/S10600-011-9915-3 $ 10.1007/S10600-011-9826-3 $ 10.1016/0031-9422(90)87143-I $ 10.1002/JCCS.200100177 $ 10.1002/JCCS.199900010 $ 10.1016/0031-9422(82)83018-5 $ 10.1016/S0731-7085(00)00272-7 $ 10.1002/PCA.924 $ 10.1016/J.PHYTOCHEM.2005.11.023 $ 10.1021/JF071110T $ 10.1016/B978-0-12-374420-3.00099-1 $ 10.1021/JF049847V $ 10.1016/J.PHYTOCHEM.2004.12.022 $ 10.1002/1099-1565(200101/02)12:1<43::AID-PCA546>3.0.CO;2-Z $ 10.1007/S11418-006-0122-7 $ 10.1248/CPB.49.1098 $ 10.1248/CPB.41.1346 $ 10.1016/S0031-9422(97)00306-3 $ 10.1002/CHEM.200701328 $ 10.1016/0308-8146(92)90223-O	7.05999999865981e-05|7.0179999966058e-05|7.01799999944797e-05	||	1|12|13	1|2|3	0.609360337257385|0.375365018844605|0.366478234529495	0.6|0.4|0.4	1|1|1	0.669586578885595|0.491488039314568|0.488525777876198	0.669586578885595
158	159	458.2754646082568	2.6367834	C29H35N3O2|C22H39N3O5S|C24H40ClNO5	ISDB|ISDB|ISDB	33|206|186	0.0128635298460722|0.0188898649066687|0.0590812787413597	457.27293|457.26104|457.2595	4.6769|2.4721|5.1918	VSBQPALPNZDMGB|ZCZWTLHIYPQBNJ|YLHIQMKJWXSOGP	C=CC(C)(C)c1[nH]c2c(CC=C(C)C)cc(CC=C(C)C)cc2c1C=c1nc(O)c(=C)[nH]c1=O|CSCCC(=O)C(NC(=O)C1CCCNN1C(=O)C(CCC(C)C)CC(=O)O)C(C)C|CCCCCCCC(CC=CCCC(=O)N(C)CC(=CCl)CC(=O)CC(=O)OC)OC	0002497|0003086|0001114	Indoles and derivatives|Fatty Acyls|Keto acids and derivatives	Indoles|Medium-chain fatty acids|Beta-keto acids and derivatives	Alkaloids $ Amino acids and Peptides|Amino acids and Peptides $ Shikimates and Phenylpropanoids|Amino acids and Peptides	Peptide alkaloids|Small peptides|Oligopeptides	Indole diketopiperazine alkaloids (L-Trp, L-Ala)|notClassified|Lipopeptides	Eukaryota||Eukaryota	10.1002/HLCA.201100255 $ 10.1021/NP070208Z||10.1021/NP0000365	0.00470335999995086|-0.0071816520000425|-0.00872294000009788	||	4|3|1	1|2|3	0.0128635298460722|0.0188898649066687|0.0590812787413597	0.1|0|0.1	0.75|0.666|0.25	0.178962517956699|0.116963288302223|0.111285351172045	0.178962517956699
159	160	233.0960353739537	2.63815	C4H6O5|C12H12N2O3|C12H12N2O3	MassBank - 2023.11|ISDB|ISDB	1|8|16	0|0.0249108672142029|0.0115741519257426	134.02152|232.08479|232.08479	-1.0934|0.8422|0.8422	BJEPYKJPYRNKOW|NGDYJMRDTKUQCH|MLGIKNSFMKMAAB	O=C(O)CC(O)C(=O)O|COc1cccc2c(=O)n3c(nc12)C(O)CC3|COc1ccc2nc3n(c(=O)c2c1)CCC3O	0001713|0000485|0000485	Hydroxy acids and derivatives|Diazanaphthalenes|Diazanaphthalenes	Beta hydroxy acids and derivatives|Quinazolines|Quinazolines	Fatty acids|Alkaloids|Alkaloids	Fatty Acids and Conjugates|Anthranilic acid alkaloids|Anthranilic acid alkaloids	Dicarboxylic acids $ Hydroxy fatty acids|Quinazoline alkaloids|Quinazoline alkaloids	Ranunculales|Magnoliopsida|Magnoliopsida	10.1002/(SICI)1099-1565(199901/02)10:1<6::AID-PCA431>3.0.CO;2-0 $ 10.1515/BCHM2.1924.138.3-6.156|10.1016/0031-9422(96)00120-3|10.1016/0031-9422(96)00120-3	0.00638000000000716|-0.00393175600001428|-0.00393175600001428	||	20|7|15	1|2|3	0|0.0249108672142029|0.0115741519257426	0.5|0.4|0.4	1|1|1	0.416416416416416|0.374669988771101|0.370224417008281	0.416416416416416
160	161	569.5757476032175	2.63815																									
161	162	317.1375538036972	2.6414162999999995	C18H20O5|C18H20O5|C18H20O5	ISDB|ISDB|ISDB	95|59|63	0.103095069527626|0.140252113342285|0.132158920168877	316.13107|316.13107|316.13107	2.5602|3.7568|3.199	GVAHPQGSIBNUKI|JGZFQFJWEJLXHI|COFCMLKODGVUBA	CC1CCC2(O)C=CC(=O)CC2C12CC(c1ccoc1)OC2=O|COc1c2c(c(C=O)c3c(COC(C)=O)coc13)C(C)CCC2|COc1cc(CCCOC(=O)c2ccccc2)cc(OC)c1O	0004325|0003655|0001350	Organooxygen compounds|Prenol lipids|Benzene and substituted derivatives	Cyclohexenones|Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids|Benzoic acid esters	Terpenoids|Terpenoids|Shikimates and Phenylpropanoids	Diterpenoids|Sesquiterpenoids|Phenolic acids (C6-C1)	Colensane and Clerodane diterpenoids|notClassified|Simple phenolic acids	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/S0031-9422(02)00516-2|10.1016/0031-9422(90)80179-K|10.1007/S10600-012-0126-3 $ 10.1248/CPB.54.262	0.000749740000003385|0.000749740000003385|0.000749740000003385	||	72|34|39	1|2|3	0.103095069527626|0.140252113342285|0.132158920168877	0.4|0.4|0.4	1|0.75|0.666	0.400731389542242|0.371575529272253|0.354919840256492	0.400731389542242
162	163	173.13352611311086	2.6432580000000003	C13H16|C13H16|C13H16	ISDB|ISDB|ISDB	30|22|29	0.266012966632843|0.265535891056061|0.142834722995758	172.1252|172.1252|172.1252	3.9293|3.82384|3.3157	PMRJYBALQVLLSJ|YJFOZRTWRVNHOG|MFZNVKQCISUNOK	CCC1=CC2=C(C)CCC2=CC=C1|Cc1ccc(C)c2c1C=CCC2C|C=CCC=CCC#CC#CCCC	0004622|0000023|0002845	Unsaturated hydrocarbons|Naphthalenes|Unsaturated hydrocarbons	Branched unsaturated hydrocarbons|Naphthalenes|Alkatriynes	|Terpenoids|Fatty acids	|Sesquiterpenoids|Fatty acyls	|Cadinane sesquiterpenoids|Fatty alcohols	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/0031-9422(89)80380-2|10.1016/J.BSE.2016.02.030|10.1002/JLAC.198319830514	-0.0010234880000155|-0.0010234880000155|-0.0010234880000155	||	2|3|8	1|2|3	0.266012966632843|0.265535891056061|0.142834722995758	0.4|0.4|0.4	1|1|0.75	0.455037355243981|0.45487833005172|0.372436399156744	0.455037355243981
163	164	191.14343149056614	2.6434164	C13H18O|C13H18O|C13H18O	ISDB|ISDB|ISDB	34|25|41	0.186857596039772|0.155118018388748|0.144996628165245	190.13577|190.13577|190.13577	2.91914|2.9579|3.124	RJLAJQDKXWWUNG|PSJUKNBMBYBQSO|KTDAEZJBJUWAPC	Cc1ccc(C)c2c1CCC(C)C2O|C=C1C(=O)C2CCC(C)C23CCC1C3|CC1C(=O)C=C2C(C)(C)CC=CC21C	0000048|0000118|0003487	Tetralins|Organooxygen compounds|Organooxygen compounds	Tetralins|Ketones|Cyclic ketones	Terpenoids|Terpenoids|Terpenoids	Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids	Cadinane sesquiterpenoids|notClassified|Hirsutane sesquiterpenoids	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/J.CHROMA.2004.03.057|10.1002/(SICI)1099-1026(200003/04)15:2<61::AID-FFJ865>3.0.CO;2-S|10.1021/JO00354A016	-0.000358804000001101|-0.000358804000001101|-0.000358804000001101	||	7|11|12	1|2|3	0.186857596039772|0.155118018388748|0.144996628165245	0.4|0.4|0.4	1|1|1	0.428652231712957|0.418072372495949|0.414698575754781	0.428652231712957
164	165	161.0602386711382	2.6538967999999996	C10H8O2|C10H8O2|C10H8O2	ISDB|ISDB|ISDB	19|16|17	0.550098598003388|0.467080801725388|0.452635318040848	160.05243|160.05243|160.05243	2.251|2.251|2.251	JRNGUTKWMSBIBF|FZZQNEVOYIYFPF|DFQICHCWIIJABH	Oc1cc2ccccc2cc1O|Oc1ccc2c(O)cccc2c1|Oc1ccc2ccc(O)cc2c1	0002441|0002441|0002441	Naphthalenes|Naphthalenes|Naphthalenes	Naphthols and derivatives|Naphthols and derivatives|Naphthols and derivatives	Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids	Phenanthrenoids|Phenanthrenoids|Phenanthrenoids	Phenanthrenes|Phenanthrenes|Phenanthrenes	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1007/S13765-012-1162-1|10.1007/S13765-012-1162-1|10.1007/S13765-012-1162-1	-0.000494504000016605|-0.000494504000016605|-0.000494504000016605	||	1|3|5	1|2|3	0.550098598003388|0.467080801725388|0.452635318040848	0.4|0.4|0.4	1|1|1	0.549732565700829|0.522059966941496|0.517244805713316	0.549732565700829
165	166	521.2018099961944	2.6537251	C26H32O11|C26H32O11|C26H32O11	ISDB|ISDB|ISDB	264|252|146	0.0327403545379639|0.269940823316574|0.0766573995351791	520.19446|520.19446|520.19446	0.6633|0.2576|-0.0296	QLJNETOQFQXTLI|SJBXTBSLCWEDAI|RYQGXMHEFILHCV	COc1cc(C2OCC3C(c4ccc(OC5OC(CO)C(O)C(O)C5O)c(OC)c4)OCC23)ccc1O|COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2OC(=O)C=Cc2ccccc2)C2C1CCC2(C)O|OCC(Cc1ccc2c(c1)OCO2)C(COC1OC(CO)C(O)C(O)C1O)Cc1ccc2c(c1)OCO2	0001511|0004081|0001511	Lignan glycosides|Prenol lipids|Lignan glycosides	Lignan glycosides|Iridoid O-glycosides|Lignan glycosides	Shikimates and Phenylpropanoids|Terpenoids|Shikimates and Phenylpropanoids	Lignans|Monoterpenoids|Lignans	Furofuranoid lignans|Iridoids monoterpenoids|Arylnaphthalene and aryltetralin lignans $ Dibenzylbutane lignans	Clematis|Magnoliopsida|Magnoliopsida	10.1515/ZNB-2007-0615|10.1016/S0031-9422(00)81110-3|10.1016/S0031-9422(99)00457-4	-6.21560001263788e-05|-6.2156000012692e-05|-6.21560001263788e-05	||	28|1|7	1|2|3	0.0327403545379639|0.269940823316574|0.0766573995351791	0.8|0.4|0.4	1|0.75|1	0.577480018079221|0.414805099263683|0.391918832878093	0.577480018079221
166	167	431.77328664891127	2.65675																									
167	168	540.2589220162948	2.656225	C30H37NO8|C30H37NO8|C32H33N3O5	ISDB|ISDB|ISDB	83|95|40	0.0563135072588921|0.0416114330291748|0.0190841071307659	539.25192|539.25192|539.24202	2.4073|2.2632|3.6071	UPAIGGMQTARRMN|CUWDQBAYWDKQOB|JQCPNMVQVYXZII	CNc1ccccc1C(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O|CNc1ccccc1C(=O)OC1C(C)C2(O)C3C=C(C)C(=O)C3C(O)C(CO)=CC2C2C(C)(C)C12OC(C)=O|CC(C)C1Oc2ccc(cc2)C=CNC(=O)C(C(O)c2ccccc2)NC(=O)C1NC(=O)C=Cc1ccccc1	0002906|0002875|0001995	Prenol lipids|Prenol lipids|Carboxylic acids and derivatives	Phorbol esters|Tigliane and ingenane diterpenoids|Cyclic peptides	Terpenoids|Terpenoids|Alkaloids $ Amino acids and Peptides	Diterpenoids|Diterpenoids|Peptide alkaloids	Tetracyclic diterpenoids $ Tigliane diterpenoids|Tetracyclic diterpenoids $ Tigliane diterpenoids|Ansa peptide alkaloids	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1021/NP50018A021|10.1021/NP0204489 $ 10.1016/0031-9422(81)85279-X|10.1016/J.PHYTOCHEM.2004.02.006 $ 10.1016/J.PHYTOCHEM.2011.02.019 $ 10.1016/0031-9422(74)80259-1	0.000293143999897438|0.000293143999897438|-0.0096028440000282	||	1|3|9	1|2|3	0.0563135072588921|0.0416114330291748|0.0190841071307659	0.4|0.4|0.4	1|1|0.25	0.385137535452664|0.380236844042758|0.24810311078533	0.385137535452664
168	169	442.0924473889789	2.6589499	C22H19NO7S|C22H19NO7S|C18H20ClN3O6S	ISDB|ISDB|ISDB	64|35|41	0.00850915163755417|0.00847696326673031|0.00951662473380566	441.08822|441.08822|441.07613	2.2066|2.2066|	LDGLARZBIFFBOX|VNBMBKJPEWZCPD|LAINHQWJVLEZJU	CC12CCCc3coc(c31)C(=O)c1cc3c(cc12)C(=O)C(NCCS(=O)(=O)O)=CC3=O|CC12CCCc3coc(c31)C(=O)c1cc3c(cc12)C(=O)C=C(NCCS(=O)(=O)O)C3=O|C=C1C(=O)N2C3Nc4c(cc(Cl)c(OC)c4OC)C3(O)C(O)C2(SC)C(=O)N1C	0000151|0000151|	Anthracenes|Anthracenes|	Anthraquinones|Anthraquinones|	Polyketides|Polyketides|	Naphthalenes|Naphthalenes|	Naphthoquinones|Naphthoquinones|	Eukaryota|Eukaryota|	10.1021/JM00022A016|10.1021/JM00022A016|	0.00309894799988797|0.00309894799988797|-0.00898996000006491	||	2|3|1	1|2|3	0.00850915163755417|0.00847696326673031|0.00951662473380566	0.1|0.1|0	1|1|0	0.219052600095401|0.21904187063846|0.00317220824460189	0.219052600095401
169	170	411.16229054783895	2.6601138	C20H26O9|C20H26O9|C20H26O9	ISDB|ISDB|ISDB	11|7|5	0.0597185380756855|0.0558124221861363|0.00333799119107425	410.15768|410.15768|410.15768	0.6128|0.6128|0.1792	VNLREARKISTOAD|QUFCCGRKFRVUOJ|ADZBWASOZUDACU	CCCCOC(=O)C1(O)CC(O)C(O)C(OC(=O)C=Cc2ccc(O)c(O)c2)C1|CCCCOC(=O)C1(OC(=O)C=Cc2ccc(O)c(O)c2)CC(O)C(O)C(O)C1|CC1=C2C(=O)OC(c3ccoc3)C2(C)CCC1OC1OC(CO)C(O)C(O)C1O	0002512|0002512|0002207	Organooxygen compounds|Organooxygen compounds|Organooxygen compounds	Quinic acids and derivatives|Quinic acids and derivatives|O-glycosyl compounds	Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Terpenoids	Phenylpropanoids (C6-C3)|Phenylpropanoids (C6-C3)|notClassified	Cinnamic acids and derivatives|Cinnamic acids and derivatives|notClassified	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1021/NP030217H $ 10.1021/NP030440E $ 10.1248/CPB.45.367 $ 10.1016/J.FOODCHEM.2009.04.112 $ 10.1016/J.PHYTOCHEM.2008.11.006 $ 10.1016/0031-9422(92)80344-E $ 10.1016/0031-9422(91)84144-H $ 10.1080/14786419.2011.586638 $ 10.1016/J.JPBA.2008.09.037 $ 10.1007/S13659-014-0041-3|10.1016/0031-9422(91)84144-H|10.1021/NP070588O	0.00265841199990291|0.00265841199990291|0.00265841199990291	||	1|2|21	1|2|3	0.0597185380756855|0.0558124221861363|0.00333799119107425	0.4|0.4|0.4	1|1|0.75	0.386272545724928|0.384970507095078|0.325937488555183	0.386272545724928
170	171	209.11775936259426	2.6622437999999997	C12H16O3|C12H16O3|C12H16O3	ISDB|ISDB|ISDB	41|39|54	0.327443927526474|0.232065156102181|0.336483061313629	208.10994|208.10994|208.10994	2.4926|1.8964|1.7193	HMXTZCIRHDYWJK|QUQDYOKYXXSYLD|AACLWACKHXOGDA	CCCCOc1cccc(CC(=O)O)c1|CC(CO)CCOc1ccc(C=O)cc1|CC1CC2OC(=O)C(C)C2CC=C1C=O	0002341|0002341|0001245	Phenol ethers|Phenol ethers|Lactones	Phenol ethers|Phenol ethers|Gamma butyrolactones	Polyketides|Shikimates and Phenylpropanoids|Terpenoids	notClassified|notClassified|Sesquiterpenoids	notClassified|notClassified|Germacrane sesquiterpenoids	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/0031-9422(91)80102-7|10.1021/NP800689B $ 10.1055/S-0029-1234991|10.1021/NP500951S	-0.000579627999997001|-0.000579627999997001|-0.000579627999997001	||	22|60|20	1|2|3	0.327443927526474|0.232065156102181|0.336483061313629	0.4|0.4|0.4	1|1|0.75	0.475514342208524|0.443721418400427|0.436985845262701	0.475514342208524
171	172	409.112331356228	2.6615333999999997	C19H20O10|C17H20N4O6S|C19H20O10	ISDB|ISDB|ISDB	348|84|169	0.154397130012512|0.00820662174373865|0.133220016956329	408.10565|408.11036|408.10565	0.1845|1.8059|-0.7451	AEVPZPZLCJZOJP|LVWXLDIUXWCXAE|BZYKNVLTMWYEFA	COc1cc2c(oc3cccc(O)c32)c(OC2OC(CO)C(O)C(O)C2O)c1O|CC1(COc2ccc(S(=O)(=O)N3CCCC3)cc2)Cn2cc([N+](=O)[O-])nc2O1|O=C(c1ccc(O)cc1)c1c(O)cc(O)c(C2OC(CO)C(O)C(O)C2O)c1O	0004165|0000031|0004165	Organooxygen compounds|Benzene and substituted derivatives|Organooxygen compounds	Phenolic glycosides|Benzenesulfonamides|Phenolic glycosides	Shikimates and Phenylpropanoids|Alkaloids|Polyketides	Xanthones|notClassified|Phloroglucinols	Plant xanthones|notClassified|Acyl phloroglucinols	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1248/CPB.56.439|10.1021/NP050028U|10.1016/J.PHYTOCHEM.2010.11.025	0.000622839999891767|0.00533136000001377|0.000622839999891767	||	4|31|6	1|2|3	0.154397130012512|0.00820662174373865|0.133220016956329	0.4|0.4|0.4	0.5|0.75|0.333	0.334748993287454|0.327560365406071|0.29994020585231	0.334748993287454
172	173	191.10689739542943	2.6625473	C12H14O2|C12H14O2|C12H14O2	ISDB|ISDB|ISDB	22|27|19	0.265791088342667|0.299095273017883|0.251130074262619	190.09938|190.09938|190.09938	2.8935|2.2414|1.9126	RWMKYKAUOZVIIN|GKUKTHQBDFSPNV|POFUIXIUNQEQNM	CCC=CCc1ccccc1C(=O)O|CC=CC=CC#CC=CCOC(C)=O|CC=CC#CC#CCCCOC(C)=O	0002565|0001722|0001722	Benzene and substituted derivatives|Fatty Acyls|Fatty Acyls	Benzoic acids|Fatty alcohol esters|Fatty alcohol esters	Shikimates and Phenylpropanoids|Fatty acids|Fatty acids	Phenolic acids (C6-C1)|Fatty esters|Fatty esters	Simple phenolic acids|Wax monoesters|Wax diesters $ Wax monoesters	Ranunculaceae|Magnoliopsida|Magnoliopsida	10.1021/JF990354D|10.1016/S0031-9422(00)82737-5 $ 10.1002/CBER.19650980207|10.1002/CBER.19660990231	-0.00024431200000663|-0.00024431200000663|-0.00024431200000663	||	12|4|17	1|2|3	0.265791088342667|0.299095273017883|0.251130074262619	0.6|0.4|0.4	1|0.75|0.75	0.555063495914022|0.424523249164119|0.408534849579031	0.555063495914022
