ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis viticella	GNPSGROUP:cdhrc	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60124.21	60124.21	0.0	120248.42	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17","main.cluster index_upperinput":"17"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5778	0.5778	0	N/A	N/A	120248.42	1	17	-1	 	1	174.8962	1	174.8962	120248.42
Clematis	jbuf,cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39289.00465	39289.00465	697.2593	77880.75	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18","main.cluster index_upperinput":"18"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5897	0.5897	0	N/A	N/A	78578.0093	2	18	-1	 	2	221.1863	1	221.1863	78578.0093
Clematis	jbuf,cdhrc	Clematis viticella	 	 	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	415135.6	415135.6	39980.6	790290.6	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"19","main.cluster index_upperinput":"19"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5897	0.5897	0	N/A	N/A	830271.2	2	19	-1	 	2	184.0373	1	184.0373	830271.2
Clematis	jbuf,cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41375.2655	41375.2655	63518.285	19232.246	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"20","main.cluster index_upperinput":"20"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5897	0.5897	0	N/A	N/A	82750.531	2	20	-1	 	2	268.9825	1	268.9825	82750.531
Clematis	cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46290.12	46290.12	92580.24	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21","main.cluster index_upperinput":"21"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5913	0.5913	0	N/A	N/A	92580.24	1	21	-1	 	1	445.0868	1	445.0868	92580.24
BK	nan	BK	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	24678.102000000006	0.0	0.0	0.0	0.0	24678.102000000006	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22","main.cluster index_upperinput":"22"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5948	0.5948	0	N/A	N/A	24678.102000000006	1	22	-1	 	1	203.0524	1	203.0524	24678.102000000006
Clematis	jbuf,cdhrc	Clematis viticella	 	 	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5214132.9	5214132.9	2517442.8	7910823.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23","main.cluster index_upperinput":"23"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5952	0.5952	0	N/A	N/A	10428265.8	2	23	-1	 	2	219.0268	1	219.0268	10428265.8
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110097.4	110097.4	0.0	220194.8	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24","main.cluster index_upperinput":"24"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5990	0.5990	0	N/A	N/A	220194.8	1	24	40	 	1	545.1639	2	273.0820	220194.8
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100095.47	100095.47	0.0	200190.94	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25","main.cluster index_upperinput":"25"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5990	0.5990	0	N/A	N/A	200190.94	1	25	-1	 	1	517.0122	1	517.0122	200190.94
Clematis	cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62068.867	62068.867	124137.734	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"26","main.cluster index_upperinput":"26"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=130&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.6021	0.6021	0	N/A	N/A	124137.734	1	26	130	 	1	399.0886	2	200.0443	124137.734
Clematis	jbuf,cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41336.738	41336.738	75041.586	7631.89	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"27","main.cluster index_upperinput":"27"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=130&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.6005	0.6005	0	N/A	N/A	82673.476	2	27	130	 	2	290.0763	1	290.0763	82673.476
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12340.827	12340.827	0.0	24681.654	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"28","main.cluster index_upperinput":"28"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.6097	0.6097	0	N/A	N/A	24681.654	1	28	20	 	1	146.0935	1	146.0935	24681.654
Clematis	jbuf,cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66658.3965	66658.3965	93022.75	40294.043	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29","main.cluster index_upperinput":"29"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=96&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.6113	0.6113	0	N/A	N/A	133316.793	2	29	96	 	2	249.0365	1	249.0365	133316.793
Clematis	cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46792.16	46792.16	93584.32	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"30","main.cluster index_upperinput":"30"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=108&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.6129	0.6129	0	N/A	N/A	93584.32	1	30	108	 	1	455.0121	1	455.0121	93584.32
Clematis	jbuf,cdhrc	Clematis viticella	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166993.58000000002	166993.58000000002	125395.44	208591.72	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31","main.cluster index_upperinput":"31"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6164	0.6164	0	N/A	N/A	333987.16000000003	2	31	-1	 	2	231.0268	1	231.0268	333987.16000000003
Clematis	jbuf,cdhrc	Clematis viticella	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234588.425	234588.425	300737.75	168439.1	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"32","main.cluster index_upperinput":"32"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=96&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.6167	0.6167	0	N/A	N/A	469176.85	2	32	96	 	2	293.0634	1	293.0634	469176.85
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	399590.8	399590.8	0.0	799181.6	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"33","main.cluster index_upperinput":"33"}	This Node is a Singleton	"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1"	CARNITINE	0.878936	 	0.6199	0.6199	0	C[N+](C)(C)C[C@@H](CC(=O)[O-])O	CCMSLIB00006678967	799181.6	1	33	-1	 	1	162.1126	1	162.1126	799181.6
BK,Clematis	nan,jbuf,cdhrc	BK,Clematis viticella	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	351.2506	8514297.5	8514297.5	960230.0	16068365.0	351.2506	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"34","main.cluster index_upperinput":"34"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.6223	0.6223	0	N/A	N/A	17028946.250600003	3	34	20	 	3	146.0812	1	146.0812	17028946.250600003
Clematis	jbuf,cdhrc	Clematis viticella	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8168053.6	8168053.6	3603065.2	12733042.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35","main.cluster index_upperinput":"35"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6218	0.6218	0	N/A	N/A	16336107.2	2	35	-1	 	2	381.0796	1	381.0796	16336107.2
Clematis	cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55164.435	55164.435	110328.87	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36","main.cluster index_upperinput":"36"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	CYTIDINE - 20.0 eV	0.886757	 	0.6237	0.6237	0	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	CCMSLIB00005883634	110328.87	1	36	5	 	1	244.0929	1	244.0929	110328.87
Clematis	jbuf,cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75051.4325	75051.4325	121456.84	28646.025	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"37","main.cluster index_upperinput":"37"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6218	0.6218	0	N/A	N/A	150102.865	2	37	-1	 	2	351.0688	1	351.0688	150102.865
Clematis	cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39794.285	39794.285	79588.57	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"38","main.cluster index_upperinput":"38"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=108&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.6237	0.6237	0	N/A	N/A	79588.57	1	38	108	 	1	455.1164	1	455.1164	79588.57
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218772.97	218772.97	0.0	437545.94	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"39","main.cluster index_upperinput":"39"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6303	0.6303	0	N/A	N/A	437545.94	1	39	-1	 	1	198.1237	1	198.1237	437545.94
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217191.9	217191.9	0.0	434383.8	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"40","main.cluster index_upperinput":"40"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6303	0.6303	0	N/A	N/A	434383.8	1	40	-1	 	1	263.0166	1	263.0166	434383.8
Clematis	jbuf,cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224403.326	224403.326	18614.592	430192.06	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"41","main.cluster index_upperinput":"41"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6324	0.6324	0	N/A	N/A	448806.652	2	41	-1	 	2	263.0529	1	263.0529	448806.652
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174812.78	174812.78	0.0	349625.56	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"42","main.cluster index_upperinput":"42"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6303	0.6303	0	N/A	N/A	349625.56	1	42	-1	 	1	490.1771	1	490.1771	349625.56
BK,Clematis	nan,jbuf,cdhrc	BK,Clematis viticella	1.0	[M+H]+	4.0	0.0	0.0	0.0	0.0	0.0	0.0	126.336	353474.17000000004	353474.17000000004	199443.44	507504.9	126.336	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"43","main.cluster index_upperinput":"43"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	5-OXO-D-PROLINE - 50.0 eV	0.88908	 	0.6325	0.6325	0	OC(=O)C1CCC(=O)N1	CCMSLIB00005884002	707074.676	3	43	20	129.04281	3	130.0503	1	130.0503	707074.676
BK,Clematis	nan,jbuf,cdhrc	BK,Clematis viticella	1.0	[M+NH4]+	4.0	0.0	0.0	0.0	0.0	0.0	0.0	131.6993	215307.495	215307.495	132666.89	297948.1	131.6993	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"44","main.cluster index_upperinput":"44"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1	Massbank:RP001301 L-Glutamine|(2S)-5-amino-2-azaniumyl-5-oxopentanoate	0.7087180000000001	 	0.6325	0.6325	0	C(CC(=N)O)[C@@H](C(=O)O)N	CCMSLIB00005738023	430746.68929999997	3	44	20	129.04281	3	147.0764	1	147.0764	430746.68929999997
