row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,
22,282.90161623322354,0.5283569,,,,,,,,,,,13623.332,21942.42,30117.79,16201.368,6706.4097,17008.21,19136.504,20294.643,20288.568,20027.162,15707.71,6375.7974,14606.241,20221.012,15917.758,6727.9976,0,13250.577,
26,298.87909995536734,0.5338597,,,,,,,,,,,6957.7725,25062.234,22384.945,35223.32,0,17439.58,12026.737,16901.941,9581.85,26275.531,16586.574,0,5662.8506,20052.627,5394.812,1082.6335,648.2486,5104.7246,
31,131.54244849069636,0.54689765,,,,,,,,,,,29576.576,7866.7744,10022.223,10047.643,26715.31,24678.697,38315.34,21334.975,6985.7954,3731.916,34502.93,41200.906,47288.703,18978.979,56922.23,11675.256,0,38724.867,
37,332.9977859513933,0.54316723,,,,,,,,,,,16965.27,19166.076,10350.39,20456.268,1426.1519,17584.041,25267.39,16104.931,2783.7358,6115.4907,21351.492,4854.4697,24575.63,11120.827,24830.475,665.44604,0,11452.428,
40,252.8825515344192,0.54379034,,,,,,,,,,,20808.145,18876.621,81959.23,53107.55,12274.001,32762.682,38760.527,48886.363,51475.137,74425.68,29676.984,8309.228,21238.541,56820.54,18157.29,11380.829,0,21027.133,
42,236.90501199734075,0.5482177,,,,,,,,,,,38828.26,15485.964,91943.11,18228.984,75762.125,30945.662,53640.87,50935.3,76005.55,52880.1,28726.102,73784.59,43838.016,42171.176,40215.45,45919.676,0,49914.297,
45,320.8664333038819,0.5501318,,,,,,,,,,,47988.613,6600.337,165812.03,18482.271,118022.57,32514.914,71100.586,66327.734,130302.695,85620.734,32166.658,87872.5,48684.438,57989.793,34331.582,67305.51,0,62426.668,
46,404.82802215734097,0.5509293,,,,,,,,,,,12141.139,0,43438.082,4412.098,29066.746,8255.337,17787.248,15427.071,31749.293,20171.121,7908.1606,22543.059,11587.619,14400.605,5597.9893,17708.816,0,14689.21,
49,236.07967881014255,0.54750854,,,,,,,,,,,65781.44,1764.6382,10512.042,18283.959,58079.176,120788.88,22528.709,705333.25,38727.152,37579.53,54744.035,148013.89,113797.13,188788.64,46600.785,1454.6586,0,361760.72,
52,249.0462810497673,0.55261636,,,,,,,,,,,122063.61,59761.145,70901.414,62332.758,153334.75,131930.31,158863.28,104429.61,19412.69,46242.477,114154.53,188324.73,212572.8,62508.96,236859.52,83224.734,0,144121.11,
53,266.1597919385626,0.5594963,,,,,,,,,,,0,2393.8503,0,53466.99,82590.84,48952.08,1913.8088,6396.7256,1337.515,1717.5012,1375.5491,39092.723,66558.54,14221.425,4711.366,375552.06,0,35390.645,
54,265.0233513422271,0.5500782,,,,,,,,,,,144497.03,143641.56,129535.39,364406.7,39487.223,284219.44,195625.2,165735.64,57340.97,166504.42,271356.9,24701.299,195098.56,159698.8,137362.5,39195.54,0,84796.8,
57,336.8437593222017,0.5520389,,,,,,,,,,,39678.08,10536.504,172121.81,65938.92,26365.885,55268.97,73608.65,84940.555,106256.18,149323.98,52648.49,13815.209,36462.08,88195.97,23028.23,23026.768,0,39612.117,
63,287.0015722410823,0.5551958,,,,,,,,,,,26675.727,647.3837,16687.525,10194.443,36640.664,22798.494,28303.607,19868.682,11589.002,9903.179,20632.639,42302.832,31182.38,11866.951,27370.363,24987.44,0,23379.059,
64,139.53112353547237,0.55387145,,,,,,,,,,,61017.37,41765.773,49254.63,179037.36,14432.136,138700.02,81703.5,68185.516,17614.379,62067.22,126674.25,13735.659,75462.266,66831.82,65943.24,12728.057,0,36053.24,
65,420.80528323419867,0.5529755,,,,,,,,,,,10693.3545,0,55873.863,15671.827,8495.779,17136.457,22334.297,26092.305,33915.94,44995.414,15396.248,4352.301,10409.602,24743.746,4386.054,9111.204,0,10271.269,
70,542.7318142122734,0.561727,,,,,,,,,,,7275.657,0,39515.094,2223.7327,38032.39,5772.799,13001.436,17635.79,47368.74,27314.158,5241.587,16743.648,5788.4014,10896.147,725.57153,33477.88,0,9038.807,
74,290.84727922160783,0.5602721,,,,,,,,,,,70267.266,547.3531,324341.8,31757.445,229935.53,61230.312,119343.67,132155.88,335395.28,229088.6,52733.01,122230.09,54798.586,108969.11,26129.332,201095.77,0,86645.66,
76,206.8860425289969,0.5602672,,,,,,,,,,,37386.42,3733.6794,167109.28,23136.668,103080.72,33699.973,61009.645,70679.65,171744.66,121749.41,30399.234,63377.062,31329.162,65028.117,16941.734,89574.83,0,46528.387,
78,458.77019331616646,0.5617236,,,,,,,,,,,9842.768,0,46078.516,2729.0205,43393.016,8282.527,17034.482,21313.598,53841.984,32337.523,5532.059,21562.922,6727.0596,13962.239,1990.2588,40376.598,0,11988.818,
79,292.84526529828514,0.5610483,,,,,,,,,,,20417.605,0,90360.52,8928.915,63210.61,18117.328,34136.934,37413.89,90550.29,61995.668,16062.392,35641.492,15870.979,30680.125,6558.1714,60136.504,0,25361.29,
81,265.02341541070876,0.5500782,,,,,,,,,,,148894.55,139981.17,129920.2,365853.6,27919.484,285365.44,201582.95,175069.83,60333.04,144281.62,276593.4,33351.266,189668.05,156901.67,167167.56,28790.648,0,104641.83,
84,122.92472913719375,0.5628206,,,,,,,,,,,46604.914,3489.715,133063.5,33805.324,104683.36,41059.902,68576.93,73824.805,140438.17,113716.586,40991.24,75505.69,40896.46,70082.195,23915.979,98499.78,0,59170.8,
87,445.08682005867206,0.56977314,,,,,,,,,,,45787.72,0,27173.822,84134.266,23335.441,159147.88,70341.51,46969.945,8568.302,32016.43,116331.83,15670.84,82726.91,28840.111,44483.277,28549.902,0,26666.156,
89,251.03109297194882,0.560955,,,,,,,,,,,0,4087.7334,0,0,1283.5632,562.7926,0,0,36392.152,67723.16,0,0,0,5657.169,0,4507.293,0,0,
92,292.9337198841562,0.5669235,,,,,,,,,,,0,0,25919.018,1797.4912,738.4765,0,1302.4492,0,55070.12,10315.546,0,0,597.3574,18012.912,0,3340.4712,0,2841.4312,
93,302.9888064674225,0.56908584,,,,,,,,,,,28155.291,0,30617.498,5893.6333,101348.305,20526.598,42004.973,22337.092,28210.48,24758.346,11320.547,53641.613,26596.107,9478.158,4467.7734,87088.76,0,17073.502,
95,256.9824723095648,0.5698124,,,,,,,,,,,37713.473,0,65287.438,15397.966,126883.29,39469.133,57911.586,56389.223,48918.34,43026.15,27761.484,70927.15,34413.105,23793.525,14455.085,119836.78,0,30053.416,
96,282.0869542889727,0.57837725,,,,,,,,,,,61389.2,0,29838.576,7654.5405,195731.95,61065.4,83536.484,23868.307,1777.5809,1628.2346,54629.4,180112.19,86220.734,3141.7854,42231.258,157154.47,0,34080.586,
102,314.849404408115,0.5729874,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66105.11,0,
104,130.5259356683702,0.5702702,,,,,,,,,,,32843.387,30362.447,31779.473,89968.24,7101.2803,77111.99,44490.86,36007.805,4287.105,43665.184,57638.668,6112.467,41409.156,36138.07,32594.875,5305.2993,0,11691.682,
105,212.85184234963768,0.57651293,,,,,,,,,,,4694.8687,0,3552.7805,0,59584.316,904.74146,4233.0127,7244.112,14903.044,2485.7732,572.3451,101335.73,563.5428,3542.8772,0,30423.295,0,7310.365,
106,192.0553933531386,0.57716537,,,,,,,,,,,92565.06,82131.22,58832.223,54803.027,80643.62,100191.055,93207.02,63724.664,24963.031,23188.494,95499.23,131210.52,112889.95,41827.41,151786.81,65089.406,0,97089.984,
107,222.98817797189645,0.5741828,,,,,,,,,,,9991.555,6263.8164,49377.906,16510.176,24171.521,31454.613,62807.375,63138.918,108837.71,47616.035,5662.4165,9394.096,17808.375,98137.2,36768.254,79656.36,0,51751.953,
108,208.97261404592672,0.5730393,,,,,,,,,,,0,3739.9197,115710.125,20652.268,7709.8096,1076.0531,5363.0454,0,213871.38,47829.906,0,0,6015.6167,91103.836,5124.9883,13709.086,0,17779.346,
109,261.92821836449076,0.56912285,,,,,,,,,,,11654.795,0,25367.85,7982.4985,11326.913,13900.58,19588.273,26849.691,41822.215,24491.357,11225.566,6253.865,9781.837,17424.488,8478.523,16049.952,0,17700.354,
110,249.04636439896797,0.55452526,,,,,,,,,,,129947.08,58915.242,69399.875,64659.74,50514.742,133934.06,166903.27,104803.99,43826.992,47062.113,114983.08,169083.34,80172.96,61078.918,240014.75,22750.623,0,127692.59,
111,213.0748664322626,0.57243705,,,,,,,,,,,0,70670.44,561.90027,0,6310.84,6344.9736,0,0,99927.48,204878.22,0,0,566.271,28929.29,0,13574.963,0,0,
115,223.97235181191672,0.57672834,,,,,,,,,,,27236.525,797.62354,50792.23,20870.812,21703.406,38717.13,58364.477,58461.35,92630.3,42238.277,27460.88,13131.986,27179.219,40793.28,24816.338,30188.664,0,45147.637,
118,200.0442739283564,0.5783979,,,,,,,,,,,138666.14,206819.72,133004.17,308715.38,37227.453,348269.34,172832.25,136339.97,35144.863,81115.41,283520.12,32649.8,136924.88,106149.44,169348.5,43689.785,0,77445.25,
119,159.16064795218907,0.5939125,,,,,,,,,,,0,11473.376,716.68066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,214.05655655969426,0.5864106,,,,,,,,,,,0,101317.26,0,0,0,0,0,0,12043.915,9439.563,0,2282.8408,0,0,0,0,0,0,
126,290.0761103235451,0.5851742,,,,,,,,,,,58186.414,0,46525.848,44705.656,46183.01,199087.2,115291.46,41841.965,5311.0786,35348.12,139848.8,31312.023,95770.805,16133.224,32030.232,81099.77,0,29147.896,
127,296.0658027957833,0.5852675,,,,,,,,,,,77838.51,0,6595.975,2850.0493,23429.992,85636.62,85105.85,163879.1,12585.829,3141.1929,69244.78,29982.744,10073.817,12575.637,19209.346,9411.41,0,73663.7,
130,174.89616178227865,0.5827137,,,,,,,,,,,5901.1104,0,1590.2273,0,48564.39,866.4129,2380.8557,6362.04,13765.17,1352.4097,2176.02,115111.164,869.9981,2219.4233,760.14905,25058.697,0,9089.998,
132,230.03354244059847,0.58567864,,,,,,,,,,,0,183435.02,0,0,0,0,0,0,10349.914,23285.43,0,0,0,0,0,0,0,0,
133,465.0409747285993,0.5874441,,,,,,,,,,,146611.45,3407.0044,111225.88,86680.586,96104.22,122948.17,151775.06,179297.81,246024.23,202457.84,105478.42,75375.94,97560.664,127898.27,76340.21,83750.305,0,115714.22,
134,549.0014992628151,0.58323634,,,,,,,,,,,26240.125,0,21873.352,13881.821,19059.924,24413.281,32495.549,33980.36,51192.875,34082.492,17797.785,15889.131,16273.692,21909.094,12400.059,17509.05,0,19360.316,
136,221.18610874801092,0.58794934,,,,,,,,,,,1375.8823,3273.5024,0,0,2539.2754,0,6859.22,2673.4058,9731.301,2428.6548,0,72780.72,4791.7144,961.6146,10317.514,4802.587,0,15273.373,
140,221.9929684648188,0.5781984,,,,,,,,,,,0,19786.201,1289.9215,0,0,0,0,0,191395.33,159016.34,0,18936.492,0,4016.479,0,0,0,0,
148,427.0758148100079,0.5905734,,,,,,,,,,,58661.465,418571.5,45797.664,170120.55,6013.1406,87646.21,62937.637,72453.195,42507.223,62880.473,88667.47,2517.0854,53790.105,80376.81,81835.67,3619.0332,0,30024.182,
154,279.04767452219585,0.59255546,,,,,,,,,,,50021.63,5482.967,52008.285,27186.783,111636.56,28101.88,29181.096,34289.836,16549.39,13971.028,24066.904,92176.21,30638.729,20810.68,20881.852,187096.52,0,34709.965,
156,139.91478583186324,0.5933167,,,,,,,,,,,0,29296.229,115379.19,0,0,0,0,0,11921.987,694.06757,0,0,0,4989.7427,0,0,0,0,
160,219.02662270082826,0.5944008,,,,,,,,,,,3195489.2,443872.06,7589558.0,3661646.5,1.0340771E7,7822399.0,7146314.5,4434204.5,4736688.0,4321042.0,4720251.5,7910377.0,3227154.0,3361506.8,2375235.2,1.12681E7,0,3105687.8,
162,183.05019263104813,0.596215,,,,,,,,,,,45206.406,160645.72,25331.85,41469.406,39180.0,41140.6,53556.742,43196.527,14216.818,27969.926,31831.934,53816.324,59386.406,37851.883,148989.58,24353.63,0,63309.613,
163,411.0981371304654,0.5949764,,,,,,,,,,,87564.766,416594.22,63238.05,55019.027,27328.865,78665.88,68671.15,62941.598,61271.53,45039.207,56114.445,41743.324,89272.71,57342.082,202311.08,14933.237,0,77604.74,
176,185.03244668808244,0.59817076,,,,,,,,,,,19058.816,21675.85,86028.055,43449.18,36290.8,68137.48,126789.734,107325.99,160828.45,79557.85,10867.472,20947.256,33399.22,209182.31,100759.63,128317.7,0,105415.914,
181,191.0389601744885,0.60173047,,,,,,,,,,,41205.62,322089.9,10784.85,89160.875,1532.0789,67291.22,54260.67,55536.39,15667.921,31696.213,84570.17,955.5416,32298.152,47197.496,60164.8,3706.4429,0,23090.045,
182,176.01090607972097,0.60004836,,,,,,,,,,,589865.94,119312.305,1349115.9,415908.94,236024.47,1169958.9,648669.25,479533.6,292547.88,397734.75,40945.227,603114.94,326167.7,341669.5,226845.31,168804.5,0,592485.2,
186,184.0372209292474,0.5989941,,,,,,,,,,,113991.07,1196797.4,45356.598,45253.38,7143.687,0,101180.11,35435.22,3699458.5,3048653.2,5304.2666,801475.3,1009.7258,192481.45,7406.0654,2842.1094,0,13976.381,
189,455.0121147482888,0.603958,,,,,,,,,,,5264.7373,6788.1714,130450.05,60586.98,80245.06,0,1000.5249,0,68153.125,121933.05,3666.5332,18439.86,20363.262,71611.82,1043.7476,49141.047,0,1267.1094,
194,444.06630766435114,0.6046207,,,,,,,,,,,0,288756.1,7010.6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
197,211.5522426260364,0.6076888,,,,,,,,,,,8568.807,91422.5,9223.258,58672.87,0,26660.223,13460.054,23613.346,3633.872,23099.318,32578.285,0,5100.7544,29810.67,55108.055,0,0,4738.61,
199,353.0847378882272,0.60381633,,,,,,,,,,,81308.74,26047.326,145730.0,100096.07,83964.74,77670.516,79817.01,87690.87,2804.3872,10361.462,141337.47,52533.1,70349.91,62657.516,44840.754,96054.38,0,61119.875,
200,371.10269938888644,0.6038464,,,,,,,,,,,71770.24,0,78488.1,178771.69,22278.578,228890.02,67585.1,96971.69,26804.852,75811.375,164507.98,34180.098,86414.18,58952.613,74919.74,19868.832,0,42833.426,
207,201.01602025516834,0.60259265,,,,,,,,,,,23772.227,1344.9407,137009.42,37815.523,147736.14,62159.25,110820.445,54012.133,52799.914,56984.207,22595.059,72516.37,28413.32,29795.896,23862.807,123058.516,0,19638.416,
212,273.08185526554433,0.604361,,,,,,,,,,,115152.19,46270.473,151576.12,122829.41,98109.14,233224.16,134528.52,152123.11,51715.99,121411.49,145248.45,218672.89,168941.36,70127.875,313870.34,53829.133,0,188047.62,
217,455.11665161603923,0.6075782,,,,,,,,,,,70683.47,3309.9895,75352.18,49170.188,332967.22,36999.17,101184.25,161284.9,22276.545,13776.026,63860.21,92070.18,29804.393,41404.406,78912.13,736169.06,0,52346.797,
219,280.99438522069784,0.5800319,,,,,,,,,,,4488.3384,0,822.2022,0,0,701.6192,719.9231,0,0,0,670.569,0,0,0,3398.4722,2594.0962,19330.473,1682.5752,
226,281.0706182289644,0.6075182,,,,,,,,,,,144492.1,134591.03,128767.805,543166.4,25306.21,423415.44,313689.75,253155.1,60182.43,289667.38,319415.84,28519.172,135041.67,124244.56,224329.53,22885.42,0,133778.56,
231,249.03625020733398,0.606977,,,,,,,,,,,164702.56,5345.2197,234215.02,129368.43,139034.62,123561.445,90567.875,66192.336,73166.805,66756.43,166216.0,160882.31,75922.32,51296.484,53458.594,186915.03,0,59566.21,
235,293.0632432868769,0.60953575,,,,,,,,,,,221945.73,103642.23,193452.3,190194.58,738856.25,519230.16,321393.88,404653.53,270705.75,93788.26,175704.23,166982.33,430959.4,192993.72,331683.4,846239.1,0,234302.67,
242,168.04214899813658,0.6081239,,,,,,,,,,,0,37261.656,47990.266,0,0,0,10071.406,0,292003.84,210394.83,0,0,886.7374,79844.984,0,0,0,0,
245,381.079392043689,0.61134404,,,,,,,,,,,1.5883607E7,7406217.0,1.7490724E7,1.6454389E7,1.3626416E7,1.7826852E7,2.080103E7,1.978076E7,1.7972734E7,1.6134053E7,1.6249799E7,1.276678E7,1.1347638E7,1.4884712E7,1.3179495E7,1.0724667E7,0,1.345034E7,
255,482.03062822324586,0.6120813,,,,,,,,,,,0,142888.19,440087.88,0,0,0,0,0,102448.07,8086.362,0,0,0,46600.54,1085.9358,1212.8081,0,2527.4102,
262,354.1080609853269,0.6161921,,,,,,,,,,,197601.86,324125.97,139237.55,234086.38,60106.74,268277.22,373579.03,264962.03,176636.89,173012.28,230678.72,179574.89,212579.5,96902.19,530871.5,24610.232,0,256714.39,
267,384.0816913985989,0.6125563,,,,,,,,,,,134193.88,65777.29,131089.25,173681.9,122868.43,156538.27,191066.31,185533.11,187515.45,175346.02,162013.6,102306.55,108664.26,131117.11,124755.695,114434.45,0,129432.41,
286,543.1326847653139,0.62367034,,,,,,,,,,,68456.125,3626.855,6420.7754,34974.594,78744.79,38979.41,37980.074,32388.988,4183.646,5159.733,52094.75,82558.0,50115.52,172671.84,49486.24,97383.03,0,43009.445,
287,525.1661503306486,0.6200435,,,,,,,,,,,218093.8,100949.19,60379.76,174738.25,47354.8,260704.16,298808.5,233801.25,44479.914,86318.74,234279.25,97108.16,307437.78,133935.77,461254.9,38346.19,0,221317.36,
292,203.05267881028507,0.61956227,,,,,,,,,,,308596.94,9283.222,247670.75,188638.23,349441.53,480012.4,384670.06,241149.34,139027.86,194845.52,378824.34,294858.97,171401.69,150902.8,149512.4,271127.22,23705.578,123251.56,
294,517.0119561459089,0.60892814,,,,,,,,,,,16094.488,0,17951.488,0,86524.36,2004.2749,11925.668,9281.384,41384.28,1744.9338,1972.507,197976.5,2982.0947,4982.828,922.91394,59449.23,0,5524.652,
310,362.09702442651155,0.62179726,,,,,,,,,,,196942.7,623000.3,112086.58,1155978.4,24256.857,669245.06,541560.06,541454.56,91745.766,444930.0,566766.7,46922.824,198375.22,479564.25,476354.5,19579.027,0,251463.12,
312,175.11902809056977,0.62398845,,,,,,,,,,,5380.0776,6055848.5,77546.15,18990.936,289844.94,399060.28,48831.305,57715.86,2499444.2,5631248.0,6027.4194,58591.473,16095.892,936875.94,111488.94,543477.4,0,87758.875,
313,134.08126766703901,0.6251369,,,,,,,,,,,398285.75,28250.957,71159.42,45444.938,60330.64,497579.44,155424.73,265835.22,17986.969,7811.152,260726.25,82792.91,195326.6,96765.52,191722.89,50338.574,1939.8727,424688.4,
314,704.2131093999653,0.6260968,,,,,,,,,,,291516.34,70421.06,17015.215,602687.5,14960.455,568712.6,344810.62,354566.12,10251.232,107213.61,518853.84,23929.396,287099.06,155017.3,331819.2,9143.214,0,152840.97,
324,231.0267775376951,0.62429494,,,,,,,,,,,12097.6,63518.914,1230.542,25587.047,0,6553.396,75569.67,43605.74,1776.9486,21079.465,1936.2909,168700.92,1536.872,176016.12,6397.8228,816.34845,0,3722.0,
328,245.00574042683394,0.64396286,,,,,,,,,,,0,0,9088.374,1658.9413,849.40063,8777.724,8300.276,9565.072,31379.154,6944.258,1874.9832,3902.7075,0,6876.8877,3021.9521,1100.4337,0,2277.109,
331,432.17158447439493,0.6273854,,,,,,,,,,,111825.18,83723.94,33480.83,180883.83,130112.5,150605.27,85664.625,109027.875,69836.84,24581.443,82690.85,112754.53,57139.387,53094.508,227229.55,160269.62,0,130738.04,
338,244.0926079838893,0.65802824,,,,,,,,,,,0,1163.2312,0,0,77582.69,816.2429,878.1444,631.4354,0,0,0,1999.452,0,0,0,390622.25,0,0,
339,696.2244194753721,0.62834865,,,,,,,,,,,187828.69,2973.4067,3394.9453,113945.766,19942.947,217235.5,197579.44,157401.62,35078.605,28696.117,174521.53,53926.824,239678.86,57218.902,304491.84,14557.377,0,139705.83,
340,875.2713169257258,0.63362557,,,,,,,,,,,89461.6,2065.5571,1339.8081,195072.12,968.2215,180524.7,114342.75,113004.43,3082.4346,5209.536,183550.84,0,37409.61,19494.338,116217.555,0,0,42717.156,
342,213.06385784010732,0.62734777,,,,,,,,,,,0,37101.105,0,0,0,0,0,0,144210.84,133559.84,0,0,0,0,0,0,0,0,
343,263.01634501892886,0.62798685,,,,,,,,,,,84002.445,81131.6,843086.9,191530.78,96663.12,357246.16,664821.0,362829.78,1826912.1,1076456.0,135176.53,312987.34,55682.75,411319.53,171719.8,150777.94,0,340473.34,
345,156.07679474665716,0.62658584,,,,,,,,,,,31506.615,79370.62,33215.516,50709.73,31145.643,110478.96,32416.75,4055.2268,75325.02,53935.855,27369.875,16350.315,13687.383,169973.69,101532.92,81411.29,0,34423.3,
346,448.16626365336487,0.62985766,,,,,,,,,,,133907.95,103526.45,9202.175,153752.34,153006.47,329353.7,183050.66,187173.77,200321.6,82900.3,151582.39,52170.34,129785.78,161184.52,272591.3,236177.08,0,179624.84,
359,475.17742982170364,0.6348171,,,,,,,,,,,3383.0098,80293.43,239579.94,267890.7,2820.2852,15641.43,23898.293,2000.5793,461190.94,119991.234,1048.0536,0,35154.7,410484.94,74629.57,23084.385,0,123984.87,
360,533.1550159967269,0.6303507,,,,,,,,,,,326595.88,103969.5,108806.99,948326.8,35216.61,731967.3,506456.8,493252.75,111490.56,248878.58,642144.8,23741.945,405034.53,313358.5,466174.12,25427.184,0,231959.34,
366,130.05005883966606,0.63152826,,,,,,,,,,,839384.56,1132816.5,867846.8,1393163.1,684206.7,1517303.5,2013100.1,1676822.1,1174384.2,756650.06,791415.8,512290.5,1198315.4,1965848.2,2383255.5,1399547.0,0,1735566.6,
371,146.08124148507292,0.6322211,,,,,,,,,,,1878148.4,7.867081E7,628840.2,1047865.7,211262.52,44950.336,1538801.4,620119.25,3.924178E7,3.5711124E7,158454.53,1.6714087E7,26250.832,2800526.0,313628.97,119535.17,0,312988.97,
373,144.06564978401178,0.637357,,,,,,,,,,,76464.32,23999.766,252676.34,83211.2,491749.06,179596.33,168008.33,190084.48,201786.5,198933.86,120672.18,217842.98,303953.62,95184.375,121446.31,528578.5,0,59337.598,
374,263.05276532173434,0.6328583,,,,,,,,,,,109275.586,19891.559,630339.4,251652.7,113080.555,242100.88,166047.2,210047.42,56127.3,17814.94,245475.1,318888.25,33301.285,74074.48,62443.355,211730.83,0,75186.36,
377,147.0765013227223,0.6327534,,,,,,,,,,,471932.28,1173535.6,689024.5,1095972.2,599231.25,1115258.5,1586779.8,1624486.6,1042644.9,588774.44,304013.2,296736.47,811200.0,1875053.8,2071074.8,1518388.2,0,1335181.6,
381,490.1766552695715,0.6333731,,,,,,,,,,,840638.4,174069.89,316621.47,842554.44,170510.28,1330719.8,1271856.9,1334335.0,620891.8,354427.78,1053040.1,346824.03,471840.28,591109.8,1106341.5,196935.73,0,983547.25,
383,337.0891961628517,0.6345858,,,,,,,,,,,50123.42,1931.7571,161797.14,72591.31,50168.95,50294.363,51885.81,57628.91,25337.594,10934.634,52484.39,48105.402,18532.908,18194.0,36147.24,45927.863,0,49476.31,
389,258.10984921833995,0.6462595,,,,,,,,,,,104004.91,0,2467.8594,30556.658,31120.479,104686.81,115642.6,236737.86,2425.952,1663.7871,70875.43,106362.21,1334.2917,3233.0383,42527.918,3804.6582,0,109439.9,
392,146.0912129045062,0.6497236,,,,,,,,,,,5731.0527,398411.72,962.9295,1281.9264,0,0,2461.572,919.3563,147775.75,68556.42,2014.2234,112234.89,0,4608.991,593.20996,0,0,0,
394,458.18670393473883,0.6323768,,,,,,,,,,,7446.7744,50692.324,21698.605,12935.143,2115.9893,6688.9033,68849.82,52922.46,114667.4,51390.992,30720.13,5063.2295,1031.1245,223924.44,35347.484,3554.575,0,16496.885,
399,148.06043039757705,0.63696337,,,,,,,,,,,2212712.5,870141.94,1275525.0,2000464.9,1321813.2,2695216.5,2688082.5,2694076.8,1752548.1,1083295.5,2240164.5,996754.5,2518122.8,1638637.0,2573644.8,1440099.0,0,2394027.2,
