row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001139_01_01.mzML Peak area,1685365277_ALC_dbgi_001145_01_01.mzML Peak area,1685365277_ALC_dbgi_001143_01_01.mzML Peak area,1685365277_ALC_dbgi_001141_01_01.mzML Peak area,1685365277_ALC_dbgi_001151_01_01.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001148_01_02.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001157_01_01.mzML Peak area,1685365277_ALC_dbgi_001149_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001158_01_01.mzML Peak area,1685365277_ALC_dbgi_001147_01_01.mzML Peak area,1685365277_ALC_dbgi_001178_01_01.mzML Peak area,1685365277_ALC_dbgi_001159_01_01.mzML Peak area,1685365277_ALC_dbgi_001177_01_02.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001163_01_01.mzML Peak area,1685365277_ALC_dbgi_001176_01_01.mzML Peak area,1685365277_ALC_dbgi_001169_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001184_01_01.mzML Peak area,1685365277_ALC_dbgi_001166_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,1685365277_ALC_dbgi_001187_01_01.mzML Peak area,1685365277_ALC_dbgi_001174_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001183_01_01.mzML Peak area,
57,218.98375776360368,0.5082628,,,,539,,,,,,,202574.62,30952.117,46094.137,88603.64,65575.78,196457.12,144645.22,164035.9,39818.246,55453.562,56238.574,95182.6,75319.89,69138.66,157814.89,84548.96,89038.08,132181.64,34675.914,0,89781.16,127391.54,88333.07,313901.03,80689.734,217404.25,181381.06,35172.785,63393.79,95574.77,107890.74,57708.516,52806.875,222382.92,88913.36,122336.695,160112.4,45629.87,257256.3,
58,200.97312855998788,0.50830984,,,,539,,,,,,,157981.36,20480.857,27913.39,59450.58,43939.26,146452.4,98863.73,113065.37,25379.426,35203.613,36863.66,66445.266,43827.45,45116.01,106985.85,58244.41,60227.555,91298.15,23377.863,0,60245.918,80953.984,51642.812,232819.75,58967.45,158039.69,136290.3,18311.389,39892.45,59868.96,70267.336,41063.15,33808.258,169130.5,55867.2,91440.98,116321.47,34715.855,197943.0,
61,182.96246611513317,0.50847244,,,,539,,,,,,,27396.58,0,0,10395.011,7390.443,27445.123,18836.023,18617.834,0,5336.6133,0,12378.869,8453.739,7654.192,18871.916,10428.731,0,15133.033,0,0,10884.225,15143.65,8924.467,41727.71,10890.009,26865.762,24395.6,3230.1372,0,10898.568,12701.287,0,0,32983.047,9476.961,15473.265,20305.318,0,35261.73,
62,123.04069415262664,0.5085221,,,,539,,,,,,,27191.697,0,0,11525.182,9530.995,23530.625,0,19070.283,0,0,0,14151.636,8791.462,8970.992,20955.182,10827.707,0,15562.224,0,0,11714.527,13140.458,0,35190.48,13611.024,25021.129,20106.08,0,0,10394.1045,10510.127,10724.545,8738.564,30657.68,11126.962,16457.467,17437.691,0,27803.281,
63,129.97931535255165,0.50855374,,,,539,,,,,,,45332.14,30333.69,14542.709,14880.332,20294.957,18054.133,0,0,4373.358,0,13248.351,16366.026,0,8715.225,11013.635,11197.48,0,10289.481,11621.268,0,0,0,0,0,22089.91,0,10974.424,0,4701.082,5224.2925,0,15390.35,10063.32,23194.0,0,8563.55,9589.67,16720.01,19724.664,
67,312.92025970928614,0.50873417,,,,539,,,,,,,44628.645,0,12508.654,22178.898,19268.9,39049.9,29353.734,25811.049,9443.342,0,15393.932,22214.053,6939.105,17254.814,28947.021,21643.473,0,23969.152,0,0,19098.127,9229.163,7002.157,54799.777,22194.379,24356.508,34337.883,0,0,15331.61,13333.369,16020.8,15024.505,45931.11,14237.5205,23974.021,26908.02,13657.793,49738.74,
68,353.9470743061641,0.5087763,,,,539,,,,,,,47673.96,0,15326.663,25806.078,20791.43,43005.31,34966.5,32953.312,11383.591,14955.833,18848.922,24305.46,0,19465.318,32432.93,24013.92,0,29136.26,12313.804,0,22238.5,0,9611.082,62127.44,23217.867,25785.379,31985.28,6133.366,14597.144,16575.723,13935.431,17839.252,16087.414,47279.246,17813.818,23713.629,31762.57,15144.263,47247.297,
69,243.00087123236383,0.5088058,,,,539,,,,,,,126056.16,17580.566,25748.54,55079.043,40740.832,124716.66,90338.484,100358.12,23687.197,32135.107,32844.133,54280.664,48435.438,41179.99,94935.195,52587.758,56378.965,77448.9,21950.574,0,53062.004,76944.695,53143.402,197667.45,49861.457,134404.84,107509.484,21869.697,38311.133,57519.32,64573.668,33307.66,32950.137,139422.16,53768.605,71830.83,99815.16,27088.137,149896.23,
72,268.94786047645874,0.50884646,,,,539,,,,,,,0,0,0,0,0,25769.9,19316.713,23876.213,0,0,0,0,15014.624,0,22327.85,0,12433.059,17383.879,0,0,11140.689,27084.75,16284.109,36787.84,0,42622.465,22854.223,0,0,13563.289,18868.393,0,0,21781.074,12393.148,16634.146,24064.414,0,25098.09,
76,442.8782704762975,0.5089848,,,,539,,,,,,,77709.46,18547.34,24634.137,36309.96,36182.92,44020.203,30243.79,24825.426,11450.056,14962.889,28623.281,37274.0,0,20704.297,30542.652,28269.865,23241.652,29128.11,18798.861,0,20561.043,0,0,63984.008,39265.508,14387.975,34932.742,0,0,13234.903,0,27947.648,23773.379,57355.57,13820.49,25776.219,25707.19,25332.676,58461.723,
77,219.98465483735916,0.5090082,,,,539,,,,,,,51177.18,0,9249.494,20922.234,15807.32,50811.535,37451.395,42500.6,10239.799,13536.8,13470.533,25049.531,19018.414,16887.656,40256.918,21370.533,0,35400.22,0,0,22054.934,31584.094,23337.012,80251.18,21403.152,55331.98,49080.88,0,15674.576,25508.176,27099.246,14353.908,0,58345.29,23343.48,29089.621,42657.844,11801.578,65654.625,
83,357.39974758330084,0.5094505,,,,539,,,,,,,19328.115,17397.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5874.462,0,0,0,0,0,0,0,0,0,0,0,0,6320.044,0,
84,156.01422839289512,0.5094754,,,,539,,,,,,,42333.55,10198.441,12255.22,17484.436,16526.188,38975.492,25873.611,27349.855,8555.674,11600.023,13113.951,20094.467,12566.361,13960.491,26993.137,15935.186,15727.9795,27928.57,9289.603,0,16293.449,17182.174,13421.331,53519.926,18942.24,31056.277,28770.467,0,12822.338,16939.996,17179.191,13357.439,0,39597.715,14801.807,21298.717,25131.527,0,40485.53,
88,220.98090094899337,0.5096673,,,,539,,,,,,,53836.453,6327.029,10842.21,22601.992,15345.706,50645.156,36138.59,42622.34,9752.559,14337.935,0,23783.773,18361.39,17700.963,38153.96,21177.234,23632.885,34787.293,0,0,22941.818,31344.455,22941.709,83580.46,20403.43,56746.52,46301.875,8059.9775,16251.532,23074.375,27644.242,14678.001,14117.319,57662.73,22646.031,32439.057,41813.047,11838.653,68660.914,
90,217.9517805754796,0.5097105,,,,539,,,,,,,105914.4,36868.223,23414.83,34545.82,41555.09,50996.348,34127.004,28644.602,11305.418,14381.293,26003.994,39516.746,0,20425.234,30805.014,28521.586,21919.229,32229.701,20755.365,0,22272.758,7456.5815,0,73457.31,42005.23,20666.266,37367.82,0,12137.085,15355.799,10750.749,30297.336,22290.773,67394.625,16282.018,28887.83,31171.562,29811.36,67905.08,
93,218.91062117544658,0.50999933,,,,539,,,,,,,31861.238,24956.385,0,8046.895,12833.533,0,0,0,0,0,0,9680.158,0,0,0,0,0,0,0,0,0,0,0,0,11655.301,0,0,0,0,0,0,8585.56,0,11354.179,0,0,0,10431.153,0,
94,328.89791426767545,0.5100812,,,,539,,,,,,,160399.4,68954.86,42564.78,58763.766,72633.875,55371.094,38483.594,28288.932,16721.814,21920.129,43870.742,63463.25,3913.524,30534.943,37044.844,42811.977,28579.242,35590.562,38837.125,0,29732.713,0,0,78792.13,71289.76,14079.416,41872.797,0,16482.232,14602.45,8896.607,51287.254,37261.668,84733.48,17994.914,35832.223,29540.117,57662.848,82810.02,
98,257.9771750224012,0.51019734,,,,539,,,,,,,272533.66,99259.52,75168.375,103494.586,117862.25,137217.06,96343.2,83873.08,36315.418,52624.023,78306.91,108557.625,22414.41,64403.953,92998.53,84649.06,68378.99,91805.9,63540.76,0,69262.05,25843.975,21661.428,186820.27,118700.5,67185.61,100620.61,0,44549.145,49799.953,34166.03,89046.05,74603.31,171763.12,53402.793,84450.02,86771.25,85234.83,178821.34,
99,423.95496166865416,0.5102188,,,,539,,,,,,,0,0,0,0,0,13125.399,0,12736.816,0,0,0,0,0,0,0,0,0,0,0,0,0,12682.088,0,23505.777,0,25137.527,0,0,0,0,7835.004,0,0,10994.348,0,7099.3564,12453.601,0,13470.294,
101,198.9401227700147,0.510277,,,,539,,,,,,,414664.28,148492.84,83985.19,129923.72,149794.42,197247.95,124513.39,105571.72,42216.402,59153.25,97379.95,159245.83,22762.908,81969.58,130217.555,112740.77,88225.62,122466.25,79283.766,0,85908.82,29683.166,23659.0,288516.16,173503.03,90118.164,156187.12,15872.227,50299.117,62821.992,46929.848,122020.875,91944.82,277924.1,65329.15,124669.26,119183.92,120338.21,293511.0,
103,202.97042091974012,0.51031536,,,,539,,,,,,,38714.664,0,0,13562.898,10156.467,36066.56,22797.473,26523.443,0,7893.586,8238.303,16048.4375,10655.114,9846.023,25440.03,13140.812,0,20102.67,4257.506,0,15008.221,19517.275,11345.707,58798.92,15303.195,40046.91,33546.004,0,9277.223,14213.747,16493.592,10270.778,0,44767.65,11733.259,20150.457,29773.283,7633.135,53108.05,
104,369.9247035697782,0.5103163,,,,539,,,,,,,97268.02,39255.65,28586.06,35071.31,45680.2,34902.57,23646.656,16182.817,8959.802,12502.823,26865.166,35302.727,0,15947.952,18988.16,24560.777,16699.523,20114.705,0,0,16386.29,0,0,45116.195,40394.574,6672.8843,20104.355,0,8757.184,8462.021,0,29190.93,24342.87,48709.676,9743.1875,18722.775,15757.087,30964.045,40910.473,
107,201.974029799814,0.51043355,,,,539,,,,,,,38048.78,4481.442,0,12897.586,10664.055,36513.95,24447.621,25811.615,0,8114.204,7619.846,15331.14,11117.962,10021.526,27204.42,13631.891,0,20833.7,0,0,12865.512,18564.389,12410.101,56157.402,13077.957,37453.47,34108.81,0,0,13855.895,16893.967,9019.263,0,43631.027,11805.359,20549.652,27714.254,7741.9883,47952.46,
108,244.99833213569823,0.5104545,,,,539,,,,,,,17076.582,0,0,0,5389.4473,18381.855,12153.947,14530.457,0,0,0,7845.5645,6739.015,0,12687.344,0,7351.5986,0,0,0,0,11511.49,7309.412,29980.424,0,20340.086,14933.7705,0,0,7951.27,0,4952.1055,0,19273.268,7217.2007,8982.712,13979.41,0,21078.193,
109,239.96665739672713,0.5104603,,,,539,,,,,,,1080858.9,362054.66,236067.12,352832.03,410255.47,501375.6,332439.38,294633.16,110136.93,148949.66,255232.53,381517.84,63084.523,205299.8,314180.3,284763.94,213454.48,299627.56,202181.33,0,215062.56,76870.08,58040.18,733519.06,422318.44,221587.39,358084.1,42373.46,127374.625,145904.81,107463.16,292962.7,234186.61,663258.0,160536.77,276351.25,299495.38,281760.0,656615.9,
112,458.85578833429565,0.5106175,,,,539,,,,,,,121698.2,67310.02,35619.58,36817.113,58957.305,27926.227,17041.201,11566.758,0,10789.431,31394.844,43426.04,0,16455.04,15975.206,25744.133,14220.197,18496.48,29723.184,0,12498.336,0,0,40956.54,52802.957,0,18876.045,0,0,6354.4385,0,39494.113,27776.568,48045.855,7723.8,17926.406,13436.031,43849.105,45199.98,
113,126.98985888156409,0.51068026,,,,539,,,,,,,55054.055,39367.68,0,0,27672.973,0,0,0,0,0,14904.786,0,0,0,0,0,0,0,0,0,0,0,0,0,26162.5,0,0,0,0,0,0,18509.566,14476.934,0,0,0,0,20840.045,0,
119,184.0282800582248,0.5108977,,,,,,,,,,,0,28122.13,14462.415,0,23262.04,18366.078,11394.902,9885.887,0,6329.7207,11831.522,15617.965,0,7085.093,10067.102,12945.396,8068.399,11524.746,11583.455,0,0,0,0,21103.678,20454.836,0,11052.745,0,0,0,0,14972.315,0,24203.582,0,9993.827,9447.797,15509.192,21245.994,
121,216.95075442352672,0.5110876,,,,539,,,,,,,773173.1,264171.97,176885.39,254176.42,289332.5,361569.75,239520.03,207633.98,86633.8,120095.44,190452.83,287876.62,46495.86,155191.5,240474.03,215380.28,167830.33,232665.33,151949.45,0,165288.75,59735.023,47603.953,524297.44,309484.34,158336.88,278431.4,34822.742,103514.97,118926.36,91047.55,224350.55,169490.83,483223.38,126847.46,216082.33,223128.78,217053.94,500468.38,
126,280.9933305396009,0.51146555,,,,539,,,,,,,66042.16,22946.943,16681.059,22603.424,26755.508,30359.82,21057.182,19282.59,0,9651.368,16006.27,22989.252,0,10930.111,20216.504,16612.77,0,18354.268,12880.956,0,13886.007,0,0,42701.395,24775.744,14710.144,20111.223,0,0,8573.884,5502.766,17196.193,13549.856,39030.27,9256.962,14930.669,19171.459,17040.33,37367.227,
127,240.96805518177945,0.5115075,,,,539,,,,,,,172759.92,57548.234,36262.797,55929.047,64203.867,80864.4,51346.64,45146.918,15705.531,21982.088,38726.09,62297.613,0,30619.8,49927.535,46718.414,33217.24,48669.69,31785.525,0,32744.16,11109.879,0,117098.414,67538.99,30832.312,58151.117,0,18911.648,23866.832,16256.326,48023.715,36275.17,107229.94,24934.775,44186.746,43602.65,43139.64,104395.664,
128,346.90858730991806,0.5117319,,,,539,,,,,,,72277.99,30260.2,25779.736,29685.865,38116.074,26960.756,19932.605,14375.918,0,11858.241,24201.611,29860.533,0,0,17165.42,21405.41,15363.978,17173.209,19949.201,0,15538.107,0,0,35218.46,35789.754,0,18969.814,0,0,8087.117,0,26716.105,21837.945,39568.79,9552.917,17816.94,14092.5625,26903.707,37797.08,
133,241.96385304616967,0.51185364,,,,539,,,,,,,146678.92,48247.3,32461.975,46955.297,54618.824,66787.04,45468.16,37699.83,12904.129,18338.453,33321.023,47562.57,0,25228.13,42902.074,39313.25,29607.113,42328.273,25846.697,0,26579.148,0,0,98704.88,56500.29,26660.88,47142.81,0,15595.47,17626.654,13047.369,38529.3,29695.582,90517.23,21182.229,36285.87,39413.836,38425.938,89285.83,
135,234.96132692998395,0.51190966,,,,539,1,[2M-3H2O+Na]+,,2,71;135,133.0017,118245.91,45999.715,34822.46,47470.86,54235.66,60240.816,43590.58,38026.086,17304.99,23919.453,35764.32,52015.797,10357.05,29678.342,44570.84,38414.445,33349.977,44061.277,31277.363,0,31198.451,11549.059,9644.315,85905.73,51372.06,27322.154,48367.906,0,21944.193,24070.271,19950.639,42230.24,32392.752,82800.13,25946.756,39666.23,39400.88,39373.527,80229.36,
141,149.95298831070156,0.5122362,,,,,,,,,,,0,0,6283.3506,0,0,0,0,0,16418.336,0,0,0,0,6120.1396,8976.541,4483.8486,0,0,0,14061.788,0,0,0,0,0,0,0,0,0,0,0,6490.3765,0,0,0,0,0,0,0,
142,414.3902542384324,0.5122567,,,,539,,,,,,,30754.457,11963.944,0,0,8503.633,0,0,0,0,0,0,6661.2,0,0,0,0,0,0,0,0,0,0,0,0,8451.471,0,0,0,0,0,0,0,0,0,0,0,0,6233.5303,0,
144,362.88575111533834,0.5125764,,,,539,,,,,,,41487.555,40924.36,0,9646.363,22540.307,0,0,0,0,0,0,12671.188,0,4318.6924,0,0,0,0,10202.691,0,0,0,0,8334.416,18074.807,0,0,0,0,0,0,13329.952,0,11180.973,0,0,0,17461.32,10342.07,
152,474.8331543483187,0.5127683,,,,539,,,,,,,53457.945,59074.2,14430.266,10632.209,23872.438,0,0,0,0,0,9969.854,0,0,0,0,0,0,0,11791.236,0,0,0,0,6215.322,21009.309,0,0,0,0,0,0,16447.947,0,12828.385,0,0,0,20878.434,0,
154,385.9019797641779,0.51318973,,,,539,,,,,,,53215.086,52081.707,14963.654,0,27598.98,0,0,0,0,0,10242.662,15508.475,0,4765.543,0,8111.4355,0,0,12576.408,0,0,0,0,10383.121,0,0,0,0,0,0,0,15819.821,0,0,0,0,0,20234.627,11060.6,
155,218.9478810696052,0.513224,,,,539,,,,,,,99611.95,31648.295,23274.162,31552.826,37172.504,49522.055,31967.602,26856.496,11414.208,14943.656,24709.027,36844.652,0,19599.654,30952.31,27210.059,21882.004,31013.13,20538.492,0,21021.053,0,5745.7817,70733.984,40107.637,20553.525,37679.89,0,12969.329,14144.121,11362.636,29565.35,20841.146,67013.695,0,29592.514,29244.33,27891.615,67346.125,
157,232.92840554243983,0.5133125,,,,539,3,[M+K]+,,2,74;157,193.96493,301162.1,245091.03,84843.59,87652.05,149696.97,65112.49,40207.34,27812.785,24145.145,31296.621,76569.055,97386.6,0,41131.94,39061.215,60156.67,34041.605,42563.453,76536.914,0,37264.09,0,0,86243.3,125583.27,10577.488,44794.17,0,18073.926,16209.99,7687.728,97190.586,63357.97,107073.0,21030.873,42609.95,31994.959,118554.52,97430.85,
159,344.8755209046076,0.5135591,,,,539,,,,,,,160951.06,140384.66,39525.21,37673.96,70621.28,21925.148,13411.528,7189.1055,0,0,32189.135,43569.766,0,12701.412,11061.474,21746.336,0,13522.021,32964.277,0,10646.615,0,0,30925.27,63059.16,0,13682.251,0,4156.2188,0,0,45599.492,26861.71,42950.582,6465.947,13642.162,8754.397,60824.086,37960.914,
160,588.8133940099558,0.5135398,,,,539,,,,,,,28732.97,19215.588,0,0,12397.082,0,0,0,0,0,5731.4014,0,0,0,0,0,0,0,0,0,0,0,0,0,10945.222,0,0,0,0,0,0,6799.474,4832.828,0,0,0,0,9962.02,6029.208,
161,214.91767208154383,0.5135798,,,,539,,,,,,,863296.94,664100.2,204718.62,218079.25,375848.94,182371.19,113954.97,73113.73,57206.77,77838.32,190694.08,263967.7,8328.155,107503.086,104538.086,163769.97,88584.0,114017.51,197449.52,0,93153.35,0,7294.6597,239713.05,344116.38,28443.123,121098.484,10626.794,49119.32,44237.03,22378.578,262826.03,166197.17,302326.5,58664.0,122502.34,88417.4,306084.38,280975.6,
162,255.94429488887747,0.513651,,,,539,,,,,,,444805.16,344084.88,115803.92,117678.09,208059.92,92591.91,56438.418,37591.883,28027.86,36199.89,99854.9,128377.29,0,49500.074,50631.168,76070.35,40914.99,53174.47,99175.55,0,45676.41,0,0,116483.61,170570.27,0,51032.64,0,21920.166,0,0,125333.94,83920.12,143616.83,25843.297,47472.984,38979.945,151210.52,120751.8,
165,251.16024456313863,0.5152178,,,,,,,,,,,0,69725.47,25646.594,0,0,172975.75,0,8498.779,23431.207,0,10182.493,22729.1,0,0,6349.511,12294.653,0,157513.28,8277.46,0,37143.508,0,6937.3154,0,0,0,4260.5664,0,0,0,0,0,0,26776.17,0,0,0,0,0,
174,273.9549891747085,0.5156791,,,,539,,,,,,,43628.395,39294.4,16268.29,14401.3125,24779.727,0,0,0,0,5208.451,0,15315.466,0,0,0,0,4962.2104,6691.579,15093.764,0,0,0,0,10777.034,20210.023,0,0,0,0,0,0,15671.435,10390.866,15750.001,0,0,0,19641.295,13306.074,
175,572.8356844807541,0.51570976,,,,539,,,,,,,38617.562,0,9696.555,12914.494,15856.606,11883.335,0,0,0,4003.573,0,0,0,6769.548,0,0,0,0,7940.104,0,0,0,0,15729.704,15495.977,0,8956.8545,0,0,0,0,10124.316,0,20100.49,0,6578.759,0,0,16742.627,
195,130.0863066508559,0.5181691,,,,569,5,[M+H]+,,1,206,129.07903,0,0,0,0,0,0,0,0,0,0,0,0,20195.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34222.625,0,0,0,0,0,0,0,0,0,6230.1245,0,
206,147.1128589002896,0.52148974,,,,569,5,[M+NH4]+,,2,206;195,129.07903,0,0,0,0,5763.3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8349.256,0,0,0,74368.52,0,0,0,0,0,0,0,0,12769.899,13332.773,0,
