row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001145_01_01.mzML Peak area,1685365277_ALC_dbgi_001139_01_01.mzML Peak area,1685365277_ALC_dbgi_001143_01_01.mzML Peak area,1685365277_ALC_dbgi_001151_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001148_01_02.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001157_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001141_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001159_01_01.mzML Peak area,1685365277_ALC_dbgi_001149_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001147_01_01.mzML Peak area,1685365277_ALC_dbgi_001158_01_01.mzML Peak area,1685365277_ALC_dbgi_001177_01_02.mzML Peak area,1685365277_ALC_dbgi_001163_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001178_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001176_01_01.mzML Peak area,1685365277_ALC_dbgi_001174_01_01.mzML Peak area,1685365277_ALC_dbgi_001183_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001166_01_01.mzML Peak area,1685365277_ALC_dbgi_001187_01_01.mzML Peak area,1685365277_ALC_dbgi_001184_01_01.mzML Peak area,1685365277_ALC_dbgi_001169_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,
100,280.9933305396009,0.5114656,,,,84,,,,,,,9651.368,66042.16,22603.424,16681.059,22946.943,30359.82,26755.508,21057.182,0,10930.111,0,22989.252,16612.77,0,16006.27,19282.59,20216.504,13886.007,12880.956,14710.144,18354.268,0,0,42701.395,0,20111.223,0,17040.33,24775.744,17196.193,8573.884,19171.459,37367.227,0,39030.27,14930.669,13549.856,5502.766,9256.962,
106,346.90857062724257,0.5118039,,,,84,,,,,,,11858.241,72277.99,29685.865,25779.736,30260.2,26960.756,38116.074,19932.605,0,0,0,29860.533,21405.41,15363.978,24201.611,14375.918,17165.42,15538.107,19949.201,0,17173.209,0,0,35218.46,0,18969.814,0,26903.707,35789.754,26716.105,8087.117,14092.5625,37797.08,0,39568.79,17816.94,21837.945,0,0,
108,234.9613269299839,0.5119097,,,,84,,,,,,,23919.453,118245.91,47470.86,34822.46,45999.715,60240.816,54235.66,43590.58,17304.99,29678.342,10357.05,52015.797,38414.445,33349.977,35764.32,38026.086,44570.84,31198.451,31277.363,27322.154,44061.277,11549.059,0,85905.73,9644.315,48367.906,21944.193,39373.527,51372.06,42230.24,24070.271,39400.88,80229.36,0,82800.13,39666.23,32392.752,19950.639,25946.756,
130,255.94407266982427,0.5134618,,,,84,,,,,,,39194.734,445444.5,118721.59,116318.1,344084.88,95574.16,208059.92,60142.37,28855.334,52477.473,0,128377.29,76864.48,43804.48,100332.04,40039.723,53377.33,46487.207,99175.55,0,56478.09,0,0,122441.83,0,53839.555,24554.55,151210.52,171071.23,125891.34,22373.127,40788.414,125792.695,0,144150.62,50346.824,84312.16,0,27810.395,
131,344.8755209046074,0.51355916,,,,84,,,,,,,0,160951.06,37673.96,39525.21,140384.66,21925.148,70621.28,13411.528,0,12701.412,0,43569.766,21746.336,0,32189.135,7189.1055,11061.474,10646.615,32964.277,0,13522.021,0,0,30925.27,0,13682.251,4156.2188,60824.086,63059.16,45599.492,0,8754.397,37960.914,0,42950.582,13642.162,26861.71,0,6465.947,
132,588.8133940099558,0.5135398,,,,84,,,,,,,0,28732.97,0,0,19215.588,0,12397.082,0,0,0,0,0,0,0,5731.4014,0,0,0,0,0,0,0,0,0,0,0,0,9962.02,10945.222,6799.474,0,0,6029.208,0,0,0,4832.828,0,0,
133,214.91767208154386,0.51357985,,,,84,9,[M-H2O+Na]+,,2,91;133,209.94092,77838.32,863296.94,218079.25,204718.62,664100.2,182371.19,375848.94,113954.97,57206.77,107503.086,8328.155,263967.7,163769.97,88584.0,190694.08,73113.73,104538.086,93153.35,197449.52,28443.123,114017.51,0,0,239713.05,7294.6597,121098.484,49119.32,306084.38,344116.38,262826.03,44237.03,88417.4,280975.6,10626.794,302326.5,122502.34,166197.17,22378.578,58664.0,
137,251.16025067924855,0.5152178,,,,,,,,,,,0,0,0,25646.594,88669.43,233262.58,0,0,28694.703,0,0,22729.1,12294.653,0,10182.493,8498.779,6349.511,37143.508,8277.46,0,180362.67,0,0,0,6937.3154,4260.5664,0,0,0,0,0,0,0,0,26776.17,0,0,0,0,
144,572.8356844807539,0.51570976,,,,,,,,,,,4003.573,38617.562,12914.494,9696.555,0,11883.335,15856.606,0,0,6769.548,0,0,0,0,0,0,0,0,7940.104,0,0,0,0,15729.704,0,8956.8545,0,0,15495.977,10124.316,0,0,16742.627,0,20100.49,6578.759,0,0,0,
177,282.9017256075491,0.52877325,,,,,,,,,,,13301.282,21942.42,30117.79,19980.865,21190.543,0,33689.473,0,12739.9375,22677.16,0,0,17540.166,0,19565.29,16028.505,0,14288.527,17860.494,12889.639,0,0,0,20337.629,0,0,14349.599,20027.162,0,22125.56,12835.384,12001.5,29288.066,6130.3535,9947.671,14391.425,16976.2,10621.558,12916.958,
196,246.86186255308968,0.5299523,,,,103,22,[2M-3H2O+Na]+,,2,178;196,138.95638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322114.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
201,264.8726292914198,0.5299523,,,,103,22,[2M-2H2O+Na]+,,2,178;201,138.95638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224633.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
207,288.89064941009065,0.5299523,,,,103,27,[M-H2O+Na]+,,2,180;207,283.91069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258897.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
216,318.79168722350556,0.5299523,,,,103,52,[M+K]+,,3,216;233;235,279.83129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203754.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
217,326.91975424958997,0.5299523,,,,103,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64492.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
220,336.80228830498015,0.5299523,,,,103,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171815.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
221,359.8182687135738,0.5299523,,,,103,52,[M+ACN+K]+,,2,221;233,279.83129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118673.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
224,364.79733626607407,0.5299523,,,,103,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161280.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
228,462.72693662874764,0.5299523,,,,103,59,[M-2H2O+NH4]+,,2,231;228,480.71592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44952.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
229,464.7221939411942,0.5299523,,,,103,44,[M+NH4]+,,2,229;195,446.69023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175172.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
231,481.7248757976742,0.5299523,,,,103,59,[M+H]+,,2,228;231,480.71592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64929.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
233,582.6570353640562,0.5299523,,,,103,52,[2M+Na]+,,3,216;221;233,279.83129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89479.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
279,131.54243875219268,0.5407914,,,,,,,,,,,29576.576,0,12376.469,0,0,122813.65,25039.602,67671.7,21066.709,0,0,0,38315.34,0,0,69906.94,0,47288.703,0,86335.16,88522.59,41200.906,0,132403.97,43574.77,0,24683.344,0,0,0,49625.188,76527.03,67777.0,14135.545,0,0,0,27152.785,38724.867,
288,266.1596680377222,0.5414907,,,,,,,,,,,0,0,0,62187.938,53466.99,20493.596,0,41428.92,0,0,206260.73,0,0,58698.035,0,157839.75,26680.37,66558.54,0,27770.096,0,47572.875,0,13287.818,0,0,16968.916,0,23928.59,0,0,0,0,375552.06,156433.17,0,0,41225.56,0,
290,249.0408876503107,0.5419552,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,272199.38,0,0,0,0,0,0,0,246491.2,0,0,0,0,0,297365.7,0,0,0,0,0,289767.53,0,0,0,0,383449.94,0,0,0,
306,332.9978105101156,0.5446647,,,,2327,80,[M+K]+,,2,306;317,294.03298,16059.277,19166.076,9082.085,17584.041,18919.328,74429.734,0,0,0,0,0,0,25267.39,0,0,27546.49,24830.475,23640.172,0,14736.467,37351.33,0,0,71543.984,0,0,0,0,14696.68,10205.1,9419.952,36137.24,29754.72,0,89758.305,0,0,0,10270.403,
307,249.04206535834956,0.54467416,,,,2244,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476863.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
324,249.04390560733918,0.54853916,,,,,,,,,,,0,0,0,167741.33,0,0,0,311806.84,0,0,0,0,0,0,134014.44,413993.97,0,254909.92,0,0,0,0,0,0,0,0,0,0,111385.0,0,0,414287.06,0,0,0,0,0,0,0,
325,265.0213610973925,0.54865676,,,,1009,,,,,,,169591.98,281802.3,188459.75,0,0,528566.5,188485.75,276329.47,105179.53,0,0,123761.06,240673.86,0,210139.67,266783.1,245807.95,236771.16,290156.47,0,310077.56,0,0,481635.5,0,0,89944.25,196080.97,174803.1,191722.45,135327.72,281543.5,0,0,580587.94,229395.02,225631.52,0,147478.83,
330,236.90495147564292,0.54962045,,,,,,,,,,,38828.26,0,91943.11,30945.662,18228.984,12186.348,62869.7,48595.5,40886.38,76005.55,75762.125,28533.781,53640.87,31047.043,50935.3,68632.586,40215.45,43838.016,28726.102,79355.11,17578.658,73784.59,0,48964.043,75353.91,20763.818,82282.875,52880.1,16747.69,42171.176,68933.79,39334.676,57084.777,45919.676,12001.3955,50001.434,47554.133,116302.6,49914.297,
331,404.8278441831185,0.54972404,,,,1590,,,,,,,11284.784,0,43438.082,0,0,0,26297.908,0,12380.723,31749.293,0,0,16715.014,10919.164,15427.071,17244.547,0,10687.022,0,19140.137,0,22543.059,0,0,28296.342,0,37080.24,20171.121,0,13666.931,24220.398,0,0,17708.816,0,0,21812.348,63736.496,0,
332,139.53106615591508,0.5498135,,,,1733,,,,,,,61017.37,0,49254.63,138700.02,179037.36,170689.62,67002.75,69944.88,33874.47,0,13219.734,29939.998,98073.83,25468.045,68185.516,72343.03,68089.17,75462.266,130622.97,41070.66,109337.27,14593.057,0,148313.31,0,18797.63,20329.371,62067.22,48790.266,77388.75,39470.27,90479.95,81202.35,11857.517,210442.3,0,0,10798.425,45777.742,
333,267.0385448847547,0.5501056,,,,970,,,,,,,0,0,0,0,0,0,0,0,0,0,0,226824.06,0,131999.02,0,0,0,0,0,0,0,0,0,0,0,215799.72,0,0,327686.06,0,0,0,0,0,0,0,0,0,0,
334,265.0228873799773,0.55010664,,,,,,,,,,,0,0,0,315868.2,385300.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
338,201.05141263136363,0.5502462,,,,970,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,164468.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
347,320.86635694564876,0.5513754,,,,,,,,,,,47988.613,0,165812.03,32514.914,17851.54,0,99968.08,46868.926,53576.465,130302.695,118022.57,27639.057,71100.586,39546.695,66327.734,73227.55,32804.066,48684.438,32166.658,87560.125,0,0,0,33046.848,112328.875,17503.928,124985.37,85620.734,15131.807,57989.793,93942.484,32729.555,53907.77,67305.51,0,52150.074,72198.36,0,62426.668,
375,287.00151851170256,0.5551363,,,,,,,,,,,25430.533,0,16687.525,21799.95,0,22787.213,18182.799,41066.99,18820.395,11589.002,36640.664,8092.041,28303.607,12754.691,19868.682,58240.535,27370.363,31182.38,20632.639,58716.867,26813.34,42302.832,0,47051.37,35200.39,0,28417.604,0,0,0,0,46453.555,30403.93,24987.44,26253.547,34630.555,32171.383,34400.094,0,
380,251.06103964546398,0.5554925,,,,970,85,[M+H]+,,2,403;380,250.05379,0,0,0,0,0,0,0,0,0,0,0,122226.64,0,128715.35,0,0,0,0,0,0,0,0,0,0,0,258271.6,0,0,124883.25,0,0,0,0,0,0,0,0,0,0,
384,301.0604205628724,0.55572253,,,,1009,,,,,,,0,0,0,18008.896,0,58774.16,0,16974.285,0,0,0,0,14736.523,0,0,28062.416,0,23056.99,20393.406,0,0,5765.838,0,23690.75,0,0,0,0,0,0,0,42146.848,0,4956.5137,71477.13,0,0,0,0,
385,249.04580855326782,0.556,,,,,,,,,,,122063.61,58915.242,0,0,0,536125.0,0,0,0,43826.992,0,0,189925.28,0,0,0,266496.66,0,0,0,360619.56,188324.73,0,0,0,87087.59,0,46572.793,0,69621.53,0,0,0,0,491006.66,0,0,0,176151.47,
397,236.0796544025517,0.5569681,,,,,,,,,,,0,0,0,120788.88,0,51208.535,0,746689.6,22103.602,38727.152,58079.176,0,0,0,705333.25,276621.75,46600.785,113797.13,54744.035,62638.7,0,148013.89,0,22964.35,59310.625,53629.887,570249.8,0,0,188788.64,0,146755.7,229243.39,0,0,33776.062,109353.836,45941.5,361760.72,
414,401.096461876768,0.55986583,,,,970,,,,,,,0,0,0,0,0,0,0,0,0,0,0,40268.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85443.4,0,0,0,0,0,0,0,0,0,0,
418,290.8472791091507,0.56051934,,,,959,,,,,,,70267.266,0,324341.8,61230.312,30670.92,0,190550.19,40728.72,121988.92,335395.28,229935.53,35142.246,119343.67,53755.824,132155.88,86982.4,24770.797,54798.586,52733.01,73434.766,0,122230.09,0,18018.797,192732.14,12203.319,282572.22,229088.6,16394.66,108969.11,155120.66,33888.918,29418.543,201095.77,0,53391.79,160105.81,476357.4,86645.66,
433,445.08669457328784,0.5622832,,,,1733,,,,,,,45787.72,0,27173.822,159147.88,84134.266,233079.8,0,65401.195,20351.414,0,0,0,70341.51,0,46969.945,74143.8,44483.277,82726.91,116331.83,25205.543,107909.305,0,0,104540.19,0,0,8152.382,0,0,0,30183.113,113195.74,0,28549.902,324240.7,38886.348,58515.227,0,26666.156,
440,130.52587074101086,0.56341875,,,,1733,,,,,,,32843.387,30362.447,0,85585.36,89968.24,118417.1,0,36942.34,0,0,0,0,44490.86,17866.469,36007.805,32436.44,32594.875,41409.156,57638.668,0,47450.492,0,0,96377.13,0,12010.177,8488.846,50253.7,35239.273,36138.07,0,41627.215,29093.008,6815.0703,179583.22,26048.432,28856.152,0,0,
442,449.11752109228405,0.56372863,,,,970,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,136004.03,0,0,0,0,0,0,0,0,0,0,0,184111.95,0,0,245441.11,0,0,0,0,0,0,0,0,0,0,
475,282.0869665535795,0.5696792,,,,,,,,,,,0,0,0,61065.4,0,218566.14,0,56141.85,0,0,195731.95,0,0,0,0,192992.44,0,0,0,44842.12,88216.24,180112.19,0,98765.54,33579.04,0,0,0,0,0,0,374540.2,0,157154.47,377327.88,0,0,0,0,
476,192.05536034911344,0.56983936,,,,2349,,,,,,,92565.06,0,70760.0,127007.59,0,413107.25,0,164527.66,0,24963.031,80643.62,0,122473.195,0,0,199942.7,191751.45,112889.95,105604.2,218087.45,229430.69,143557.11,0,290146.9,0,64273.844,0,0,40732.984,70981.945,95821.3,243983.47,121443.29,65089.406,332727.06,133781.34,75137.47,0,109024.31,
484,202.0596853430034,0.5710148,,,,970,,,,,,,0,0,0,0,0,0,0,0,0,0,0,337505.97,0,310208.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414092.22,0,0,0,0,0,0,0,0,0,0,
505,200.0442159373588,0.574055,,,,,,,,,,,138666.14,280416.47,133004.17,348269.34,360363.4,416089.1,93224.49,221630.97,51744.203,98701.93,37227.453,56672.008,215994.42,33537.75,153814.69,159116.58,169348.5,136924.88,283520.12,74239.53,230459.52,32649.8,0,305180.62,0,41176.914,0,216040.23,120223.266,161791.44,86498.97,222052.02,124467.35,43689.785,498679.1,150609.88,136742.72,0,102518.02,
506,387.1339336779875,0.57424814,,,,970,88,[2M+Na]+,,2,506;547,182.07655,0,0,0,0,0,0,0,0,0,0,0,103508.57,0,166786.34,0,0,0,0,0,0,0,0,0,0,0,224922.97,0,0,106108.555,0,0,0,0,0,0,0,0,0,0,
518,290.07600014282707,0.57744193,,,,,,,,,,,58186.414,0,46525.848,199087.2,65774.04,226941.17,0,48191.65,0,0,0,0,115291.46,0,41841.965,123686.16,32030.232,95770.805,139848.8,15445.15,80315.03,31312.023,0,92274.16,0,0,0,35348.12,0,0,24226.201,280689.88,0,81099.77,477354.16,23089.186,44426.08,3038.744,29147.896,
547,221.04216280021146,0.5839525,,,,970,88,[M+K]+,,3,506;548;547,182.07655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
558,465.04102989301924,0.5851811,,,,,,,,,,,146611.45,0,111225.88,122948.17,86680.586,0,224034.3,105418.1,81312.01,260089.27,96104.22,33995.438,151775.06,0,179297.81,100399.875,76340.21,97560.664,105478.42,106111.555,40987.395,75375.94,0,61818.816,164014.12,40551.562,234726.28,230446.42,38726.594,127898.27,136833.36,55727.52,95236.57,83750.305,0,104328.586,214877.66,187507.73,115714.22,
560,268.98235778803087,0.58577406,,,,,,,,,,,0,0,0,0,0,0,262980.28,20025.842,54832.582,0,0,0,17154.475,53487.473,0,64609.973,0,0,0,88204.95,0,30884.676,0,30962.758,22176.094,0,130039.79,0,0,42311.133,107153.53,34003.375,55596.48,0,0,44898.336,58924.527,420235.06,0,
563,427.0758042719888,0.5860206,,,,,,,,,,,58661.465,722539.94,45797.664,87646.21,170120.55,141508.22,93221.19,56694.68,0,42507.223,0,18474.229,62937.637,0,72453.195,40964.355,106952.75,53790.105,88667.47,21462.158,220786.66,0,0,143192.61,0,0,18034.324,225350.69,0,80376.81,19965.957,34705.74,100784.16,0,116854.57,64805.73,44755.535,0,52701.086,
568,352.9436751917002,0.58690196,,,,734,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35778.88,0,
572,292.09112088085453,0.58760166,,,,970,90,[M+NH4]+,,2,615;572,274.05316,0,0,0,0,0,0,0,0,0,0,0,109862.52,0,154433.52,0,0,0,0,0,0,0,0,0,0,0,47041.066,0,0,166826.53,0,0,0,0,0,0,0,0,0,0,
574,184.03734613085075,0.58821476,,,,1085,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801475.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
590,411.09808742645527,0.59053725,,,,,,,,,,,102707.55,485770.9,79007.9,78665.88,55019.027,331758.9,71103.9,128373.164,22604.129,134874.98,27328.865,0,68671.15,11046.685,62941.598,171995.58,202311.08,89272.71,91180.47,207019.31,169455.05,41743.324,0,298293.56,156998.4,76955.89,0,141734.44,33275.86,114673.17,54042.07,100152.87,153827.16,14933.237,173337.45,105006.18,47026.367,73375.49,110307.74,
598,201.0520971216592,0.5917212,,,,970,91,[M+H]+,,1,582,200.04762,0,0,0,0,0,0,0,0,0,0,0,171778.3,0,0,0,0,0,0,0,0,0,0,0,0,0,110303.74,0,0,251153.39,0,0,0,0,0,164326.69,0,0,0,0,
