	feature_id_timar	feature_mz_timar	feature_rt_timar	candidate_structure_molecular_formula_timar	candidate_library_timar	candidate_count_similarity_peaks_matched_timar	candidate_score_similarity_timar	candidate_structure_exact_mass_timar	candidate_structure_xlogp_timar	candidate_structure_inchikey_no_stereo_timar	candidate_structure_smiles_no_stereo_timar	candidate_structure_tax_cla_chemontid_timar	candidate_structure_tax_cla_03cla_timar	candidate_structure_tax_cla_04dirpar_timar	candidate_structure_tax_npc_01pat_timar	candidate_structure_tax_npc_02sup_timar	candidate_structure_tax_npc_03cla_timar	candidate_structure_organism_occurrence_closest_timar	candidate_structure_organism_occurrence_reference_timar	candidate_structure_error_mz_timar	candidate_structure_error_rt_timar	rank_initial_timar	rank_final_timar	score_initial_timar	score_biological_timar	score_chemical_timar	score_final_timar	first_score_final_timar
1408	1409	385.25616393471984	4.787578599999999	C21H36O6|C21H36O6|C21H36O6|C21H39NO6|C23H32N2O3|C21H36O6|C21H36O6	ISDB|ISDB|ISDB|[1M+(H)1]1+ - H3N (ammonia)|ISDB|ISDB|ISDB	1|1|1||1|1|1	0|0|0||0|0|0	384.25119|384.25119|384.25119|401.27774|384.24129|384.25119|384.25119	1.7426|2.1968|1.9103|2.309|3.735|4.3338|1.3449	AVQARFHINIEEIO|MAMURXKKLQVDLN|HZEFDCHHTPMSIO|ZZIKIHCNFWXKDY|BTDUGGGJFMJNOB|NGPDWZZUXGGLNN|GASLMESBWZWBPN	C=C1C(O)CCC(C)C12CCC(C(C)(C)OC1OC(C)C(O)C(O)C1O)C2|CC1=CC(=O)C(C(C)CCC(OC2OC(C)C(O)C(O)C2O)C(C)C)CC1|CC1=CCCC(C)(OC2OC(CO)C(O)C(O)C2O)C=CC(C(C)C)CC1|CCCCCCC(=O)CCCCCCC=CCC(O)C(O)C(N)(CO)C(=O)O|CCC12CCCN3CCC4(c5ccc(OC)c(OC)c5N(C(C)=O)C4CC1)C32|CCCCCCCCCCC1CC(CC(COC(C)=O)OC(C)=O)C(=O)O1|CC(C)=CCC1(O)C(O)C(O)(CC=C(C)C)C(O)C(O)(CC=C(C)C)C1O	0002049|0002049|0002456|0002949|0002755|0001986|0002647	Prenol lipids|Prenol lipids|Prenol lipids|Fatty Acyls|Aspidospermatan-type alkaloids|Carboxylic acids and derivatives|Organooxygen compounds	Terpene glycosides|Terpene glycosides|Germacrane sesquiterpenoids|Long-chain fatty acids|Aspidospermatan-type alkaloids|Tricarboxylic acids and derivatives|Cyclohexanols	Terpenoids|Terpenoids|Terpenoids|Fatty acids|Alkaloids|Fatty acids|Polyketides $ Terpenoids	Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Fatty Acids and Conjugates $ Sphingolipids|Tryptophan alkaloids|Fatty acyls|Meroterpenoids	Spirovetivane sesquiterpenoids|Bisabolane sesquiterpenoids|Germacrane sesquiterpenoids|Oxo fatty acids $ Sphingoid bases|Aspidosperma type|Paraconic acids and derivatives|Polyprenylated cyclic polyketides (Hop meroterpenoids)	Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1021/NP200780M $ 10.1016/0031-9422(89)80227-4|10.1021/NP50100A025|10.1002/MRC.920|10.1111/J.1469-8137.2011.03727.X|10.1002/JPS.2600620206|10.1016/S0031-9422(00)86797-7|10.1016/S0031-9422(00)94653-3	0.00226487199989833|0.00226487199995518|0.00226487200001202|0.00230606528015187|-0.00763111599997046|0.00226487199989833|0.00226487199995518	||||||	1|1|1|1|1|1|1	1|1|1|1|2|3|3	0|0|0|0|0|0|0	0.4|0.4|0.4|0.4|0.4|0.4|0.4	0.75|0.75|0.75|0.75|0.5|0.25|0.25	0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.283283283283283|0.241741741741742|0.241741741741742	0.324824824824825
1409	1410	231.04932249030915	4.797209	C12H10N2OS|C13H10O2S|C13H10O2S|C13H10O2S|C13H10O2S	ISDB|ISDB|ISDB|ISDB|ISDB	4|4|4|2|5	0|0|0|0|0	230.05138|230.04015|230.04015|230.04015|230.04015	3.3|0.8276|1.152|0.8276|2.8983	FGXYYCWDPYDAOS|MZCFHXFKOQBSQU|WADATKPAGZFMOI|WFTNGUFZSYFSLQ|VAXLPDIUYSLCJY	COc1ccc2c(-c3nccs3)c[nH]c2c1|CC#CC#Cc1ccc(C#CC(O)CO)s1|CC#CC#CC#Cc1ccc(C(O)CO)s1|CC#Cc1ccc(C#CC#CC(O)CO)s1|OCc1ccc(C#CC=Cc2ccco2)s1	0002497|0003481|0003481|0003481|0003481	Indoles and derivatives|Thiophenes|Thiophenes|Thiophenes|Thiophenes	Indoles|2,5-disubstituted thiophenes|2,5-disubstituted thiophenes|2,5-disubstituted thiophenes|2,5-disubstituted thiophenes	Alkaloids $ Terpenoids|Fatty acids|Fatty acids|Fatty acids|	Tryptophan alkaloids|Fatty acyls|Fatty acyls|Fatty acyls|	notClassified|Oxygenated hydrocarbons|Oxygenated hydrocarbons|Oxygenated hydrocarbons|	Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1371/JOURNAL.PONE.0163572 $ 10.1016/S0040-4020(01)86431-0|10.1016/J.PHYTOCHEM.2008.07.015 $ 10.3390/MOLECULES23092104 $ 10.1016/S0031-9422(00)84953-5 $ 10.1016/S0031-9422(98)00462-2 $ 10.1021/OL202680A $ 10.3390/MOLECULES15085273|10.1002/HLCA.200890003|10.1055/S-2007-981616 $ 10.1023/B:JOEC.0000006440.57230.A9 $ 10.1016/0031-9422(89)80378-4 $ 10.1080/1028602021000000071 $ 10.1055/S-2006-957802|10.3891/ACTA.CHEM.SCAND.43-0799	0.00935994000002438|-0.00187343999999712|-0.00187343999999712|-0.00187343999999712|-0.00187343999999712	||||	3|3|3|3|3	1|2|2|2|3	0|0|0|0|0	0.4|0.4|0.4|0.4|0.4	1|0.5|0.5|0.5|0.25	0.366366366366366|0.283283283283283|0.283283283283283|0.283283283283283|0.241741741741742	0.366366366366366
1410	1411	249.0606201586212	4.798415	C8H13N2O5P|C15H8N2O2|C15H8N2O2|C15H8N2O2|C12H12N2O2S|C16H8O3	ISDB|ISDB|ISDB|ISDB|ISDB|ISDB	3|1|1|3|4|1	0|0|0|0|0|0	248.05621|248.05858|248.05858|248.05858|248.06195|248.04734	0.16362|0.0999|1.9301|2.1345|1.9561|3.0044	ZMJGSOSNSPKHNH|QVJHQBASCBRCRU|VQQVWGVXDIPORV|RXYBNWADCFEVRL|WUEBKLMRCKZPFG|CXXCRLLJRGEAJV	Cc1ncc(COP(=O)(O)O)c(CN)c1O|O=C1C=CC=C2C(=O)c3c4c(ccc3=C2N1)=CC=N4|O=C1c2ccccc2-n2c1nc1ccccc1c2=O|O=C1c2cccc(=O)nc2-c2ccc3cc[nH]c3c21|O=C(O)C1CSC(c2c[nH]c3ccccc23)N1|O=C1c2ccccc2-c2c1oc1ccccc1c2=O	0004259|0000211|0002087|0002677|0004146|0000494	Pyridines and derivatives|Indoles and derivatives|Diazanaphthalenes|Indenes and isoindenes|Carboxylic acids and derivatives|Isoflavonoids	Pyridoxamine 5'-phosphates|Indoles and derivatives|Indoloquinazolines|Indenoazepines|L-alpha-amino acids|Isoflavones	Alkaloids|Alkaloids|Alkaloids|Alkaloids|Alkaloids|Shikimates and Phenylpropanoids	Nicotinic acid alkaloids|Tryptophan alkaloids|Anthranilic acid alkaloids|notClassified|Tryptophan alkaloids|notClassified	Pyridine alkaloids|Pyrroloquinoline alkaloids|Quinazoline alkaloids|notClassified|Carboline alkaloids|notClassified	Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/J.DIB.2020.106469 $ 10.3390/METABO4030599 $ 10.3390/IJMS19041049 $ 10.1007/S00425-002-0799-0|10.1016/S0040-4039(00)60781-5 $ 10.1021/NP800123G|10.1248/CPB.57.1089 $ 10.1248/CPB.46.886 $ 10.1016/J.PHYTOCHEM.2009.04.019 $ 10.1055/S-2006-949964 $ 10.1016/S0040-4020(01)96609-8 $ 10.1021/NP800064W $ 10.1021/NP3002833 $ 10.3987/COM-00-S(I)96 $ 10.4268/CJCMM20100812 $ 10.1007/S12272-018-1020-8 $ 10.1055/S-0028-1097245 $ 10.1055/S-2003-39718 $ 10.1055/S-2002-20252 $ 10.1055/S-2001-15805 $ 10.1515/ZNC-1994-1-208|10.1016/S0040-4039(00)60781-5 $ 10.1021/NP800123G|10.1104/PP.113.2.463|10.1016/0031-9422(92)80469-U	0.00288414600001374|0.00525349599999458|0.00525349599999458|0.00525349599999458|0.00862462399999231|-0.00597988399999849	|||||	7|7|7|7|7|7	1|1|1|2|2|3	0|0|0|0|0|0	0.4|0.4|0.4|0.4|0.4|0.4	0.75|0.75|0.75|0.5|0.5|0.25	0.324824824824825|0.324824824824825|0.324824824824825|0.283283283283283|0.283283283283283|0.241741741741742	0.324824824824825
1411	1412	827.3673405784488	4.7929535	C54H50O8|C42H54N2O15|C42H54N2O15|C37H63O16PS	ISDB|ISDB|ISDB|ISDB	2|4|8|12	0|0|0|0	826.35057|826.35242|826.35242|826.35744	12.6576|3.0591|3.0591|	CEXVGDLGKOJDMY|HDNFKWOIOAMTET|VKILZIVFMPURPQ|SXKXTQCESSKXSW	C=CCc1ccc(Oc2cc(C3Oc4cc(CC=C)cc(Oc5ccc(CC=C)cc5)c4OC3COc3ccc(CC=C)cc3-c3cc(CC=C)ccc3O)cc(O)c2O)cc1|CCC(C)C(=O)OC1C(OC(=O)c2ccc(=O)n(C)c2)C2C(OC(C)=O)C3(OC2(C)C)C(C)CC(OC(=O)c2ccc(=O)n(C)c2)C(OC(C)=O)C13COC(=O)C(C)C|CCC(C)C(=O)OCC12C(OC(C)=O)C(OC(=O)c3ccc(=O)n(C)c3)CC(C)C13OC(C)(C)C(C(OC(=O)c1ccc(=O)n(C)c1)C2OC(=O)C(C)C)C3OC(C)=O|CC(=O)OCC1OC(OP(=O)(O)OC2CC3C(CCC4(C)C3CC(OC(C)=O)C4C(C)CCCC(C)C)C3(C)CCC(OS(=O)(=O)O)CC23)C(O)C(O)C1O	0002707|||	Benzodioxanes|||	Phenylbenzo-1,4-dioxanes|||	Shikimates and Phenylpropanoids|Terpenoids|Terpenoids|	Lignans|Sesquiterpenoids|Sesquiterpenoids|	Neolignans|Agarofuran sesquiterpenoids|Agarofuran sesquiterpenoids|	Magnoliopsida|Magnoliopsida|Magnoliopsida|	10.1248/CPB.49.716 $ 10.1016/S0040-4039(00)77489-2 $ 10.1016/S0040-4020(01)89002-5 $ 10.1016/S0040-4039(01)93502-6|10.3389/FMOLB.2022.1028334|10.3389/FMOLB.2022.1028334|	-0.00945543999989695|-0.00760497199996735|-0.00760497199985366|-0.00258043399969665	|||	1|1|1|1	1|2|2|3	0|0|0|0	0.4|0.4|0.4|0	1|0|0|0	0.366366366366366|0.2002002002002|0.2002002002002|0	0.366366366366366
1412	1413	425.1788975980037	4.797923	C21H28O9|C22H34O4|C21H28O9|C21H28O9|C21H28O9|C21H28O9|C21H28O9|C21H28O9|C22H34O4	ISDB|[1M+(Cu)1]1+|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|[1M+(Cu)1]1+	5||6|1|3|1|2|1|	0||0|0|0|0|0|0|	424.17333|362.24571|424.17333|424.17333|424.17333|424.17333|424.17333|424.17333|362.24571	0.8969|6.1137|0.9158|0.9158|1.5429|1.267|1.6837|1.6751|3.6058	VIRRBXJHWACOBN|FSCOINDZTAFRMP|CFSGXVCRNZCANZ|VMOJOFCRHPIIGU|OFHMKIYDWRVFAN|QCEANJHMJFDZFV|SVLRTDXESNSEIT|WBAXYFVRCQQQCI|YEMYUZHZOZMLBB	C=C(CO)C(=O)OC1CC(C)(O)C2(OC)CCC(C)(C=C3OC(=O)C(COC)=C31)O2|O=C(O)CCCCCCCCCCCCCCc1ccc2c(c1)OCO2|CCCCOC(=O)C1(O)CC(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C(O)C1|CCCCOC(=O)C1(O)CC(O)C(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C1|C=C1C(=O)OC2C3=C(C)C(OO)CC3C(C)(O)C(OC(C)=O)C(OC(=O)C(C)C)C12|CC(=O)OCC1=C2C(=CC3(C)CCC(O)(O3)C(C)(O)CC2OC(=O)C(C)C)OC1=O|CC(=O)OCC=C(C)C(=O)OC1C(=O)C(COC(C)=O)=CC(OC(C)=O)C1C(C)C|CCOC12CCC(C)(C=C3OC(=O)C(COC(C)=O)=C3C(OC(C)=O)CC1(C)O)O2|CC(=O)OCC1C2C3CCC4C(C)(CO)CCCC4(C)C3CC(=O)C12C	0001713|0002949|0002512|0002512|0001986|0001986|0002966|0001986|0001238	Hydroxy acids and derivatives|Fatty Acyls|Organooxygen compounds|Organooxygen compounds|Carboxylic acids and derivatives|Carboxylic acids and derivatives|Carboxylic acids and derivatives|Carboxylic acids and derivatives|Carboxylic acids and derivatives	Beta hydroxy acids and derivatives|Long-chain fatty acids|Quinic acids and derivatives|Quinic acids and derivatives|Tricarboxylic acids and derivatives|Tricarboxylic acids and derivatives|Tetracarboxylic acids and derivatives|Tricarboxylic acids and derivatives|Carboxylic acid esters	Terpenoids|Fatty acids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids	Sesquiterpenoids|Fatty Acids and Conjugates|Phenylpropanoids (C6-C3)|Phenylpropanoids (C6-C3)|Sesquiterpenoids|Sesquiterpenoids|notClassified|Sesquiterpenoids|Diterpenoids	Germacrane sesquiterpenoids|Carbocyclic fatty acids|Cinnamic acids and derivatives|Cinnamic acids and derivatives|Guaiane sesquiterpenoids|Germacrane sesquiterpenoids|notClassified|Germacrane sesquiterpenoids|Cassane diterpenoids	Magnoliopsida|Magnoliopsida|Ranunculaceae|Ranunculaceae|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/J.PHYTOCHEM.2005.07.006|10.1016/S0031-9422(00)00477-5|10.1021/NP9701889|10.1021/NP9701889|10.1016/J.PHYTOCHEM.2007.07.021 $ 10.1016/S0031-9422(00)00160-6|10.1016/S0031-9422(97)00703-6|10.1055/S-0030-1270935|10.1016/S0031-9422(00)90814-8|10.1021/NP049890C	0.0017084759999193|-0.00413759800375146|0.0017084759999193|0.0017084759999193|0.0017084759999193|0.0017084759999193|0.0017084759999193|0.0017084759999193|-0.00413759800375146	||||||||	6|6|6|6|6|6|6|6|6	1|1|2|2|3|3|3|3|3	0|0|0|0|0|0|0|0|0	0.4|0.4|0.6|0.6|0.4|0.4|0.4|0.4|0.4	1|1|0.25|0.25|0.75|0.75|0.75|0.75|0.75	0.366366366366366|0.366366366366366|0.341841841841842|0.341841841841842|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825	0.366366366366366
1413	1414	363.274093356944	4.8567142	C21H34N2O3|C20H34N4O2|C19H38O6	ISDB|ISDB|ISDB	9|6|27	0.0730448588728905|0.0356618389487267|0.29497566819191	362.25694|362.26818|362.26684	2.9737|1.5854|	IWKSNUCWADZDQR|YMAWLWVKJGYXTR|ZCSPMSRILJREOV	CCCCCC(=O)OC1CCN2CC3CC(CN4C(=O)CCCC34)C2C1|COc1ccc(C2CC(=O)NCCCNCCCCNCCCN2)cc1|O=C(CCCCCCCCC(O)CCCCCCO)OCC(O)CO	0001795|0000064|	Lupin alkaloids|Macrolactams|	Sparteine, lupanine, and related alkaloids|Macrolactams|	Alkaloids|Alkaloids|	Lysine alkaloids|Ornithine alkaloids|	Quinolizidine alkaloids|Polyamines|	Magnoliopsida|Magnoliopsida|	10.1021/NP50074A020 $ 10.1016/0031-9422(91)84195-X|10.1021/NP50098A028|	-0.0098810519999688|0.00135232799999585|1.49359999568333e-05	||	5|6|1	1|2|3	0.0730448588728905|0.0356618389487267|0.29497566819191	0.4|0.4|0	1|1|0	0.39071465265733|0.378253646015942|0.0983252227306367	0.39071465265733
1414	1415	461.2359438072474	4.853628	C29H32O5|C29H32O5|C29H32O5|C29H32O5|C29H32O5|C18H32N6O8|C29H32O5|C29H32O5|C22H36O10|C23H32N4O6	ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB	1|3|1|8|1|1|1|3|1|1	0|0|0|0|0|0|0|0|0|0	460.22497|460.22497|460.22497|460.22497|460.22497|460.22816|460.22497|460.22497|460.23085|460.23218	7.636|7.636|7.636|7.636|7.636|-3.2582|6.9451|6.919|-1.3052|1.3238	BMYVJRXHARUANU|CCWIMMSTOFZECW|CHBPBJKGYCNSLI|DTYUZPMVRGLDSX|JDHGGJLFIYASAS|SNAKIVFVLVUCKB|UUCAKUXYHNRXRO|ZHFUOBRTYSARSE|UIUPSHYSTLJURC|RNAPMVLHEPFASW	CC(C)=CCCC1(C)C=Cc2c(cc(O)cc2-c2cc3cc(O)c(O)c(CC=C(C)C)c3o2)O1|CC(C)=CCCC1(C)C=Cc2c(c(O)c(CC=C(C)C)c3cc(-c4cc(O)cc(O)c4)oc23)O1|CC(C)=CCCC1(C)C=Cc2c(O)cc(-c3cc4c(O)cc(O)cc4o3)c(CC=C(C)C)c2O1|CC(C)=CCCC(C)=CCc1c(O)c2c(c3cc(-c4cc(O)cc(O)c4)oc13)C=CC(C)(C)O2|CC(C)=CCCC(C)=CCc1c(O)c2c(c3oc(-c4cc(O)cc(O)c4)cc13)C=CC(C)(C)O2|CC(NC(=O)C(CCC(=O)O)NC(=O)C(N)CC(N)=O)C(=O)NC(CCCCN)C(=O)O|CC(C)=CCCC(C)=CCc1c(O)c(C(=O)C(C)C)c2oc(=O)cc(-c3ccccc3)c2c1O|CCCCOC1c2c(c3c(c4c(-c5ccccc5)cc(=O)oc24)OC(C)(C)C=C3)OC(C)C1C|C=C(C(=O)OC)C1CCC2(C)C(OC3OC(CO)C(O)C(O)C3O)CC(O)C(C)C2C1O|NC(CCC1=CN2C=C(C3CCCC(C(=O)O)N3)CCC2C2CCC(C(=O)O)N=C12)C(=O)O	0003405|0003405|0003405|0003405|0003405|0004831 $ 0000348|0001389 $ 0003650|0003650|0002049|0001858	2-arylbenzofuran flavonoids|2-arylbenzofuran flavonoids|2-arylbenzofuran flavonoids|2-arylbenzofuran flavonoids|2-arylbenzofuran flavonoids|Carboxylic acids and derivatives|Neoflavonoids|Neoflavonoids|Prenol lipids|Diazanaphthalenes	2-arylbenzofuran flavonoids|2-arylbenzofuran flavonoids|2-arylbenzofuran flavonoids|2-arylbenzofuran flavonoids|2-arylbenzofuran flavonoids|Oligopeptides $ Peptides|Neoflavones $ Prenylated neoflavonoids|Prenylated neoflavonoids|Terpene glycosides|Naphthyridine carboxylic acids and derivatives	Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Amino acids and Peptides|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Terpenoids|Alkaloids	Isoflavonoids|Isoflavonoids|Isoflavonoids|Isoflavonoids|Isoflavonoids|Small peptides|Coumarins|Coumarins|Sesquiterpenoids|notClassified	2-arylbenzofurans|2-arylbenzofurans|2-arylbenzofurans|2-arylbenzofurans|2-arylbenzofurans|Tripeptides|Furocoumarins $ Simple coumarins|Pyranocoumarins $ Simple coumarins|Guaiane sesquiterpenoids|notClassified	Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1080/10286020108040364|10.1016/J.PHYTOL.2009.11.006|10.3390/MOLECULES15096548|10.1016/J.FITOTE.2010.03.017|10.3987/COM-95-7040|10.1080/00021369.1990.10870475 $ 10.1271/BBB1961.54.3301|10.1016/J.BMC.2010.09.044|10.1002/HLCA.200900469|10.1016/S0031-9422(00)00088-1|10.1016/J.TETLET.2009.02.082	-0.00364987600011091|-0.00364987600011091|-0.00364987600011091|-0.00364987600011091|-0.00364987600011091|-0.000462016000085441|-0.00364987600011091|-0.00364987600011091|0.00222335199987356|0.00356074399991257	|||||||||	1|1|1|1|1|1|1|1|1|1	1|1|1|1|1|1|2|2|3|3	0|0|0|0|0|0|0|0|0|0	0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4	1|1|1|1|1|1|0.75|0.75|0.25|0.25	0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.324824824824825|0.324824824824825|0.241741741741742|0.241741741741742	0.366366366366366
1415	1416	266.17269065712003	4.8538065	C16H25NO4|C16H25NO4|C15H23NO3|C15H23NO3|C17H19N3|C15H23NO3|C15H23NO3	[1M+(H)1]1+ - CH2O|[1M+(H)1]1+ - CH2O|ISDB|ISDB|ISDB|ISDB|ISDB	||1|1|1|1|1	||0|0|0|0|0	295.17836|295.17836|265.16779|265.16779|265.1579|265.16779|265.16779	1.2883|2.0527|2.2844|2.0953|3.79122|2.7055|2.7055	PJKJIJIZWMVHLU|AUZMUMNBZCSKGT|QSHYYIYLRZCESD|XLENIFHWAQKXIF|DIZAFWUMCZPYGF|KHPBRJKLVIUPRG|VSZILFSCHHLHOH	CCC(O)C1CCC2OC34CCCN1C2C3C(C)C(=O)O4|CC=C(C)C(=O)OC1CC2CC(OC(=O)CC)C(C1)N2C|CC1CCC(c2ccoc2)N2C1CCC(C)(O)C2O|CC1CCC2C(C)CCC(C(C=O)=CC(=O)O)N2C1|Cc1ncc(C2CCCN2C)c2c1[nH]c1ccccc12|COc1ccc(C(=O)CCCCCN(C)C)cc1O|COc1cc(C(=O)CCCCCN(C)C)ccc1O	0001816|0000492|0000222|0000222|0001140|0004298|0004298	Furofurans|Tropane alkaloids|Quinolizines|Quinolizines|Harmala alkaloids|Organooxygen compounds|Organooxygen compounds	Furofurans|Tropane alkaloids|Quinolizines|Quinolizines|Harmala alkaloids|Alkyl-phenylketones|Alkyl-phenylketones	Alkaloids|Alkaloids|Alkaloids|Alkaloids $ Terpenoids|Alkaloids|Alkaloids|Alkaloids	Ornithine alkaloids|Ornithine alkaloids|Lysine alkaloids|Lysine alkaloids $ Pseudoalkaloids|Tryptophan alkaloids|Tyrosine alkaloids|Tyrosine alkaloids	Stemona alkaloids|Tropane alkaloids|Quinolizidine alkaloids|Quinolizidine alkaloids $ Terpenoid alkaloids|Carboline alkaloids|Phenylethylamines|Phenylethylamines	Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1021/NP070099O|10.1016/J.FITOTE.2010.09.010|10.1021/JA00779A038|10.3987/COM-08-S(D)62|10.2307/4117899 $ 10.3987/R-1976-11-1783|10.1021/NP900580F|10.1021/NP900580F	0.00238934287995107|0.00238934287995107|0.00236959599999409|0.00236959599999409|-0.00752639200004523|0.00236959599999409|0.00236959599999409	||||||	1|1|1|1|1|1|1	1|1|2|2|3|3|3	0|0|0|0|0|0|0	0.4|0.4|0.4|0.4|0.4|0.4|0.4	1|1|0.75|0.75|0.5|0.5|0.5	0.366366366366366|0.366366366366366|0.324824824824825|0.324824824824825|0.283283283283283|0.283283283283283|0.283283283283283	0.366366366366366
1416	1417	226.1801669578559	4.854635	C13H23NO2|C13H23NO2|C13H23NO2	ISDB|ISDB|ISDB	27|22|38	0.0920045971870422|0.0776963457465172|0.138530850410461	225.17288|225.17288|225.17288	2.06|2.2009|2.5847	GZYSVGWNLDGWPZ|OGQXAZJUVVPCRL|CNUUHKVLRVPYKE	CCC(C)C(=O)OCC1CCN2CCCC12|CCC(C)C(=O)OC1CC2CCC(C1)N2C|CCCCCC1(CC(C)=O)CCCC(=O)N1	0000220|0000492|0000279	Pyrrolizidines|Tropane alkaloids|notClassified	Pyrrolizidines|Tropane alkaloids|Alkaloids and derivatives	Alkaloids|Alkaloids|Alkaloids	Ornithine alkaloids|Ornithine alkaloids|notClassified	Pyrrolizidine alkaloids|Tropane alkaloids|notClassified	Magnoliopsida|Magnoliopsida|Eukaryota	10.1080/10286020.2010.502892|10.1016/S0031-9422(00)90061-X $ 10.1055/S-0028-1099896 $ 10.1111/J.2042-7158.1954.TB10963.X $ 10.1016/0031-9422(92)80490-6 $ 10.1016/S0031-9422(00)90733-7 $ 10.1016/J.FITOTE.2010.09.010 $ 10.1016/0031-9422(94)00777-Q $ 10.1002/CBER.19530861110|10.1021/NP960129F	-4.50240000020585e-05|-4.50240000020585e-05|-4.50240000020585e-05	||	6|8|5	1|2|3	0.0920045971870422|0.0776963457465172|0.138530850410461	0.4|0.4|0.1	1|1|0.5	0.397034565428714|0.392265148281872|0.179310083269953	0.397034565428714
1417	1418	289.24853043812993	4.855728599999999	C20H32O|C20H32O|C20H32O	ISDB|ISDB|ISDB	2|3|4	0.0240262802690268|0.0228130053728819|0.0167154986411333	288.24532|288.24532|288.24532	5.522|5.1123|5.1139	JJMJYXWBOKUIKH|MCYODHVOZQYHEO|YQXKHENEQRLREB	CC1=CCCC2C1(C)CCC(C)C2(C)CCC1=CCOC1|C=CC1(C)CCC2(C)C(CCC3(C)C(=C)C(O)CCC32)C1|C=CC1(C)CCC2(C)C3=CCCC(C)(CO)C3CCC2C1	0001757|0001757|0000223	Prenol lipids|Prenol lipids|Phenanthrenes and derivatives	Colensane and clerodane diterpenoids|Colensane and clerodane diterpenoids|Hydrophenanthrenes	Terpenoids|Terpenoids|Terpenoids	Diterpenoids|Diterpenoids|Diterpenoids	Colensane and Clerodane diterpenoids|Erythroxylane diterpenoids|Norpimarane and Norisopimarane diterpenoids $ Pimarane and Isopimarane diterpenoids	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1021/NP500042C|10.1002/CHIN.200424160|10.1248/CPB.59.382	0.00409164400002737|0.00409164400002737|0.00409164400002737	||	8|9|18	1|2|3	0.0240262802690268|0.0228130053728819|0.0167154986411333	0.4|0.4|0.4	1|1|1	0.374375126456042|0.37397070149066|0.371938199246744	0.374375126456042
1418	1419	1155.1518053267735	4.854555																									
1419	1420	456.28045022014015	4.85685	C26H37N3O4|C27H37NO5|C21H37N5O6	ISDB|ISDB|ISDB	12|17|9	0|0.00091291667195037|0	455.27841|455.26717|455.27438	3.4184|2.7992|-0.6735	JATPORNSZHDYDX|LQDPZVYIZKOAPV|KBIRYFSNYHBRLD	CC(C)C=CC(=O)NC1C(=O)NC(CC(C)C)C(=O)NC=Cc2ccc(cc2)OC1C(C)C|CC(C)(O)C1OC2CCC3(C)C(CCC4Cc5c([nH]c6ccccc56)C43C)C2(O)C(O)C1O|CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)NC(C(=O)N1CCCC1C(=O)O)C(C)C	0001995|0001640|0004831	Carboxylic acids and derivatives|Naphthopyrans|Carboxylic acids and derivatives	Cyclic peptides|Naphthopyrans|Oligopeptides	Alkaloids $ Amino acids and Peptides|Alkaloids $ Terpenoids|Amino acids and Peptides	Peptide alkaloids|Tryptophan alkaloids|Small peptides	Ansa peptide alkaloids|Indole-Diterpenoid alkaloids (Penitrems)|Tripeptides	Magnoliopsida|Eukaryota|Eukaryota	10.1016/J.PHYTOCHEM.2004.02.006|10.1021/NP400304Q|10.1021/ACS.JAFC.9B02276	0.00518266399996037|-0.00605071600000429|0.00115990399990551	||	6|4|6	1|2|3	0|0.00091291667195037|0	0.4|0.1|0.1	1|0.75|0.5	0.366366366366366|0.174978980231991|0.133133133133133	0.366366366366366
