row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,
187,359.8182687135738,0.5299523,,,,335,69,[M+ACN+K]+,,2,187;199,279.83129,0,0,0,0,118673.45,0,0,0,0,0,0,0,0,0,0,0,0,0,
190,364.79733626607407,0.5299523,,,,335,,,,,,,0,0,0,0,161280.14,0,0,0,0,0,0,0,0,0,0,0,0,0,
194,462.72693662874764,0.5299523,,,,335,76,[M-2H2O+NH4]+,,2,194;197,480.71592,0,0,0,0,44952.434,0,0,0,0,0,0,0,0,0,0,0,0,0,
195,464.7221939411942,0.5299523,,,,335,58,[M+NH4]+,,2,195;161,446.69023,0,0,0,0,175172.81,0,0,0,0,0,0,0,0,0,0,0,0,0,
197,481.7248757976742,0.5299523,,,,335,76,[M+H]+,,2,194;197,480.71592,0,0,0,0,64929.164,0,0,0,0,0,0,0,0,0,0,0,0,0,
199,582.6570353640562,0.5299523,,,,335,69,[2M+Na]+,,3,182;187;199,279.83129,0,0,0,0,89479.86,0,0,0,0,0,0,0,0,0,0,0,0,0,
250,249.04097951210645,0.54535466,,,,,,,,,,,0,0,0,0,0,0,0,246491.2,0,0,272199.38,0,0,0,0,0,0,0,
252,249.04370021664727,0.5473821,,,,,,,,,,,0,0,0,0,0,0,167741.33,0,254909.92,0,0,0,0,0,0,0,0,0,
253,236.90501706152804,0.54756135,,,,,,,,,,,38828.26,0,18228.984,50935.3,0,40215.45,30945.662,28726.102,43838.016,91943.11,75762.125,53640.87,52880.1,73784.59,76005.55,42171.176,45919.676,49914.297,
257,265.0226109210206,0.54826367,,,,381,,,,,,,169591.98,0,385300.75,0,0,0,315868.2,290156.47,0,0,0,240673.86,0,0,0,0,0,0,
258,404.82791284235645,0.54848,,,,600,,,,,,,11284.784,0,0,15427.071,0,0,0,0,10687.022,43438.082,0,16715.014,20171.121,22543.059,31749.293,13666.931,17708.816,0,
262,236.0797007304455,0.5503579,,,,,,,,,,,0,0,0,705333.25,0,46600.785,120788.88,54744.035,113797.13,0,58079.176,0,0,148013.89,38727.152,188788.64,0,361760.72,
263,249.04524644135287,0.5504988,,,,,,,,,,,122063.61,0,0,134014.44,0,0,0,0,0,0,0,189925.28,46572.793,0,0,69621.53,0,176151.47,
264,320.86640466834854,0.55055606,,,,,,,,,,,47988.613,0,17851.54,66327.734,0,32804.066,32514.914,32166.658,48684.438,165812.03,118022.57,71100.586,85620.734,0,130302.695,57989.793,67305.51,62426.668,
266,139.53110312324372,0.5509884,,,,381,,,,,,,61017.37,0,179037.36,68185.516,0,68089.17,138700.02,130622.97,75462.266,49254.63,13219.734,98073.83,62067.22,14593.057,0,77388.75,11857.517,45777.742,
281,266.1597016765652,0.55232644,,,,,,,,,,,0,0,53466.99,0,0,26680.37,62187.938,0,66558.54,0,206260.73,0,0,47572.875,0,0,375552.06,0,
289,287.0014949498432,0.5536553,,,,,,,,,,,25430.533,0,0,19868.682,0,27370.363,21799.95,20632.639,31182.38,16687.525,36640.664,28303.607,0,42302.832,11589.002,0,24987.44,0,
314,290.84733767332455,0.55969536,,,,51,,,,,,,70267.266,0,30670.92,132155.88,0,24770.797,61230.312,52733.01,54798.586,324341.8,229935.53,119343.67,229088.6,122230.09,335395.28,108969.11,201095.77,86645.66,
326,249.04664422215524,0.56470627,,,,,,,,,,,0,58915.242,0,0,0,266496.66,0,0,0,0,0,0,0,188324.73,43826.992,0,0,0,
328,282.08686050795257,0.56588143,,,,,,,,,,,0,0,0,0,0,0,61065.4,0,0,0,195731.95,0,0,180112.19,0,0,157154.47,0,
334,445.08687240333126,0.5669431,,,,437,,,,,,,45787.72,0,84134.266,46969.945,0,44483.277,159147.88,116331.83,82726.91,27173.822,0,70341.51,0,0,0,0,28549.902,26666.156,
349,192.05541286914524,0.56995595,,,,,,,,,,,92565.06,0,0,0,0,191751.45,127007.59,105604.2,112889.95,70760.0,80643.62,122473.195,0,143557.11,24963.031,70981.945,65089.406,109024.31,
375,200.04426203087436,0.578398,,,,,,,,,,,138666.14,280416.47,360363.4,153814.69,0,169348.5,348269.34,283520.12,136924.88,133004.17,37227.453,215994.42,216040.23,32649.8,98701.93,161791.44,43689.785,102518.02,
384,290.07608310678603,0.58234715,,,,,,,,,,,58186.414,0,65774.04,41841.965,0,32030.232,199087.2,139848.8,95770.805,46525.848,0,115291.46,35348.12,31312.023,0,0,81099.77,29147.896,
400,465.04104847450446,0.5872479,,,,,,,,,,,146611.45,0,86680.586,179297.81,0,76340.21,122948.17,105478.42,97560.664,111225.88,96104.22,151775.06,230446.42,75375.94,260089.27,127898.27,83750.305,115714.22,
402,184.03734613085075,0.58821476,,,,406,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,801475.3,0,0,0,0,
414,427.0758868483405,0.5910397,,,,,,,,,,,58661.465,722539.94,170120.55,72453.195,0,106952.75,87646.21,88667.47,53790.105,45797.664,0,62937.637,225350.69,0,42507.223,80376.81,0,52701.086,
419,279.04769888505854,0.59249264,,,,407,,,,,,,50021.63,0,27186.783,34289.836,0,20881.852,28101.88,24066.904,30638.729,52008.285,111636.56,29181.096,0,92176.21,0,19610.076,187096.52,34709.965,
422,219.0266337872418,0.5930683,,,,,,,,,,,3195489.2,443872.06,3661646.5,4434204.5,0,2375235.2,7822399.0,4720251.5,3564523.8,7589558.0,1.0340771E7,7146314.5,0,7910377.0,4902447.5,3361506.8,1.1713357E7,3105687.8,
426,411.09812467718746,0.5949764,,,,,,,,,,,102707.55,485770.9,55019.027,62941.598,0,202311.08,78665.88,91180.47,89272.71,79007.9,27328.865,68671.15,141734.44,41743.324,134874.98,114673.17,14933.237,110307.74,
451,176.01091228832314,0.60004574,,,,,,,,,,,589865.94,119312.305,531138.7,479533.6,0,258738.75,1381938.1,0,326167.7,1534054.4,236024.47,648669.25,397734.75,603114.94,365127.47,341669.5,168804.5,592485.2,
455,455.01180241341405,0.6010165,,,,,,,,,,,0,0,60586.98,0,0,0,0,0,0,130450.05,80245.06,0,121933.05,0,75503.57,71611.82,49141.047,0,
465,184.0368004346424,0.60220265,,,,,,,,,,,122271.01,1230740.9,0,0,0,0,0,0,0,0,0,114447.42,3073267.8,0,3710766.2,222321.02,0,0,
467,371.10273030649006,0.60275435,,,,,,,,,,,71770.24,0,178771.69,96971.69,0,74919.74,228890.02,164507.98,86414.18,78488.1,0,154584.72,75811.375,34180.098,26804.852,58952.613,19868.832,42833.426,
473,353.08473982167703,0.6033482,,,,,,,,,,,81308.74,0,100096.07,87690.87,0,44840.754,77670.516,152502.23,70349.91,145730.0,83964.74,79817.01,16390.77,52533.1,0,91148.75,96054.38,61119.875,
475,281.07070197972854,0.6042367,,,,,,,,,,,144492.1,134591.03,543166.4,253155.1,0,224329.53,423415.44,319415.84,135041.67,260754.58,0,313689.75,0,28519.172,144439.14,212256.45,0,133778.56,
476,444.06646386420437,0.6046207,,,,457,105,[2M+ACN+Na]+,,2,476;447,190.02851,0,288756.1,0,0,0,0,0,0,0,6991.815,0,0,0,0,0,0,0,0,
479,273.0818925833075,0.60486627,,,,,,,,,,,115152.19,63628.008,134330.56,152123.11,0,313870.34,233224.16,145248.45,0,165871.47,98109.14,275008.47,121411.49,218672.89,119861.1,119028.1,53829.133,188047.62,
489,455.1165882490887,0.6069373,,,,,,,,,,,0,0,49170.188,165144.02,0,78912.13,36999.17,63860.21,0,77576.55,382099.78,101184.25,13776.026,92070.18,22276.545,41404.406,751998.9,52346.797,
498,293.0633205581016,0.60953575,,,,,,,,,,,227831.31,103642.23,190194.58,404653.53,0,341871.97,522495.38,179771.39,430959.4,202233.58,738856.25,321393.88,108589.734,181204.06,270705.75,192993.72,871602.7,234302.67,
503,381.07941457996907,0.61103415,,,,751,,,,,,,1.5883607E7,0,1.6454389E7,1.987275E7,0,1.3179495E7,1.7865846E7,1.6249799E7,1.1347638E7,1.7490724E7,1.4423403E7,2.080103E7,0,1.2818739E7,1.7972734E7,1.4884712E7,1.0724667E7,1.345034E7,
515,482.03087625501297,0.61395925,,,,457,,,,,,,0,142888.19,0,0,0,0,0,0,0,458816.62,0,0,0,0,102448.07,46600.54,0,0,
518,384.08152063541723,0.615143,,,,,,,,,,,0,0,173681.9,0,0,0,0,0,0,176528.67,0,0,181901.98,0,196702.0,0,0,0,
524,175.11907300617864,0.6163592,,,,,,,,,,,0,6472004.0,29260.486,57715.86,0,111488.94,416653.88,0,43056.87,103235.61,0,56428.65,5698205.0,63221.48,0,936875.94,0,87758.875,
525,354.10810465541186,0.61652124,,,,,,,,,,,197601.86,324125.97,234086.38,264962.03,0,530871.5,268277.22,230678.72,212579.5,139237.55,60106.74,373579.03,173012.28,179574.89,176636.89,203059.0,0,256714.39,
542,543.1328769929997,0.6199308,,,,,,,,,,,68456.125,0,34974.594,55674.49,0,49486.24,45735.598,52094.75,50115.52,0,78744.79,0,0,82558.0,0,172671.84,98182.89,43009.445,
545,525.16615565588,0.62057024,,,,325,,,,,,,218093.8,0,174738.25,233801.25,0,461254.9,260704.16,234279.25,307437.78,60379.76,83501.34,298808.5,86318.74,116765.414,92816.04,133935.77,38346.19,221317.36,
546,203.05267498042753,0.62063664,,,,,,,,,,,308596.94,0,188638.23,239983.05,23705.578,180903.11,480012.4,378824.34,171401.69,403575.53,349441.53,384670.06,194845.52,450030.25,207544.33,159103.78,458817.6,212566.69,
552,875.271714635988,0.62185746,,,,806,,,,,,,89461.6,0,195072.12,113004.43,0,116217.555,180524.7,183550.84,89931.92,0,0,114342.75,0,0,0,37585.57,0,42717.156,
553,696.2245137702035,0.62208885,,,,325,,,,,,,187828.69,0,113945.766,157401.62,0,304491.84,217235.5,174521.53,239678.86,0,0,197579.44,28696.117,53926.824,35078.605,57218.902,0,139705.83,
555,704.2132787965438,0.6226474,,,,806,,,,,,,291516.34,70421.06,602687.5,354566.12,0,331819.2,568712.6,518853.84,287099.06,36282.01,0,344810.62,107213.61,23929.396,0,155017.3,0,152840.97,
558,362.09707661466075,0.6229088,,,,806,,,,,,,196942.7,623000.3,1155978.4,541454.56,0,476354.5,669245.06,566766.7,245964.89,241605.0,24256.857,541560.06,0,64951.406,215011.33,479564.25,0,251463.12,
569,432.1715985388836,0.6248624,,,,325,108,[M-2H2O+H]+,,2,603;569,467.18646,111825.18,83723.94,180883.83,185010.66,0,227229.55,182297.69,82690.85,57139.387,33480.83,130112.5,107519.69,0,191001.02,69836.84,53094.508,160269.62,130738.04,
572,134.08128682817056,0.6257131,,,,,,,,,,,398285.75,0,0,265835.22,0,0,522152.3,260726.25,195326.6,0,60330.64,155424.73,0,0,0,96765.52,0,424688.4,
573,263.01635843605067,0.6261454,,,,,,,,,,,102935.07,81131.6,191530.78,580746.56,0,171719.8,357246.16,200882.08,55682.75,0,155990.0,664821.0,0,432697.56,0,634238.3,231539.44,340473.34,
581,533.155021898982,0.6279197,,,,806,,,,,,,326595.88,207235.3,948326.8,493252.75,0,466174.12,731967.3,642144.8,405034.53,108806.99,35216.61,506456.8,248878.58,51052.74,111490.56,313358.5,25427.184,231959.34,
582,130.05006393675987,0.6279863,,,,,,,,,,,871711.25,1132816.5,1421653.1,1968462.5,0,2473031.8,0,791415.8,1198315.4,867846.8,684206.7,2013100.1,0,512290.5,0,2082271.8,0,0,
585,448.16622461771766,0.62861985,,,,,,,,,,,133907.95,103526.45,153752.34,187173.77,0,272591.3,329353.7,151582.39,129785.78,0,153006.47,183050.66,85537.05,52170.34,207228.9,161184.52,236177.08,179624.84,
603,490.1766828595804,0.63189346,,,,325,108,[M+Na]+,,2,569;603,467.18646,840638.4,180596.58,842554.44,1334335.0,0,1106341.5,1330719.8,1053040.1,471840.28,329312.16,170510.28,1271856.9,0,346824.03,620891.8,591109.8,196935.73,983547.25,
608,263.05275504553015,0.6321178,,,,,,,,,,,139849.75,0,370056.5,324506.9,0,0,405908.62,395156.2,28190.584,682769.94,113080.555,274070.34,0,439521.66,0,0,211730.83,106518.805,
609,146.08125321212907,0.632321,,,,457,,,,,,,0,7.867081E7,1090549.8,641300.25,0,313628.97,86541.05,158454.53,41711.066,0,250687.02,1580741.8,3.5711124E7,1.7347618E7,3.924178E7,2911558.0,0,312988.97,
613,144.06568034946056,0.6335756,,,,16,,,,,,,202703.98,0,104635.37,190084.48,0,121446.31,179596.33,145813.38,0,0,0,266992.4,198933.86,217842.98,201786.5,0,930216.4,109674.54,
620,148.06045578592364,0.635159,,,,,,,,,,,2271465.5,932528.0,0,0,0,2573644.8,0,2240164.5,0,1564123.4,0,0,0,996754.5,1756935.4,0,1495217.2,0,
624,147.07645717642512,0.6360759,,,,325,,,,,,,505086.06,0,1147397.5,0,0,2451752.0,0,304013.2,0,814673.5,599231.25,0,0,0,0,0,0,0,
625,458.18694254706287,0.6360771,,,,619,,,,,,,0,120206.39,0,52922.46,0,35347.484,0,0,0,0,0,68849.82,0,0,114667.4,223924.44,0,0,
628,162.11261188239993,0.6367703,,,,92,,,,,,,35992.68,0,0,683556.06,0,86605.336,101183.43,0,0,26444.723,0,296602.94,0,779841.5,0,47918.137,0,174420.25,
633,476.16023607940747,0.6381477,,,,,,,,,,,186179.6,0,83530.84,121347.195,0,192048.05,152344.72,137753.83,143932.62,0,74342.82,321993.72,96899.05,0,160582.08,0,192714.64,374764.34,
639,130.0864419937602,0.64034325,,,,457,110,[M+Na]+,,2,639;631,107.10164,72003.63,1.1230769E7,305106.5,141135.2,0,0,0,0,119191.11,0,258465.62,404712.84,4230110.5,0,6097307.5,2754252.8,0,132559.55,
675,786.1815824281216,0.6463829,,,,457,,,,,,,0,199585.3,0,0,0,0,0,0,0,31420.623,0,0,0,0,0,0,0,0,
699,412.1447240836718,0.6514802,,,,,,,,,,,355121.16,0,0,0,0,0,0,95484.42,0,28191.492,0,0,0,0,0,0,271216.03,21664.303,
700,354.1393422378615,0.6516155,,,,777,,,,,,,74448.17,0,0,0,0,0,0,0,0,0,460865.8,0,0,0,0,0,370180.0,0,
701,303.0476341161466,0.65164393,,,,,,,,,,,5180618.5,0,0,0,0,320840.5,0,1558677.1,2.0531114E7,2296646.8,2.6646718E7,0,0,0,0,0,1.3489685E7,334365.7,
706,333.0582585895714,0.65340644,,,,,,,,,,,1452013.4,0,0,0,0,1190344.1,2179374.0,2768377.8,0,143057.06,0,0,0,0,0,0,4975607.5,1386289.5,
711,180.08677193622745,0.6541135,,,,865,,,,,,,698646.7,154591.72,660548.25,766493.6,0,508101.97,1500370.0,1006530.1,0,0,0,1141013.8,0,1352757.2,625949.94,462077.53,0,481601.25,
712,388.1810425410985,0.65430874,,,,,,,,,,,150883.92,0,202660.47,183413.67,0,158547.97,140435.94,276161.5,74618.17,49359.535,0,152124.73,58620.25,69929.44,0,99534.06,35463.16,142553.62,
715,567.1312905876773,0.65480363,,,,101,,,,,,,0,0,0,0,0,0,0,0,0,0,394992.8,0,0,0,0,0,149609.4,0,
716,370.134035762198,0.6551185,,,,,,,,,,,51130.305,0,0,0,0,0,0,10764.277,0,0,358641.78,0,0,0,0,0,0,0,
718,442.15558295496356,0.65567404,,,,,,,,,,,96819.19,0,43872.06,90388.734,0,155079.8,0,213259.2,0,0,0,123424.53,0,0,0,0,0,128870.28,
753,460.2026967167273,0.6624273,,,,,,,,,,,0,0,185698.72,0,0,208795.55,197354.78,0,0,0,0,181654.8,0,56304.203,50945.453,0,111534.91,120321.375,
754,198.09738263072242,0.6627627,,,,865,112,[M+NH4]+,,2,754;768,180.06361,964486.75,147819.89,642275.56,980620.8,0,653660.7,1545305.5,1147749.1,0,0,0,1452031.2,0,1575528.0,548701.8,487379.16,0,611871.0,
756,198.12360905588827,0.6633002,,,,1028,,,,,,,102542.14,0,48458.805,1681958.2,0,197257.53,261928.45,105063.14,127446.5,13964.299,0,45981.664,80138.695,435332.12,91173.19,372135.7,0,942630.6,
758,365.10547727225884,0.6636054,,,,509,115,[M+Na]+,,4,819;805;806;758,342.1162,1460115.6,486749.06,811917.56,977959.6,5915.373,912211.75,1153396.1,1328267.6,996102.1,451880.84,0,977455.9,497603.56,561914.2,508380.16,658076.3,628508.56,824267.5,
764,163.06007274617966,0.66619146,,,,865,113,[2M+H]+,,2,786;764,81.03012,545941.5,97694.38,312508.84,355654.38,0,293766.1,511561.84,480630.66,0,0,0,419086.9,0,456209.28,0,217546.14,0,239185.6,
768,127.03923697128245,0.6670277,,,,865,112,[M-3H2O+H]+,,2,754;768,180.06361,735031.94,219729.48,532676.3,656735.56,0,514142.66,847369.4,803036.7,0,0,0,680146.6,445968.44,743941.4,486817.4,406647.7,0,441982.44,
776,495.1112482616156,0.66967744,,,,,,,,,,,0,0,0,98404.8,0,0,46899.01,0,0,0,0,0,0,257589.36,0,0,185789.2,196502.44,
785,325.1127971800977,0.67363524,,,,509,115,[M-H2O+H]+,,2,785;805,342.1162,1364176.0,391803.28,988679.0,1208990.9,0,1015261.25,1362299.5,1453240.9,933685.56,517549.4,925761.75,1092846.0,0,759285.6,0,620159.9,704472.0,795504.56,
786,145.04961083414034,0.6751542,,,,865,113,[M+ACN+Na]+,,2,786;764,81.03012,773075.6,158076.73,535118.56,582498.1,0,459237.62,862516.06,773374.9,0,586042.94,0,704639.1,0,755560.5,0,353115.8,0,385440.8,
800,138.0550318740283,0.68407637,,,,457,,,,,,,0,0,5534673.0,4547112.5,0,4008997.2,6752129.5,434305.03,1567014.4,0,4907250.5,6019009.0,2783161.5,1.7282998E7,2573604.5,2891267.0,3152652.8,4612875.5,
805,360.15008891808066,0.68688923,,,,509,115,[M+NH4]+,,4,819;785;805;758,342.1162,7866946.5,2372087.0,5818816.0,6743722.5,0,5817978.5,7947255.5,8385102.5,5158644.5,3607679.5,0,6359727.5,0,3899819.8,0,3768177.0,3460416.5,4646956.0,
806,343.12357797775877,0.6872373,,,,509,115,[M+H]+,,2,758;806,342.1162,940887.44,254262.33,689199.06,789754.2,0,696278.6,913237.1,992930.0,613968.75,0,0,754440.5,364674.25,470996.66,343782.2,434401.1,0,548739.0,
810,189.15987539662314,0.688503,,,,,,,,,,,96678.6,302605.03,43432.27,102179.87,0,57527.215,120741.47,0,0,113609.31,0,116227.66,229862.17,185659.92,234638.42,393212.4,0,107409.7,
819,289.09167629795445,0.6932056,,,,509,115,[M-3H2O+H]+,,3,819;805;758,342.1162,324343.78,100601.82,242843.5,294628.5,0,245636.34,330078.84,339693.88,218046.02,135197.56,162670.11,278121.0,139406.75,175028.17,138070.38,154117.38,164848.78,194937.61,
845,499.1144443163251,0.7133901,,,,,,,,,,,0,147724.56,72936.72,88116.055,0,51177.48,15324.86,0,0,149448.33,0,90826.53,0,0,0,23253.854,0,38579.14,
854,515.0923071939194,0.72746944,,,,,,,,,,,0,214007.0,178884.22,0,0,17533.76,13782.414,0,0,154490.52,0,0,0,0,13494.88,29285.79,0,0,
902,551.1579178731895,0.7698693,,,,762,,,,,,,62117.754,0,0,0,0,0,0,0,507694.38,0,222734.77,0,0,0,0,0,86823.34,0,
927,229.07054321909345,0.776408,,,,762,117,[M-2H2O+H]+,,3,961;927;934,264.08446,181673.55,0,0,0,0,0,0,0,962189.06,0,0,0,0,0,0,0,358174.28,0,
933,265.0918981221165,0.77850306,,,,762,117,[M+H]+,,3,961;934;895,264.08446,3092992.2,0,0,0,0,153374.3,0,597180.1,1.637952E7,0,0,0,0,0,0,0,0,103146.35,
934,287.07365049067784,0.7785074,,,,762,117,[M+Na]+,,4,933;961;927;934,264.08446,435663.7,0,0,0,0,25131.33,0,113702.93,1610092.0,54169.45,0,0,0,0,0,0,715577.94,0,
935,310.1494101061475,0.77857894,,,,,,,,,,,759026.7,0,16804.133,0,0,71718.984,0,421135.78,1415046.1,44247.35,798281.7,0,0,0,0,0,433026.06,52563.918,
939,548.149039346036,0.78085035,,,,762,,,,,,,0,0,0,0,0,0,0,0,554638.8,0,49836.35,0,0,0,0,0,9786.396,0,
942,133.04972222890723,0.7818047,,,,807,,,,,,,492886.78,0,0,217221.33,0,381727.72,504141.97,589914.44,414561.1,17432.793,0,250269.45,0,0,0,77095.45,0,285224.75,
948,340.16038443248516,0.7824866,,,,529,,,,,,,0,0,45315.1,62377.58,0,110519.3,99871.54,305311.3,0,0,0,63138.973,0,0,0,15174.465,0,94465.81,
949,295.1025398054056,0.78269285,,,,807,,,,,,,714632.0,0,139488.6,273150.97,0,543382.56,819240.06,1008263.75,617054.1,0,0,351177.28,0,0,0,102864.06,0,416797.62,
956,333.05822840189705,0.78474945,,,,352,,,,,,,0,0,585530.4,1212685.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
960,210.0608937584013,0.78613734,,,,,,,,,,,0,107190.53,124813.84,268505.97,0,293152.12,147461.69,262110.36,0,0,0,204512.56,103597.69,126763.12,94304.85,137906.17,89137.97,210566.62,
961,282.11869016385,0.786228,,,,762,117,[M+NH4]+,,4,933;927;961;934,264.08446,9481089.0,0,0,0,0,488203.25,0,1941759.8,4.9291796E7,0,0,0,25226.623,0,0,0,0,341648.78,
965,317.08431442953236,0.7864137,,,,,,,,,,,144458.83,0,0,0,0,77528.24,123092.94,165402.06,0,0,103484.96,50319.27,0,71644.49,0,14934.099,0,66529.94,
973,284.13422522489753,0.7884226,,,,,,,,,,,0,0,42825.184,104570.1,0,42331.773,33556.207,0,0,0,0,81192.445,44859.777,0,61477.02,61533.184,0,0,
974,176.01088986888658,0.788625,,,,,,,,,,,55941.418,0,0,0,0,0,0,0,0,0,0,0,648725.7,0,0,222841.03,0,0,
976,312.1291136965812,0.7903246,,,,,,,,,,,991281.2,0,0,0,0,615948.56,0,0,0,0,0,0,0,0,0,158545.7,0,0,
