row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1687161692_PMA_ALC_13_20230619140041.mzML Peak area,
46,146.09209211870936,0.64101225,,,,,,,,,,,0,262965.0,0,
47,148.06048733392197,0.6553087,,,,,,,,,,,0,0,771524.7,
48,290.91209551640696,0.65620357,,,,,,,,,,,19746.357,0,0,
49,193.07084523632633,0.6612726,,,,,,,,,,,0,239042.28,0,
50,333.0584008848778,0.6612726,,,,,,,,,,,0,2402270.8,0,
51,247.16657041612478,0.6663472,,,,,,,,,,,34297.91,0,0,
52,295.1028953003385,0.6724351,,,,40,,,,,,,108.64426,676468.0,639137.4,
53,365.1055481319568,0.6680984,,,,17,3,[M+Na]+,,4,58;56;59;53,342.11633,963.9702,579297.25,181563.7,
54,246.06107606463922,0.6719058,,,,,,,,,,,0,230506.4,0,
55,261.0370852488424,0.6719058,,,,,,,,,,,0,321686.9,0,
56,360.15021739904205,0.6759796,,,,17,3,[M+NH4]+,,4,58;56;59;53,342.11633,442.90814,3948986.5,1645460.6,
57,133.04973195601303,0.6753676,,,,40,,,,,,,0,490428.7,425730.62,
58,325.11300909163486,0.6780448,,,,17,3,[M-H2O+H]+,,2,56;53,342.11633,28.306507,743166.0,158104.92,
59,343.1235692985152,0.680242,,,,17,3,[M+H]+,,2,56;53,342.11633,35.6168,460912.9,128880.42,
60,138.0551332139687,0.68705726,,,,17,,,,,,,715.00476,1.7280918E7,855840.2,
61,255.09724788735815,0.710198,,,,,,,,,,,0,0,220143.75,
62,130.0864459704241,0.7235911,,,,,,,,,,,272.461,0,126252.82,
63,496.20270061599876,0.7274132,,,,,,,,,,,0,1279415.2,645551.1,
64,168.01355082528931,0.7571758,,,,,,,,,,,49387.188,0,0,
65,448.18162719568943,0.80140424,,,,,,,,,,,0,1388817.9,3846688.2,
66,123.04433923379764,0.806221,,,,20,,,,,,,49.9551,684172.9,599960.06,
67,152.0706651388953,0.80486965,,,,20,,,,,,,35.637524,316415.56,625905.8,
68,230.99017666536966,0.8067223,,,,,,,,,,,0,0,365739.5,
69,308.0913377070837,0.8160361,,,,,,,,,,,0,374285.8,0,
70,137.05992907300512,0.81575847,,,,20,,,,,,,181.92484,2.1053944E7,2.36368E7,
71,154.08636590278445,0.81575847,,,,20,,,,,,,18.342216,9022484.0,1.985165E7,
72,305.1496114102474,0.8175764,,,,,,,,,,,0,0,129543.836,
73,138.06303073560235,0.8269468,,,,,,,,,,,0,1766433.6,327030.7,
74,610.234200051268,0.8269468,,,,20,,,,,,,0,283235.16,564449.75,
75,210.06085895418124,0.8317779,,,,,,,,,,,49.98191,0,228341.64,
76,316.13914403962855,0.8269468,,,,,,,,,,,0,18910.844,1608478.1,
77,317.1425024196849,0.8269468,,,,,,,,,,,0,1598.9719,248479.1,
78,346.1132855478927,0.8269909,,,,,,,,,,,0,0,95021.48,
79,430.17110445509206,0.84300923,,,,,,,,,,,0,1.6151689E7,4547921.5,
80,479.1373126829121,0.8597227,,,,,,,,,,,0,15875.084,181720.62,
81,428.1559098154304,0.8597227,,,,,,,,,,,0,531793.4,9750.8125,
82,591.1326084659371,0.8797419,,,,,,,,,,,0,1847281.0,0,
83,572.1505382434789,0.890096,,,,,,,,,,,0,168366.92,0,
84,553.1770068205954,0.90024215,,,,,,,,,,,0,1160649.8,2744.705,
85,180.10234441478502,0.90861595,,,,,,,,,,,21.029472,0,662509.94,
86,315.0477081167761,0.9109744,,,,,,,,,,,0,2807944.5,6087099.5,
87,474.18207457139255,0.9110963,,,,,,,,,,,0,1435632.8,1135439.1,
88,458.16557982156564,0.9109744,,,,,,,,,,,0,170713.36,3321.561,
89,564.1614825075433,0.91128963,,,,,,,,,,,0,418713.75,0,
90,580.136167132656,0.91128963,,,,,,,,,,,0,178477.42,0,
91,294.1184040490294,0.91589326,,,,23,4,[M+NH4]+,,2,93;91,276.08457,132.46738,1.3745181E7,2364000.2,
92,317.0457708558657,0.9215737,,,,,,,,,,,0,0,418317.53,
93,277.0918441283528,0.91953135,,,,23,4,[M+H]+,,2,93;91,276.08457,58.621597,2.0768548E7,1850922.8,
94,456.1873884037106,0.9342048,,,,,,,,,,,0,0,120961.66,
95,299.0741113810982,0.9436431,,,,,,,,,,,121.126785,190720.88,330260.75,
96,575.1586776430606,0.95230395,,,,,,,,,,,0,687689.94,0,
97,426.1187623438452,0.9734038,,,,,,,,,,,0,396876.7,0,
98,414.17613163449806,1.0173748,,,,,,,,,,,0,1346005.8,474405.78,
99,121.06508870623009,1.0332855,,,,,,,,,,,182.10071,1447795.4,1265525.8,
100,138.09146485888414,1.0417924,,,,,,,,,,,23.8605,426129.97,759327.56,
101,268.1041938239621,1.0779861,,,,,,,,,,,20.634808,175628.08,937930.06,
102,284.09911103723397,1.105962,,,,,,,,,,,0,0,148612.88,
103,410.14498882120387,1.105962,,,,,,,,,,,0,0,123005.73,
104,273.0605859401019,1.1387055,,,,,,,,,,,0,0,195519.67,
105,311.01649727002956,1.1387055,,,,,,,,,,,0,0,1368761.8,
106,132.10212796988387,1.1405362,,,,,,,,,,,126.05377,244433.48,256687.4,
107,329.02707998541814,1.1605908,,,,,,,,,,,0,0,294063.16,
108,268.1181120306243,1.3154373,,,,,,,,,,,0,1908.3313,436251.4,
109,306.07413407018527,1.3370563,,,,,,,,,,,0,0,58223.273,
110,422.1231988809849,1.3699338,,,,,,,,,,,0,217912.78,169063.64,
111,163.08675033631417,1.402835,,,,,,,,,,,0,0,84196.734,
112,411.06947185667997,1.5233301,,,,,,,,,,,0,0,67427.6,
113,208.0969497167066,1.578795,,,,,,,,,,,0,1123.678,110770.86,
114,252.12296018273014,1.5783505,,,,,,,,,,,0,0,71902.87,
115,166.0863641967985,1.5818577,,,,,,,,,,,273.2271,427056.53,435087.97,
116,442.17144013960126,1.5900372,,,,,,,,,,,0,87953.66,0,
117,326.14468664524287,1.6319203,,,,,,,,,,,0,195067.95,0,
118,347.07430454576445,1.6319203,,,,,,,,,,,0,297948.53,0,
119,201.07510665516202,1.6361444,,,,,,,,,,,10.547388,0,43926.047,
120,750.2663997192731,1.6332918,,,,,,,,,,,0,0,68382.805,
121,354.1761978137893,1.6419618,,,,,,,,,,,0,82966.125,0,
122,266.1020517695837,1.677704,,,,,,,,,,,0,0,24628.887,
123,593.1687833843075,1.6893456,,,,,,,,,,,0,0,45513.336,
124,609.1420606226068,1.6893456,,,,,,,,,,,0,0,247246.25,
125,724.2648690552766,1.6893456,,,,,,,,,,,0,0,11879.82,
126,588.2136260920356,1.697669,,,,,,,,,,,0,70196.484,452882.0,
127,575.1582195717863,1.7003767,,,,,,,,,,,0,0,331608.28,
128,591.1320229620928,1.7003767,,,,,,,,,,,0,0,1349139.2,
129,1122.3700817731738,1.7003767,,,,,,,,,,,0,0,15825.784,
130,570.2034376988532,1.7087045,,,,,,,,,,,0,903457.7,2155972.8,
131,706.2559299202129,1.7280008,,,,,,,,,,,0,19980.729,0,
132,426.1609855864306,1.7333287,,,,,,,,,,,0,0,137134.38,
133,358.0902031174493,1.7386194,,,,,,,,,,,0,67433.83,0,
134,429.0794588816557,1.7443182,,,,,,,,,,,0,0,639805.8,
135,220.11825828842936,1.7496028,,,,,,,,,,,0,120636.64,0,
136,413.10539627331303,1.7553285,,,,,,,,,,,0,0,113143.52,
137,408.1502649201091,1.7575812,,,,22,,,,,,,0,57102.32,435811.97,
138,436.1816946258903,1.7685864,,,,22,,,,,,,0,42557.12,121980.26,
139,246.0972988716164,1.7896303,,,,,,,,,,,0,0,78964.37,
140,339.10490748735293,1.7896303,,,,,,,,,,,0,0,116759.21,
141,274.1285527227947,1.8021268,,,,,,,,,,,0,3832.358,74167.125,
142,318.15443803138726,1.8006282,,,,,,,,,,,0,0,30075.71,
143,334.149415003941,1.8326038,,,,46,5,[M+H]+,,2,144;143,333.14245,10.090948,110118.96,1736892.1,
144,355.07936243509727,1.8298235,,,,46,5,[M-NH3+K]+,,2,144;143,333.14245,0,14125.291,398956.06,
145,348.12878859044775,1.8336905,,,,,,,,,,,0,0,22442.332,
146,153.0548145982003,1.848444,,,,,,,,,,,10.216511,642.73804,42712.92,
147,250.14372867971414,1.844705,,,,,,,,,,,0,0,244331.39,
148,268.15448401964034,1.8414347,,,,,,,,,,,30.325518,0,307267.28,
149,328.066273358091,1.844705,,,,,,,,,,,0,0,52274.914,
150,502.2136996310483,1.8479292,,,,,,,,,,,0,16201.743,0,
151,523.1430356056503,1.8479292,,,,,,,,,,,0,9657.137,0,
152,328.1600159167331,1.889211,,,,,,,,,,,0,0,10966.143,
153,393.05854546823144,1.9115775,,,,,,,,,,,0,0,16338.056,
154,524.1980892108238,1.9361016,,,,,,,,,,,0,27644.887,0,
155,517.15577436015,1.9361545,,,,,,,,,,,0,0,10032.01,
156,508.20337642685104,1.9470515,,,,,,,,,,,0,14826.582,0,
157,480.20802473442666,1.958775,,,,,,,,,,,0,0,22662.316,
158,269.04235365477143,1.968373,,,,,,,,,,,0,0,10093.311,
159,518.1512643572828,1.968373,,,,,,,,,,,0,0,10394.761,
160,506.1880316185436,1.9691784,,,,,,,,,,,0,18737.523,0,
161,864.2981043084311,1.9746,,,,,,,,,,,0,0,9376.807,
162,222.11255700382878,1.992692,,,,,,,,,,,106.632835,0,14272.563,
163,298.0968454032507,1.9923207,,,,,,,,,,,0,0,98576.86,
164,867.2165851635833,2.0228496,,,,,,,,,,,0,0,17953.557,
165,746.2350608298652,2.025249,,,,,,,,,,,0,25071.883,0,
166,205.09727320361813,2.0273616,,,,,,,,,,,178.60344,115568.42,82554.516,
167,181.04980520408049,2.0317676,,,,15,,,,,,,7.074622,3215678.5,167250.62,
168,365.08465450549403,2.0332844,,,,15,7,[M+Na]+,,2,169;168,342.09538,7.8791647,353354.25,76455.83,
169,381.0584275359477,2.0346148,,,,15,7,[M+K]+,,4,170;171;169;168,342.09538,0,306735.62,70645.5,
170,343.1027236079771,2.0397763,,,,15,7,[M+H]+,,3,170;171;169,342.09538,0,840163.44,66576.41,
171,360.1291917959774,2.0397763,,,,15,7,[M+NH4]+,,3,170;171;169,342.09538,0,1695615.5,139803.12,
172,272.12816780771675,2.0451932,,,,,,,,,,,0,0,25858.215,
173,135.04427072180027,2.0448809,,,,,,,,,,,31.275652,79409.22,0,
174,163.0391228959498,2.048038,,,,,,,,,,,26.588833,3142043.2,0,
175,188.07065939107218,2.0429788,,,,,,,,,,,45.29744,82804.95,0,
176,325.09212497039795,2.04638,,,,,,,,,,,0,93203.99,0,
177,388.16064472199776,2.0429788,,,,,,,,,,,10.075487,334492.12,0,
178,707.1798788732725,2.04638,,,,,,,,,,,0,85768.766,0,
179,256.17568247210016,2.055108,,,,,,,,,,,80938.83,6854.2725,0,
180,284.2068962967448,2.055108,,,,,,,,,,,67805.055,3371.2646,0,
181,229.15467352168162,2.0768769,,,,,,,,,,,9.636386,0,72569.945,
182,298.05589931121074,2.083904,,,,,,,,,,,0,99850.305,124158.625,
183,536.1984788923943,2.089061,,,,,,,,,,,0,9941.473,0,
184,318.1550993321807,2.0971098,,,,,,,,,,,39.6927,20913.3,0,
185,326.086967431292,2.1000733,,,,,,,,,,,0,21999.422,0,
186,408.16692559282455,2.1002889,,,,,,,,,,,0,0,10902.893,
187,347.181260116049,2.1197429,,,,,,,,,,,0,0,7439.618,
188,308.11418560442905,2.1470432,,,,,,,,,,,0,11170.176,34.375233,
189,248.12815377871468,2.1626737,,,,,,,,,,,0,0,46033.098,
190,323.1711674030324,2.1657293,,,,,,,,,,,0,9853.517,0,
191,346.1496055045263,2.1878107,,,,,,,,,,,0,178.62415,68298.84,
192,252.15929075130174,2.1998863,,,,,,,,,,,10.237441,0,390407.1,
193,386.2019684606913,2.1996796,,,,,,,,,,,0,0,20273.967,
194,257.18566438669285,2.2089288,,,,,,,,,,,0,10869.665,0,
195,386.1447428967716,2.2098603,,,,,,,,,,,0,37336.457,435.5632,
196,231.170360981673,2.2099936,,,,,,,,,,,8.993624,0,42075.12,
197,302.08709950304205,2.221992,,,,,,,,,,,0,0,9143.693,
198,356.0970143021179,2.2305121,,,,,,,,,,,0,33500.87,0,
199,330.0817277929805,2.2410724,,,,,,,,,,,0,157551.16,0,
200,335.03699208576785,2.2410724,,,,,,,,,,,0,92013.72,0,
201,375.09181138956455,2.252062,,,,,,,,,,,0,11213.873,0,
202,209.13850090836644,2.2605875,,,,,,,,,,,0,0,8061.81,
203,773.2142747161793,2.2682652,,,,,,,,,,,0,31858.117,26817.688,
204,627.1561777396327,2.275943,,,,,,,,,,,0,10275.293,0,
205,209.04457649060254,2.2772667,,,,,,,,,,,0,0,9426.014,
206,265.15477857654383,2.3096228,,,,,,,,,,,0,0,15263.305,
207,556.2391926976651,2.317629,,,,,,,,,,,0,0,18469.414,
208,163.0389233392716,2.330114,,,,,,,,,,,9.367565,0,366144.97,
209,210.07614682440877,2.3285892,,,,,,,,,,,0,0,42887.13,
210,417.23437326838905,2.3285892,,,,,,,,,,,0,0,15643.281,
211,422.2391823021257,2.3350282,,,,,,,,,,,0,58535.043,0,
212,355.1025813747539,2.3451378,,,,14,9,[M+H]+,,2,212;213,354.09537,54.129677,257921.1,693857.1,
213,377.0846478824,2.345119,,,,14,9,[M+Na]+,,2,212;213,354.09537,0,18451.645,46493.254,
214,720.2280678939869,2.3587995,,,,,,,,,,,0,0,20185.244,
215,312.16589132923446,2.3667696,,,,,,,,,,,0,104471.3,0,
216,340.1973362015123,2.3667696,,,,,,,,,,,0,33019.895,0,
217,344.1342140903441,2.3702052,,,,,,,,,,,344.348,144800.08,245191.9,
218,365.0637503997649,2.3779488,,,,,,,,,,,0,14716.95,0,
219,372.166169329231,2.375908,,,,,,,,,,,8.506863,37365.727,0,
220,342.1761146070566,2.3875494,,,,,,,,,,,0,0,86662.914,
221,363.1053338904099,2.3875494,,,,,,,,,,,0,0,8360.049,
222,370.20670459958467,2.3898082,,,,,,,,,,,9.401493,0,11399.003,
223,325.14930418034135,2.3940554,,,,,,,,,,,0,9001.762,7146.105,
224,347.13140030029456,2.3940554,,,,,,,,,,,0,21777.473,26786.111,
225,163.09691345389268,2.3985891,,,,,,,,,,,7.510992,8286.953,0,
226,295.1653400196908,2.4085846,,,,,,,,,,,0,0,11708.29,
227,193.12252001062467,2.426026,,,,,,,,,,,0,0,14541.321,
228,222.14916431426423,2.427883,,,,,,,,,,,92.799545,0,213593.9,
229,223.13312651688204,2.4249744,,,,,,,,,,,25.191792,0,22746.977,
230,420.22281181640113,2.4229946,,,,,,,,,,,0,1331.3966,20986.771,
231,425.17892964862926,2.427011,,,,,,,,,,,0,92.621765,12533.033,
232,534.161109662939,2.426026,,,,,,,,,,,0,0,11427.282,
233,597.1820033513733,2.426026,,,,,,,,,,,0,0,20399.982,
234,625.1776985117581,2.4475253,,,,,,,,,,,0,68306.21,0,
235,476.1773433538438,2.4585538,,,,,,,,,,,0,448.7412,47301.348,
236,441.1750070276358,2.4686105,,,,,,,,,,,0,10010.289,0,
237,484.1830488769375,2.4686105,,,,,,,,,,,0,6196.9316,0,
238,391.18639100905403,2.4907653,,,,,,,,,,,0,0,15985.628,
239,568.296771354924,2.4907653,,,,,,,,,,,0,0,34499.402,
240,573.2520814214713,2.4907653,,,,,,,,,,,0,0,6472.1704,
241,409.11292574781754,2.4917576,,,,,,,,,,,0,31059.242,788.5199,
242,415.1514879975863,2.5020506,,,,,,,,,,,0,0,6416.089,
243,321.05821429564213,2.51275,,,,,,,,,,,0,8375.664,0,
244,451.1921528651084,2.513484,,,,,,,,,,,0,0,11541.092,
245,270.19127904416905,2.5371568,,,,,,,,,,,9910.364,1656.7969,0,
246,177.05487427558592,2.542313,,,,,,,,,,,89.60683,111766.54,0,
247,195.0650338456,2.542313,,,,,,,,,,,8.022334,81375.48,0,
248,374.14516094848085,2.538679,,,,,,,,,,,0,73034.91,0,
249,379.10042855222787,2.538679,,,,,,,,,,,0,48980.03,0,
250,402.1763988046519,2.538679,,,,,,,,,,,0,52639.984,0,
251,702.2970765815357,2.5374043,,,,,,,,,,,0,42556.844,8030.357,
252,348.1807639786652,2.5440588,,,,,,,,,,,0,0,121053.69,
253,478.1701887997708,2.5440588,,,,,,,,,,,0,0,6725.1523,
254,487.1917235307325,2.5522232,,,,,,,,,,,0,0,4551.3457,
255,225.07557686300538,2.5684032,,,,,,,,,,,26.59334,5655.2246,0,
256,256.1330067911534,2.5704522,,,,,,,,,,,0,0,36042.984,
257,521.2030334712776,2.5903265,,,,,,,,,,,0,20384.215,0,
258,556.2392861411653,2.590901,,,,,,,,,,,0,159999.72,5112.635,
259,561.1953162864056,2.5903265,,,,,,,,,,,0,38939.684,0,
260,584.2714746182558,2.5903265,,,,,,,,,,,0,27575.781,0,
261,411.1628425955524,2.591475,,,,,,,,,,,0,0,116874.16,
262,451.12459832566776,2.6035762,,,,,,,,,,,0,577609.94,0,
263,473.1065073217002,2.6035762,,,,,,,,,,,0,34325.88,0,
264,234.14912419618747,2.6136143,,,,,,,,,,,0,0,930608.1,
265,351.22798732414356,2.6136143,,,,,,,,,,,0,0,11001.871,
266,307.07934947361446,2.6147053,,,,,,,,,,,0,20773.42,0,
267,330.1552918746369,2.6147053,,,,,,,,,,,0,28872.53,0,
268,232.13351545264683,2.6212873,,,,,,,,,,,0,0,35580.664,
269,434.23881198687417,2.6212873,,,,,,,,,,,0,0,73185.05,
270,147.04436083272853,2.6282358,,,,,,,,,,,7.6056514,0,23981.553,
271,532.2040771775943,2.639558,,,,,,,,,,,0,0,9267.089,
272,394.207461840177,2.6507704,,,,,,,,,,,0,0,19083.912,
273,404.1551167951546,2.6507704,,,,,,,,,,,0,0,8562.324,
274,436.2906909640226,2.6611814,,,,,,,,,,,0,34185.156,3496.4722,
275,173.13302301684118,2.6714175,,,,,,,,,,,0,34301.895,0,
276,175.14860585927124,2.6714175,,,,,,,,,,,0,138618.55,0,
277,291.1742051535523,2.6714175,,,,,,,,,,,0,17931.875,0,
278,337.0925572485452,2.6714175,,,,,,,,,,,0,14024.751,0,
279,434.2755130122347,2.6714175,,,,,,,,,,,0,208762.12,0,
280,563.2103635437234,2.6775098,,,,,,,,,,,0,0,57761.336,
281,268.1753776751607,2.680436,,,,,,,,,,,5056.657,0,0,
282,558.2552497170832,2.6810513,,,,41,,,,,,,0,271907.78,182554.66,
283,586.2864885992262,2.6810513,,,,41,,,,,,,0,48206.094,16498.293,
284,331.15416410746565,2.6810513,,,,,,,,,,,0,35119.21,7501.5703,
285,361.16528257285734,2.6810513,,,,,,,,,,,0,20196.46,6114.0557,
286,500.17747132369954,2.6845925,,,,,,,,,,,0,12254.658,0,
287,638.3169065337696,2.68862,,,,,,,,,,,0,0,27203.312,
288,207.1380256258907,2.7121267,,,,,,,,,,,59.12354,0,468866.56,
289,369.1909230249281,2.7107596,,,,,,,,,,,0,0,32752.064,
290,225.14840623972688,2.7193444,,,,,,,,,,,26.800583,7424.2656,117107.32,
291,387.20123416859116,2.7238944,,,,,,,,,,,45.112213,17950.746,452671.75,
292,404.2281151969604,2.721668,,,,,,,,,,,0,0,117945.445,
293,409.18336294123225,2.7208607,,,,,,,,,,,100.832504,16783.984,215986.17,
294,432.25950972866667,2.7223778,,,,,,,,,,,16.769787,46208.816,233802.47,
295,631.3806896978718,2.721668,,,,,,,,,,,0,0,13028.834,
296,795.3775375781534,2.721668,,,,,,,,,,,0,0,17811.924,
297,193.15890904014407,2.7278957,,,,,,,,,,,0,52318.582,80764.14,
298,406.2440633166773,2.7278957,,,,,,,,,,,0,185847.9,442061.75,
299,245.18608908304265,2.7297008,,,,,,,,,,,0,10084.548,51994.492,
300,581.1499905646547,2.7437136,,,,,,,,,,,0,0,1062506.8,
301,314.0874162036224,2.7490149,,,,,,,,,,,0,48721.1,0,
302,700.2810698553016,2.7549996,,,,33,10,[M+H]+,,2,302;303,699.2736,0,336374.38,99291.8,
303,705.2360807389557,2.7549996,,,,33,10,[M-NH3+Na]+,,2,302;303,699.2736,0,54271.94,25375.732,
304,341.13871607063874,2.7602522,,,,,,,,,,,0,37794.203,0,
305,728.3129413738069,2.7602522,,,,,,,,,,,0,43813.82,0,
306,757.2183009701102,2.760561,,,,,,,,,,,0,479248.7,4829.957,
307,295.081476813744,2.7776098,,,,29,,,,,,,0,100196.05,25868.176,
308,449.108397741886,2.7776098,,,,29,,,,,,,0,4677244.5,2694458.8,
309,474.1607970575224,2.7776098,,,,29,,,,,,,0,165152.38,67234.71,
310,329.06471136945726,2.7817335,,,,,,,,,,,0,24601.775,0,
311,374.1812199067699,2.7817335,,,,,,,,,,,0,13585.893,0,
312,457.1346302021672,2.7817335,,,,,,,,,,,0,30383.072,0,
313,502.19288863521655,2.7817335,,,,,,,,,,,0,26104.63,0,
314,538.2860970988419,2.7954738,,,,,,,,,,,0,0,36361.96,
315,525.2181663902231,2.7995849,,,,3,14,[M+H]+,,2,316;317,524.21089,0,18965.674,12956.6,
316,542.2447243995557,2.7995849,,,,3,14,[M+NH4]+,,3,316;315;317,524.21089,0,22496.416,23341.428,
317,547.2000860844089,2.7995849,,,,3,14,[M+Na]+,,3,316;315;317,524.21089,0,100499.875,49295.418,
318,471.0901053040805,2.803696,,,,,,,,,,,0,73169.664,0,
319,570.2761343477853,2.803696,,,,,,,,,,,0,11733.809,0,
320,217.1222281801316,2.80663,,,,,,,,,,,0,0,8556.787,
321,386.1961958711725,2.817761,,,,,,,,,,,0,0,31735.592,
322,308.185935246653,2.8450394,,,,,,,,,,,0,256.88617,22606.8,
323,488.2338767828623,2.8486078,,,,,,,,,,,0,26783.602,0,
324,516.2652535746037,2.8486078,,,,,,,,,,,0,24988.744,0,
325,713.1562110114296,2.8550968,,,,,,,,,,,0,200.52612,15283.895,
326,170.1175565182867,2.8789449,,,,,,,,,,,3133.654,23484.076,0,
327,188.12813873197462,2.8789449,,,,,,,,,,,1846.7823,15888.2,0,
328,233.18593238233018,2.8789449,,,,,,,,,,,1716.2949,22923.844,0,
329,788.2446243070906,2.8780222,,,,,,,,,,,0,18324.33,0,
330,361.1469084037192,2.8895013,,,,,,,,,,,0,19799.748,0,
331,384.2227103224407,2.8895013,,,,,,,,,,,0,17029.426,0,
332,435.12894307313763,2.9177914,,,,,,,,,,,0,30413.92,7879.6616,
333,393.2483739427826,2.9180875,,,,,,,,,,,0,0,5073.1353,
334,741.2217502011583,2.9358416,,,,,,,,,,,8.129293,55681.29,0,
335,476.3070630864599,2.9532588,,,,,,,,,,,8552.959,3850.6528,14095.063,
336,284.1646550656257,2.9576266,,,,,,,,,,,0,0,109259.15,
337,588.2659872899636,2.9687622,,,,,,,,,,,0,0,15459.002,
338,443.2980604467183,2.9719305,,,,27,,,,,,,0,14956.95,20141.123,
339,389.2173316826535,2.9747517,,,,,,,,,,,0,0,168642.61,
340,439.1577765926433,2.9749253,,,,,,,,,,,0,26508.271,50250.24,
341,587.1376118297804,2.9747517,,,,,,,,,,,0,0,13951.387,
342,434.2027000196459,2.9749253,,,,27,,,,,,,0,260408.08,281580.53,
343,771.2343842116067,2.9750988,,,,,,,,,,,0,11608.589,0,
344,462.2337384716236,2.9806023,,,,27,,,,,,,0,75340.22,23847.03,
345,488.0825451674896,2.9864528,,,,,,,,,,,0,47887.227,0,
346,492.1137761660725,2.9864528,,,,,,,,,,,0,18149.225,0,
347,236.1644899301024,2.9968808,,,,,,,,,,,0,0,225320.6,
348,382.2228755499708,2.9968808,,,,,,,,,,,0,0,97884.34,
349,626.1723368980317,3.0079908,,,,,,,,,,,0,31739.012,79202.76,
350,611.1614010155056,3.0105383,,,,,,,,,,,69.17017,1697986.1,1824390.6,
351,359.170404558911,3.008628,,,,,,,,,,,0,19531.186,0,
352,137.09632595440388,3.0193481,,,,,,,,,,,22.845325,2034.4082,28639.434,
353,321.09749716949824,3.032382,,,,,,,,,,,0,8030.554,141.99664,
