row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1687161692_PMA_BK_ALC_01_20230619131304.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,
50,243.000932099907,0.5074055,,,,112,,,,,,,32135.107,48435.438,17580.566,32844.133,52587.758,25748.54,126056.16,55079.043,21950.574,94935.195,0,0,27088.137,76944.695,41179.99,33307.66,53062.004,21869.697,53768.605,
51,241.99967448197526,0.5074083,,,,112,,,,,,,120234.76,169653.22,68692.8,122635.55,192531.64,94539.914,437685.03,200129.88,76635.54,330680.2,0,0,101026.09,278836.75,151277.56,129619.24,191582.06,79442.11,190537.7,
52,243.99689403651993,0.5074154,,,,112,,,,,,,30312.137,44716.39,0,31752.906,50011.043,23830.697,115778.64,52937.465,20220.582,87647.36,0,0,26518.693,75721.664,41152.324,32438.766,49338.16,20606.285,50243.734,
53,184.02834776424012,0.50743306,,,,112,,,,,,,6329.7207,0,28122.13,11831.522,12945.396,14462.415,0,0,11583.455,10067.102,0,0,15509.192,0,7085.093,14972.315,0,0,0,
55,220.9809365881525,0.5079296,,,,112,,,,,,,14337.935,18361.39,6327.029,0,21177.234,10842.21,53836.453,22601.992,0,38153.96,0,0,11838.653,31344.455,17700.963,14678.001,22941.818,8059.9775,22646.031,
57,218.98379932609996,0.508051,,,,112,,,,,,,55453.562,75319.89,30952.117,56238.574,84548.96,46094.137,202574.62,88603.64,34675.914,157814.89,0,0,45629.87,127391.54,69138.66,57708.516,89781.16,35172.785,88913.36,
58,312.9202809038014,0.50810856,,,,112,,,,,,,0,6939.105,0,15393.932,21643.473,12508.654,44628.645,22178.898,0,28947.021,0,0,13657.793,9229.163,17254.814,16020.8,19098.127,0,14237.5205,
59,458.8559512935877,0.50813276,,,,112,,,,,,,10789.431,0,67310.02,31394.844,25744.133,35619.58,121698.2,36817.113,29723.184,15975.206,0,0,43849.105,0,16455.04,39494.113,12498.336,0,7723.8,
61,156.01427868548134,0.508416,,,,112,,,,,,,11600.023,12566.361,10198.441,13113.951,15935.186,12255.22,42333.55,17484.436,9289.603,26993.137,0,0,0,17182.174,13960.491,13357.439,16293.449,0,14801.807,
62,200.9731624531939,0.5084131,,,,112,,,,,,,35203.613,43827.45,20480.857,36863.66,58244.41,27913.39,157981.36,59450.58,23377.863,106985.85,0,0,34715.855,80953.984,45116.01,41063.15,60245.918,18311.389,55867.2,
64,182.96252344991814,0.50852484,,,,112,,,,,,,5336.6133,8453.739,0,0,10428.731,0,27396.58,10395.011,0,18871.916,0,0,0,15143.65,7654.192,0,10884.225,3230.1372,9476.961,
65,265.01555390052766,0.5085503,,,,,,,,,,,23987.646,43841.133,0,0,43123.89,0,0,54907.246,0,76963.55,0,0,0,0,40211.133,0,0,18838.816,0,
66,369.9248472812839,0.5085742,,,,112,,,,,,,12502.823,0,39255.65,26865.166,24560.777,28586.06,97268.02,35071.31,0,18988.16,0,0,30964.045,0,15947.952,29190.93,16386.29,0,9743.1875,
67,357.3997389743019,0.50867146,,,,112,,,,,,,0,0,17397.56,0,0,0,19328.115,0,0,0,0,0,6320.044,0,0,0,0,0,0,
69,219.984708157068,0.5088672,,,,112,,,,,,,13536.8,19018.414,0,13470.533,21370.533,9249.494,51177.18,20922.234,0,40256.918,0,0,11801.578,31584.094,16887.656,14353.908,22054.934,0,23343.48,
74,129.97936582449006,0.5093231,,,,112,,,,,,,0,0,30333.69,13248.351,11197.48,14542.709,45332.14,14880.332,11621.268,11013.635,0,0,16720.01,0,8715.225,15390.35,0,0,0,
75,202.97046057857065,0.5093223,,,,112,,,,,,,7893.586,10655.114,0,8238.303,13140.812,0,38714.664,13562.898,4257.506,25440.03,0,0,7633.135,19517.275,9846.023,10270.778,15008.221,0,11733.259,
76,328.89798668708875,0.50943834,,,,112,,,,,,,21920.129,3913.524,68954.86,43870.742,42811.977,42564.78,160399.4,58763.766,38837.125,37044.844,0,0,57662.848,0,30534.943,51287.254,29732.713,0,17994.914,
77,198.94016516984107,0.50946283,,,,112,,,,,,,59153.25,22762.908,148492.84,97379.95,112740.77,83985.19,414664.28,129923.72,79283.766,130217.555,0,0,120338.21,29683.166,81969.58,122020.875,85908.82,15872.227,65329.15,
79,201.97408152722662,0.509488,,,,112,,,,,,,8114.204,11117.962,4481.442,7619.846,13631.891,0,38048.78,12897.586,0,27204.42,0,0,7741.9883,18564.389,10021.526,9019.263,12865.512,0,11805.359,
80,126.9898435817449,0.50954634,,,,112,,,,,,,0,0,39367.68,14904.786,0,0,55054.055,0,0,0,0,0,20840.045,0,0,18509.566,0,0,0,
83,362.88575114091003,0.50956607,,,,112,,,,,,,0,0,40924.36,0,0,0,41487.555,9646.363,10202.691,0,0,0,17461.32,0,4318.6924,13329.952,0,0,0,
86,241.96385107707403,0.50969076,,,,112,,,,,,,18338.453,0,48247.3,33321.023,39313.25,32461.975,146678.92,46955.297,25846.697,42902.074,0,0,38425.938,0,25228.13,38529.3,26579.148,0,21182.229,
89,216.95079570176566,0.50982493,,,,112,,,,,,,120095.44,46495.86,264171.97,190452.83,215380.28,176885.39,773173.1,254176.42,151949.45,240474.03,0,0,217053.94,59735.023,155191.5,224350.55,165288.75,34822.742,126847.46,
90,239.9667040132797,0.50982493,,,,112,,,,,,,148949.66,63084.523,362054.66,255232.53,284763.94,236067.12,1080858.9,352832.03,202181.33,314180.3,0,0,281760.0,76870.08,205299.8,292962.7,215062.56,42373.46,160536.77,
91,143.99696378952498,0.509847,,,,112,,,,,,,17218.527,0,68722.44,30114.516,24866.113,31927.686,88191.24,32045.865,29460.637,24797.312,0,0,42372.723,0,19796.25,36744.875,19472.566,0,15741.016,
92,280.9933945485113,0.50984985,,,,112,,,,,,,9651.368,0,22946.943,16006.27,16612.77,16681.059,66042.16,22603.424,12880.956,20216.504,0,0,17040.33,0,10930.111,17196.193,13886.007,0,9256.962,
93,442.8782889552121,0.50983715,,,,112,,,,,,,14962.889,0,18547.34,28623.281,28269.865,24634.137,77709.46,36309.96,18798.861,30542.652,0,0,25332.676,0,20704.297,27947.648,20561.043,0,13820.49,
94,217.95183644730307,0.50992584,,,,112,,,,,,,14381.293,0,36868.223,26003.994,28521.586,23414.83,105914.4,34545.82,20755.365,30805.014,0,0,29811.36,7456.5815,20425.234,30297.336,22272.758,0,16282.018,
96,240.96815029487695,0.51007086,,,,112,,,,,,,21982.088,0,57548.234,38726.09,46718.414,36262.797,172759.92,55929.047,31785.525,49927.535,0,0,43139.64,11109.879,30619.8,48023.715,32744.16,0,24934.775,
98,268.9480085114792,0.51020396,,,,112,,,,,,,0,15014.624,0,0,0,0,0,0,0,22327.85,0,0,0,27084.75,0,0,11140.689,0,12393.148,
99,257.9772352720282,0.5102288,,,,112,,,,,,,52624.023,22414.41,99259.52,78306.91,84649.06,75168.375,272533.66,103494.586,63540.76,92998.53,0,0,85234.83,25843.975,64403.953,89046.05,69262.05,0,53402.793,
100,244.99844700437916,0.5103442,,,,112,2,[M+NH4]+,,2,163;100,226.9646,0,6739.015,0,0,0,0,17076.582,0,0,12687.344,0,0,0,11511.49,0,4952.1055,0,0,7217.2007,
103,346.908708941036,0.5104348,,,,112,,,,,,,11858.241,0,30260.2,24201.611,21405.41,25779.736,72277.99,29685.865,19949.201,17165.42,0,0,26903.707,0,0,26716.105,15538.107,0,9552.917,
105,474.8332012788264,0.51091695,,,,112,,,,,,,0,0,59074.2,9969.854,0,14430.266,53457.945,10632.209,11791.236,0,0,0,20878.434,0,0,16447.947,0,0,0,
106,234.9613776000828,0.51104903,,,,112,,,,,,,23919.453,10357.05,45999.715,35764.32,38414.445,34822.46,118245.91,47470.86,31277.363,44570.84,0,0,39373.527,11549.059,29678.342,42230.24,31198.451,0,25946.756,
107,344.87561662554265,0.51105,,,,112,,,,,,,0,0,140384.66,32189.135,21746.336,39525.21,160951.06,37673.96,32964.277,11061.474,0,0,60824.086,0,12701.412,45599.492,10646.615,0,6465.947,
112,423.9555592334393,0.51116735,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,12682.088,0,0,0,0,0,
116,385.90189768325246,0.51124585,,,,112,,,,,,,0,0,52081.707,10242.662,8111.4355,14963.654,53215.086,0,12576.408,0,0,0,20234.627,0,4765.543,15819.821,0,0,0,
118,255.94435064710706,0.51155156,,,,112,,,,,,,36199.89,0,344084.88,99854.9,76070.35,115803.92,444805.16,117678.09,99175.55,50631.168,0,0,151210.52,0,49500.074,125333.94,45676.41,0,25843.297,
120,588.8132586186923,0.5117012,,,,112,,,,,,,0,0,19215.588,5731.4014,0,0,28732.97,0,0,0,0,0,9962.02,0,0,6799.474,0,0,0,
125,572.8361356709735,0.5122057,,,,112,,,,,,,4003.573,0,0,0,0,9696.555,38617.562,12914.494,7940.104,0,0,0,0,0,6769.548,10124.316,0,0,0,
126,214.91770781732816,0.5122634,,,,112,,,,,,,77838.32,8328.155,664100.2,190694.08,163769.97,204718.62,863296.94,218079.25,197449.52,104538.086,0,0,306084.38,0,107503.086,262826.03,93153.35,10626.794,58664.0,
129,232.9284451504365,0.5134233,,,,112,1,[M+K]+,,2,82;129,193.96489,31296.621,0,245091.03,76569.055,60156.67,84843.59,301162.1,87652.05,76536.914,39061.215,0,0,118554.52,0,41131.94,97190.586,37264.09,0,21030.873,
132,251.16029110208117,0.51450753,,,,,,,,,,,0,0,69725.47,10182.493,12294.653,25646.594,0,0,8277.46,6349.511,0,0,0,0,0,0,37143.508,0,0,
140,273.9549958934995,0.51566046,,,,112,,,,,,,5208.451,0,39294.4,0,0,16268.29,43628.395,14401.3125,15093.764,0,0,0,19641.295,0,0,15671.435,0,0,0,
159,414.3899795853233,0.5165859,,,,112,,,,,,,0,0,11963.944,0,0,0,30754.457,0,0,0,0,0,6233.5303,0,0,0,0,0,0,
164,130.0863066508559,0.5181691,,,,586,8,[M+H]+,,1,340,129.07898,0,20195.49,0,0,0,0,0,0,0,0,0,0,6230.1245,0,0,0,0,34222.625,0,
184,180.9897451781378,0.5248333,,,,15,5,[M+ACN+NH4]+,,2,184;187,121.92956,0,0,0,0,0,0,0,0,0,0,555598.9,192402.83,0,0,0,0,0,0,0,
188,259.8937688351054,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,122656.48,108880.94,0,0,0,0,0,0,0,
189,285.8932685685135,0.5248333,,,,15,5,[2M+ACN+H]+,,2,278;189,121.92956,0,0,0,0,0,0,0,0,0,0,629831.8,356494.47,0,0,0,0,0,0,0,
190,326.9197604518841,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,271501.34,64492.156,0,0,0,0,0,0,0,
192,328.9150629649012,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,2108770.2,568732.1,0,0,0,0,0,0,0,
193,336.8023006194674,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,210754.83,171815.67,0,0,0,0,0,0,0,
194,359.8183494352935,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,250697.11,118673.45,0,0,0,0,0,0,0,
196,364.7973465265047,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,307947.9,161280.14,0,0,0,0,0,0,0,
197,436.727315992,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,39723.246,49675.242,0,0,0,0,0,0,0,
198,462.7268122890836,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,60522.652,44952.434,0,0,0,0,0,0,0,
199,505.7489096249855,0.5248333,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,175614.23,53067.38,0,0,0,0,0,0,0,
208,282.90166902476284,0.5278383,,,,,,,,,,,13301.282,0,16201.368,19565.29,17540.166,17225.314,21942.42,30117.79,14451.647,0,0,0,20027.162,0,20595.455,22125.56,14288.527,6130.3535,12916.958,
223,288.89064941009065,0.5299523,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,258897.67,0,0,0,0,0,0,0,
231,146.9373862026573,0.5302603,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,91208.01,26859.236,0,0,0,0,0,0,0,
238,164.94805140937913,0.5305684,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,54478.33,0,0,0,0,0,0,0,0,
249,298.87912445228335,0.53322655,,,,,,,,,,,6530.093,0,35223.32,16573.332,10970.119,0,25062.234,22384.945,15127.746,0,0,0,26275.531,0,0,0,0,0,0,
255,142.9618134759731,0.53525305,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,286366.44,232598.55,0,0,0,0,0,0,0,
258,286.8925344464391,0.53525305,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,87965.914,50596.926,0,0,0,0,0,0,0,
259,318.79161225811924,0.53525305,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,152639.88,203754.67,0,0,0,0,0,0,0,
261,828.5119916225287,0.53525305,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,64924.39,18940.879,0,0,0,0,0,0,0,
278,139.96329678843452,0.54045296,,,,15,5,[M+NH4]+,,3,278;189;187,121.92956,0,0,0,0,0,0,0,0,0,0,777500.6,579721.6,0,0,0,0,0,0,0,
280,157.97383590529455,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,86224.99,52318.016,0,0,0,0,0,0,0,
281,159.9691605975906,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,1692469.8,935964.5,0,0,0,0,0,0,0,
283,187.964066256539,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,88147.64,11754.876,0,0,0,0,0,0,0,
284,246.86178474192968,0.54045296,,,,15,10,[2M+H]+,,2,203;284,122.92752,0,0,0,0,0,0,0,0,0,0,281730.4,322114.75,0,0,0,0,0,0,0,
285,264.8726560339288,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,240088.77,224633.83,0,0,0,0,0,0,0,
286,287.8885756770245,0.54045296,,,,15,10,[2M+ACN+H]+,,2,203;286,122.92752,0,0,0,0,0,0,0,0,0,0,5097934.0,2860490.8,0,0,0,0,0,0,0,
288,300.9201782668264,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,100148.36,37208.883,0,0,0,0,0,0,0,
290,305.8992105758647,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,433065.47,266988.9,0,0,0,0,0,0,0,
291,405.82341296830805,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,214660.53,52622.336,0,0,0,0,0,0,0,
292,464.72224367770207,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,251977.34,175172.81,0,0,0,0,0,0,0,
294,481.72499574297944,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,101651.125,64929.164,0,0,0,0,0,0,0,
296,582.6571808821996,0.54045296,,,,15,,,,,,,0,0,0,0,0,0,0,0,0,0,143999.67,89479.86,0,0,0,0,0,0,0,
311,131.5424492299206,0.5414874,,,,,,,,,,,29576.576,0,18917.354,0,38315.34,24678.697,0,12376.469,34502.93,0,0,0,0,41200.906,0,18978.979,47288.703,14135.545,38724.867,
317,332.9979182599519,0.5439986,,,,,,,,,,,16059.277,0,18919.328,0,25267.39,17584.041,19166.076,9082.085,0,24830.475,0,0,0,0,0,10205.1,23640.172,0,10270.403,
319,252.8825384753018,0.5443286,,,,28,,,,,,,20808.145,11290.662,53107.55,48886.363,38760.527,32762.682,18876.621,81959.23,29676.984,17042.334,0,0,74425.68,0,51475.137,56820.54,21238.541,10832.821,21027.133,
325,200.00040401059337,0.54591227,,,,15,12,[M+ACN+NH4]+,,2,254;325,140.93991,0,0,0,0,0,0,0,0,0,0,80629.96,71717.79,0,0,0,0,0,0,0,
330,236.90501706152804,0.54756135,,,,,,,,,,,38828.26,75762.125,18228.984,50935.3,53640.87,30945.662,0,91943.11,28726.102,40215.45,0,0,52880.1,73784.59,76005.55,42171.176,43838.016,45919.676,49914.297,
331,265.02325785843476,0.5476317,,,,449,,,,,,,144497.03,39487.223,364406.7,165735.64,195625.2,284219.44,0,129535.39,271356.9,0,0,0,157364.98,0,57340.97,159698.8,195098.56,39195.54,0,
333,404.8279128423565,0.54848003,,,,28,,,,,,,11284.784,0,0,15427.071,16715.014,0,0,43438.082,0,0,0,0,20171.121,22543.059,31749.293,13666.931,10687.022,17708.816,0,
337,249.04623985841243,0.5495491,,,,397,,,,,,,122063.61,153334.75,62332.758,104429.61,158863.28,131930.31,0,70901.414,114154.53,236859.52,0,0,46242.477,188324.73,0,62508.96,212572.8,83224.734,144121.11,
340,147.11275997273023,0.54988694,,,,586,8,[M+NH4]+,,2,164;340,129.07898,0,0,0,0,0,0,0,0,0,0,0,0,13332.773,0,0,9143.783,0,74368.52,0,
342,236.07970032237085,0.5503578,,,,523,,,,,,,0,29958.244,0,705333.25,0,120788.88,0,0,54744.035,46600.785,0,0,0,148013.89,38727.152,188788.64,113797.13,0,361760.72,
343,320.86640466834854,0.55055606,,,,28,,,,,,,47988.613,118022.57,17851.54,66327.734,71100.586,32514.914,0,165812.03,32166.658,32804.066,0,0,85620.734,0,130302.695,57989.793,48684.438,67305.51,62426.668,
359,336.8437681468177,0.55162144,,,,28,,,,,,,39678.08,26365.885,65938.92,84940.555,73608.65,55268.97,0,172121.81,52648.49,22204.324,0,0,149323.98,13815.209,106256.18,88195.97,36462.08,23026.768,39612.117,
365,266.15974725889845,0.55232644,,,,,,,,,,,0,82590.84,34809.94,0,0,48952.08,0,0,0,12326.454,0,0,0,15491.527,0,0,66558.54,101756.56,0,
372,139.53111996662082,0.5534631,,,,449,,,,,,,61017.37,13219.734,166742.05,68185.516,81703.5,109796.34,41765.773,49254.63,126674.25,62043.43,0,0,62067.22,13735.659,0,66831.82,75462.266,11857.517,36053.24,
373,287.0014949498432,0.5536554,,,,397,,,,,,,25430.533,36640.664,0,19868.682,28303.607,21799.95,0,16687.525,20632.639,27370.363,0,0,0,42302.832,11589.002,0,31182.38,24987.44,0,
375,420.8052290581427,0.553937,,,,28,,,,,,,0,0,14536.219,26092.305,22334.297,0,0,55873.863,13965.711,0,0,0,44995.414,0,33915.94,23524.588,9549.639,8401.958,9256.196,
401,542.7313858225822,0.5594044,,,,28,,,,,,,0,38032.39,0,0,0,0,0,38738.715,0,0,0,0,27314.158,15761.898,47368.74,0,0,33477.88,0,
403,206.88604774494843,0.5596902,,,,28,,,,,,,37386.42,103080.72,22024.566,70679.65,61009.645,33699.973,0,167109.28,30399.234,15415.25,0,0,121749.41,63377.062,171744.66,65028.117,30034.158,89574.83,46528.387,
404,290.84733767332455,0.55969536,,,,28,,,,,,,70267.266,229935.53,30670.92,132155.88,119343.67,61230.312,0,324341.8,52733.01,24770.797,0,0,229088.6,122230.09,335395.28,108969.11,54798.586,201095.77,86645.66,
406,292.8452994196026,0.5603877,,,,28,,,,,,,18819.105,63210.61,0,37413.89,34136.934,16448.346,0,90360.52,0,0,0,0,61995.668,35641.492,90550.29,30680.125,0,60136.504,24243.07,
410,458.7699905169413,0.56149113,,,,28,,,,,,,0,43393.016,0,20267.676,0,0,0,44513.26,0,0,0,0,32337.523,21562.922,53841.984,0,0,40376.598,0,
412,265.02399013076456,0.5618656,,,,,,,,,,,0,0,0,0,0,0,0,0,0,167167.56,0,0,0,0,0,0,0,0,0,
416,122.92472508398104,0.563077,,,,28,,,,,,,46604.914,104683.36,33805.324,73824.805,68576.93,41059.902,0,133063.5,40991.24,23915.979,0,0,113716.586,75505.69,140438.17,70082.195,40896.46,98499.78,59170.8,
426,445.08687240333114,0.5669431,,,,,,,,,,,45787.72,0,84134.266,46969.945,70341.51,159147.88,0,27173.822,116331.83,44483.277,0,0,0,0,0,0,82726.91,28549.902,26666.156,
428,251.030906265481,0.5671054,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,67723.16,0,36392.152,0,0,0,0,
429,292.9338562630389,0.56711155,,,,28,,,,,,,0,0,0,0,0,0,0,25919.018,0,0,0,0,9319.136,0,55070.12,18012.912,0,0,0,
433,363.7889615761735,0.5678028,,,,443,,,,,,,0,0,0,0,0,0,0,0,0,0,133064.36,111458.91,0,0,0,0,0,0,0,
434,261.9281873687684,0.5679408,,,,515,,,,,,,0,0,0,25650.469,19588.273,0,0,25367.85,10435.365,0,0,0,0,0,41822.215,0,10105.944,0,15957.445,
436,130.52591506443457,0.5688638,,,,,,,,,,,32843.387,0,81334.055,36007.805,44490.86,77111.99,30362.447,0,57638.668,28874.742,0,0,43665.184,0,0,32839.992,41409.156,6815.0703,0,
440,256.9824723095648,0.56981254,,,,313,16,[2M+H]+,,2,421;440,127.98761,37713.473,126883.29,13974.734,56389.223,57911.586,39469.133,0,65287.438,27761.484,14455.085,0,0,43026.15,70927.15,48918.34,23793.525,34413.105,119836.78,30053.416,
441,302.9887125486705,0.56983083,,,,313,,,,,,,0,101348.305,0,0,42004.973,20526.598,0,0,17443.604,0,0,0,24758.346,53641.613,28210.48,14141.786,26596.107,87088.76,0,
442,282.0870303692445,0.570272,,,,,,,,,,,61389.2,195731.95,0,23868.307,70577.945,61065.4,0,29838.576,54629.4,42231.258,0,0,0,180112.19,0,0,86220.734,157154.47,34080.586,
449,280.8184488150777,0.5717063,,,,46,,,,,,,0,18385.816,0,0,0,0,0,28339.256,0,0,0,0,26403.164,0,17299.809,0,0,0,0,
456,314.8494028492366,0.5729874,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,72921.65,0,0,0,0,0,0,0,
459,208.9726159989976,0.5734603,,,,515,,,,,,,0,0,20652.268,0,0,0,0,115710.125,0,0,0,0,47829.906,0,213871.38,91103.836,0,13709.086,16903.32,
461,212.85167509189503,0.5740841,,,,111,,,,,,,0,59584.316,0,0,0,0,0,0,0,0,0,0,0,101335.73,0,0,0,30423.295,0,
462,192.05540155909762,0.5741088,,,,,,,,,,,92565.06,80643.62,54803.027,63724.664,79756.836,100191.055,82131.22,58832.223,95499.23,151786.81,0,0,0,108790.68,24963.031,41827.41,112889.95,65089.406,97089.984,
463,213.07482833542116,0.57436645,,,,507,,,,,,,0,0,0,0,0,0,70670.44,0,0,0,0,0,204878.22,0,99927.48,28929.29,0,12722.693,0,
464,222.98817171246736,0.5745072,,,,,,,,,,,0,24171.521,16510.176,63138.918,62807.375,31454.613,0,49377.906,5751.3765,36768.254,0,0,47616.035,0,108837.71,98137.2,0,79656.36,51751.953,
465,249.04682290224898,0.5756202,,,,,,,,,,,0,0,0,0,0,0,58915.242,0,0,0,0,0,0,0,43826.992,0,0,0,0,
469,223.97235680923816,0.57784927,,,,,,,,,,,27236.525,0,20870.812,58461.35,58364.477,38717.13,0,50792.23,0,24816.338,0,0,42238.277,0,92630.3,40793.28,27179.219,30188.664,45147.637,
471,200.0442710386182,0.578398,,,,,,,,,,,138666.14,37227.453,308715.38,136339.97,152072.88,348269.34,170670.75,133004.17,264321.1,159263.19,0,0,81115.41,32649.8,35144.863,106149.44,136924.88,43689.785,77445.25,
473,276.8965028646563,0.57864857,,,,443,,,,,,,0,0,0,0,0,0,0,0,0,0,204279.56,185026.16,0,0,0,0,0,0,0,
474,304.89124061516486,0.57864857,,,,443,,,,,,,0,0,0,0,0,0,0,0,0,0,347007.2,202966.34,0,0,0,0,0,0,0,
475,404.8158590826919,0.57864857,,,,443,,,,,,,0,0,0,0,0,0,0,0,0,0,162163.36,80325.34,0,0,0,0,0,0,0,
476,296.06586687340246,0.5793816,,,,,,,,,,,77838.51,23429.992,0,163879.1,85105.85,85636.62,0,13586.826,69244.78,0,0,0,0,29982.744,0,0,0,0,73663.7,
