row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,230605_ED_Blank_ALC_nr8cent.mzML Peak area,230605_ED_dbgi_001140_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001142_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001144_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001150_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001152_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001153_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001156_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001160_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001161_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001162_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001173_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001175_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001182_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001185_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001186_01_03_nr8cent.mzML Peak area,230605_ED_test_miels_dbgi_001188_01_03_nr8cent.mzML Peak area,230605_EDdbgi_001146_01_03_nr8cent.mzML Peak area,
77,275.9724249855614,2.2201135,,,,3,,,,,,,0,239.44243,3533.8577,3865.1536,1677.9818,501.14877,1318.4293,5879.802,3235.805,6621.8906,349.98102,201.46948,3214.5376,3326.7053,2654.775,5132.89,766.75714,0,
78,257.9857127363812,2.2233713,,,,,,,,,,,0,0,839.48883,1694.1968,470.71634,0,182.97963,1232.0131,329.59424,2550.8333,0,0,246.59985,241.29968,457.43552,1817.1028,0,0,
79,405.98535566148604,2.2223666,,,,3,,,,,,,0,0,537.1379,2351.4956,551.78687,0,227.76382,2196.4807,1040.7755,3428.708,0,0,482.06732,1812.1555,509.55188,2167.956,0,0,
80,314.23329225085723,2.22255,,,,,,,,,,,0,0,63862.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,334.129115826763,2.226175,,,,,,,,,,,0,0,0,6462.1675,0,0,0,0,0,0,0,0,778.6423,0,0,0,0,0,
82,311.0403014258527,2.2325966,,,,3,,,,,,,0,1923.4543,27960.781,41203.746,30311.951,510.65805,14213.032,53863.73,19363.91,57393.973,0,0,22714.256,33571.1,23011.71,43297.652,1526.0139,3142.0842,
83,391.20016205075035,2.2449389,,,,,,,,,,,0,0,0,0,0,0,0,6785.665,172.66364,0,0,0,0,8138.8306,0,0,0,0,
84,675.9978310616724,2.2498105,,,,,,,,,,,0,0,525.5848,2239.808,788.98254,0,289.90802,1091.5765,390.26807,3477.0222,0,0,579.03845,641.151,957.6466,1427.0852,0,0,
85,294.0614096740331,2.2489843,,,,,,,,,,,0,852.65656,22253.03,23027.36,1295.4769,920.4061,1014.9186,10201.271,2373.1665,10450.647,240.71344,0,2568.438,3975.9133,3285.8367,7875.689,237.15237,1938.9729,
86,319.9619141897995,2.253418,,,,,,,,,,,0,0,3777.8171,5096.3423,1209.0825,0,681.8473,892.03235,534.0961,4742.425,0,0,1042.8533,420.30273,1341.6199,897.3459,0,271.16443,
87,312.045345911587,2.2495902,,,,,,,,,,,0,0,1993.802,7453.5063,2737.8342,0,1192.044,4813.4165,811.05054,14181.554,0,0,1949.1361,3748.1177,2610.137,10155.225,0,200.57143,
88,180.0418437858029,2.278045,,,,,,,,,,,0,10618.531,6639.9785,3914.8394,3339.1787,1380.0908,2745.2598,3695.238,1182.6686,4349.465,2521.938,2440.8513,2621.9307,1800.9578,2143.449,2234.1753,3271.9954,6585.0825,
89,455.0611125181784,2.256813,,,,,,,,,,,0,0,0,868.092,970.416,0,0,2765.867,726.84094,4422.646,0,0,170.96573,1776.2754,401.5848,3315.0156,0,0,
90,295.0626104457414,2.2601132,,,,,,,,,,,0,0,4882.8936,3898.5352,216.29695,0,0,1309.679,0,0,239.66609,0,294.2354,0,465.75024,182.70563,301.69324,576.80225,
91,265.0351671461879,2.2429926,,,,,,,,,,,0,0,457.50024,1363.116,424.4436,0,0,683.4148,0,1900.404,0,0,233.93954,387.11902,183.54721,662.0181,0,0,
92,605.0787639390749,2.2561786,,,,,,,,,,,0,0,0,220.95645,174.53946,0,0,791.18024,179.52673,1499.6434,0,0,0,345.78308,0,1261.8097,0,0,
93,473.0717796322371,2.2568893,,,,,,,,,,,0,0,657.0055,1950.0994,2232.2544,0,296.92996,5590.286,1407.57,8370.606,0,0,587.9689,3621.505,1014.06256,6625.483,0,0,
94,264.0869620100419,2.2595916,,,,,,,,,,,0,0,0,7950.3784,0,0,0,0,0,0,0,0,210.56534,0,0,0,0,0,
95,117.03416025578098,2.2688785,,,,10,,,,,,,0,12645.05,4021.1548,1692.6536,10153.125,8466.705,9397.176,6700.6694,6331.596,5797.541,12277.575,4695.2217,5850.981,7062.8135,4440.0464,8442.625,13326.938,11072.016,
96,325.0922413908313,2.2597854,,,,,,,,,,,0,4863.6196,1047.5039,6348.7026,11857.07,169823.45,1525.548,3820.5356,62231.86,42156.625,7899.4883,3550.8997,1415.53,9795.681,4981.903,51442.84,9579.104,14756.344,
97,135.04478726104415,2.2682316,,,,10,,,,,,,0,33973.285,11219.364,5627.846,27171.465,22883.01,25969.152,18056.572,18290.428,14888.169,34270.22,12768.158,15831.804,19029.764,12123.622,22454.45,36222.848,14396.855,
98,163.04028671457303,2.2734776,,,,10,,,,,,,0,394065.7,167294.05,84657.555,336217.34,314573.2,324208.94,246223.31,256567.11,228975.83,401976.12,190611.66,215081.72,259634.47,186623.52,312440.06,424986.53,210779.94,
99,383.1335302786897,2.2588935,,,,,,,,,,,0,177.8494,499.17346,0,0,0,0,2395.4783,4706.9146,6229.7725,0,0,0,236.51854,206.59238,7151.0723,376.6993,5838.8804,
100,206.04536589388061,2.2753427,,,,,,,,,,,0,4748.4434,0,9680.577,12498.853,0,21993.242,11563.62,12504.266,9730.86,3183.1682,3878.2585,0,4896.172,9189.964,458.54178,2858.3384,23365.658,
101,451.5532422875583,2.27985,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5362.851,0,0,0,
102,451.8875765420875,2.27985,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763.3704,0,0,0,
103,146.0817566036471,2.3249834,,,,,,,,,,,0,0,468.54178,1661.498,0,0,0,0,0,667.1157,0,0,0,0,0,681.39667,0,0,
104,365.0844565157168,2.2799177,,,,10,,,,,,,0,16984.104,4611.1235,1838.4856,19605.916,14303.89,12254.861,6252.959,11409.053,2807.9502,17436.088,12037.923,9505.532,7464.965,7388.689,8878.256,17616.498,9202.102,
105,595.1862870809568,2.2839668,,,,,,,,,,,0,0,23152.307,220.78778,0,0,0,0,0,0,0,0,0,0,0,0,0,4852.889,
106,283.17541076493967,2.2923136,,,,,,,,,,,2661.0242,1398.2225,1891.3152,2046.6224,1602.3231,978.06213,2274.5476,1375.1528,1600.3191,1174.5695,1783.5438,1148.4976,1478.6648,1625.1854,1253.5995,1126.5513,1075.2999,1293.8622,
107,378.02358291364925,2.2812917,,,,,,,,,,,0,1221.3291,1205.1151,0,498.34448,1280.8126,2294.5505,271.91098,620.6876,178.87491,1151.2039,1695.6093,1367.2415,797.0588,1164.8914,505.80527,1103.3224,2309.0015,
108,305.15735171406067,2.2939332,,,,,,,,,,,859.0624,0,573.7947,507.3983,607.86237,173.26157,462.53882,602.4252,643.4674,509.27283,645.7263,612.53595,275.2475,913.87067,274.60077,592.03546,542.27625,258.60345,
109,555.2214615708173,2.3000362,,,,,,,,,,,0,2870.9482,0,0,1610.9187,4983.088,1405.5131,0,0,0,1707.4188,2294.8403,2376.6206,580.7423,1208.8035,0,2087.7424,3388.6982,
110,179.03464275695117,2.3037925,,,,,,,,,,,0,11110.303,27026.559,24707.457,12374.827,8975.758,28002.486,14739.002,5626.3374,38567.45,10325.433,14634.114,8149.7407,5231.166,12460.047,22584.455,7054.6055,63488.047,
111,341.08686888029206,2.323006,,,,,,,,,,,0,3923.0164,8519.055,5898.1343,2857.0845,4488.5903,4405.884,1285.7676,4375.6553,10829.877,2894.336,4667.195,9293.291,2144.975,2953.36,960.8141,1514.5654,9017.588,
112,307.0816923739581,2.3305566,,,,,,,,,,,0,2104.708,0,532.22546,3128.944,52982.047,690.4638,370.9833,10270.902,7741.804,938.5999,0,0,1323.8566,504.49493,4999.6714,1808.9062,0,
113,416.0610698917958,2.3389668,,,,,,,,,,,0,0,375.3167,6315.201,511.85004,0,366.22742,0,0,3718.4507,0,0,0,0,4448.993,2418.6458,0,0,
114,465.10298380185924,2.3620439,,,,14,,,,,,,0,4165.5654,2896.4246,511.87817,3731.567,86996.766,1087.0408,36737.824,36852.445,0,16834.299,14491.791,995.3436,12337.777,270.3324,235.24072,22117.379,25640.148,
115,375.09227915664025,2.3455582,,,,,,,,,,,0,0,64528.758,9651.237,227.55472,0,649.3789,0,0,850.82635,0,0,729.5539,0,88218.19,7131.9365,246.50778,14761.844,
116,396.01404377069485,2.3310804,,,,,,,,,,,0,28732.379,6162.301,2096.623,22586.549,3508.1348,26097.57,3074.259,5195.198,4404.508,18626.668,6921.1904,16778.957,3224.2964,6037.0083,14291.389,18106.012,10397.71,
117,303.05039649723915,2.3751152,,,,14,,,,,,,0,5791.937,2943.86,344.9904,6321.7017,25711.074,2136.2688,31779.482,12763.615,0,6867.8877,6778.5283,885.3926,10469.311,0,0,11640.512,21586.496,
118,188.09229056860195,2.3582833,,,,,,,,,,,0,0,0,0,1018.522,0,234.90335,0,0,0,0,0,0,0,0,0,0,1186.8707,
119,277.0711393493176,2.3756166,,,,,,,,,,,0,46021.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,627.1554164427127,2.385465,,,,14,,,,,,,0,809.32825,11235.965,1916.3643,5976.159,49945.316,1685.7527,53457.914,35126.715,1344.2985,66133.38,26515.254,3063.4075,63894.49,1537.9558,2090.742,89921.4,116500.375,
121,773.2130882536303,2.4019668,,,,,,,,,,,0,0,3458.7278,1497.2338,8768.13,0,8707.758,7574.834,5609.1963,0,3800.5928,3937.1304,4711.56,21028.207,0,0,4138.5596,23114.496,
122,301.0348756756698,2.3856628,,,,31,,,,,,,0,20633.744,3122.5752,0,9176.13,1952.363,1359.7401,7216.2456,1992.5314,0,9334.373,6534.7905,0,8702.029,0,0,6943.2734,7280.176,
123,460.2544150438721,2.385,,,,,,,,,,,0,0,46265.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,296.0765590609919,2.381142,,,,,,,,,,,0,0,2299.9373,2386.4446,0,0,0,536.72595,270.92947,2435.8503,0,0,0,394.19543,269.71887,2708.7412,0,0,
125,314.17515678844615,2.3992946,,,,,,,,,,,0,0,0,0,0,0,1243.6398,0,5701.92,0,0,0,0,0,0,0,227.0524,0,
126,381.16600951113344,2.398275,,,,,,,,,,,0,0,2126.1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.7402,
127,399.1763937188565,2.398275,,,,,,,,,,,0,0,11872.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6466.9395,
128,641.13488366192,2.392398,,,,31,,,,,,,0,43527.098,10010.407,253.94614,52582.477,0,6864.5903,38531.61,12325.1,829.50305,33386.363,34069.004,296.82306,39271.16,1020.89795,779.54517,45326.68,4282.7856,
129,341.13841488908093,2.3958473,,,,,,,,,,,0,2248.33,2859.5156,563.63086,894.2926,1054.1355,2242.1929,2866.5278,2117.2832,294.43793,1105.2986,728.0358,2662.5625,2240.1548,855.52747,496.46268,526.32104,19327.586,
130,449.1080373399818,2.4484017,,,,,,,,,,,0,217.17393,0,0,0,64745.37,0,3659.222,49113.574,0,15051.401,3369.7185,0,12752.589,0,0,14777.443,686.6123,
131,175.14861087919448,2.40402,,,,,,,,,,,0,0,2213.8394,0,0,0,0,0,0,0,528.87366,182.31372,0,0,556.722,0,0,516.36365,
132,181.12280949867068,2.4102082,,,,,,,,,,,0,0,1176.3342,0,0,0,218.52919,0,0,0,0,0,0,525.4861,0,0,0,1473.0079,
133,935.2446436755326,2.4172668,,,,,,,,,,,0,0,0,0,0,15124.456,0,0,8022.1753,0,0,0,0,0,0,0,0,0,
134,458.2391306357659,2.4185667,,,,,,,,,,,0,0,41631.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,951.2394661747959,2.4635048,,,,,,,,,,,0,0,0,0,0,13064.362,0,18482.043,10753.887,0,9219.907,9621.55,0,20205.537,0,0,7572.5547,0,
136,597.1450466590366,2.4453733,,,,,,,,,,,0,0,0,0,0,0,0,9024.268,0,0,51229.723,44833.17,0,0,0,0,65166.773,525.1053,
137,344.22799557992,2.4592648,,,,,,,,,,,856.2206,674.39185,646.4,598.22675,587.72894,271.64783,621.37616,537.55914,546.46875,419.4667,473.3444,261.70093,405.7284,320.63394,297.92896,318.17993,434.798,478.1718,
138,327.2014716396544,2.4594185,,,,,,,,,,,1861.7805,1552.4066,1520.6918,1506.2937,1564.4138,1103.664,1442.5491,1329.349,1524.3645,962.86597,1310.4423,1087.9294,1018.9233,1550.679,985.78925,1192.1578,981.0058,1106.5054,
139,349.1834722995649,2.4581976,,,,,,,,,,,384.43338,180.4252,422.77325,453.7117,429.85437,223.64798,518.7734,479.14218,594.4695,175.26244,494.35062,263.13907,438.4529,329.3546,464.1161,228.39539,432.4281,414.6445,
