id	molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus
6180	C33H38O22	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
5187	C32H50NO9P	[M + H]+	Fatty acids	Glycerophospholipids	Oxidized glycerophospholipids
4758	C21H37N5O	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
4989	C33H36N6O8	[M + H]+	Alkaloids	Tryptophan alkaloids	Cyclic peptides
5366	C6H11NO3	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
4763	C22H32BFO4	[M + H]+	Terpenoids	Steroids	Pregnane steroids
5067	C10H13NO3	[M + H]+	Alkaloids	Small peptides	Aminoacids
4352	C20H28N2O6	[M + H]+	Alkaloids	Small peptides	Dipeptides
3042	C36H40N4O7	[M + H]+	Alkaloids	Pseudoalkaloids	Pyridine alkaloids
5952	C32H38O21	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
3214	C21H33N5O6	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
6761	C25H46O6	[M + H]+	Fatty acids	Glycerolipids	Diacylglycerols
5409	C13H20O	[M + H]+	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)
3567	C21H42N2O5S	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
3048	C20H19N5O4	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
4994	C17H27NO10	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
6918	C17H18N2O3S	[M + H]+	Alkaloids	Tryptophan alkaloids	Simple coumarins
5133	C24H35NO10	[M + H]+	Alkaloids	Monoterpenoids	Secoiridoid monoterpenoids
3604	C16H36N4O2	[M + K]+	Alkaloids	Ornithine alkaloids	Polyamines
6919	C16H18N2O2	[M + H]+	Alkaloids	Peptide alkaloids	Simple amide alkaloids
3215	C14H31NO7	[M + H]+	Fatty acids	Aminosugars and aminoglycosides	Aminosugars
3513	C26H39FO4	[M + H]+	Terpenoids	Steroids	Pregnane steroids
6779	C39H62F2N6O7	[M + H]+	Amino acids and Peptides	Oligopeptides	Lipopeptides
1253	C19H32O3	[M + H]+	Fatty acids	Eicosanoids	Wax monoesters
5520	C19H26O12	[M + H]+	Shikimates and Phenylpropanoids	Phenylethanoids (C6-C2)	Phenylethanoids
5192	C40H65N9O8	[M + H]+	Amino acids and Peptides	Oligopeptides	Linear peptides
5173	C22H34N2O9	[M + H]+	Alkaloids	Polyols	Open-chain polyketides
4434	C29H44O2	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
5730	C27H48O13	[M + Na]+	Terpenoids	Sesquiterpenoids	Acyclic monoterpenoids
4382	C18H32O3	[M + H]+	Fatty acids	Octadecanoids	Other Octadecanoids
1219	C17H29N5O7S2	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
4843	C15H18O11	[M + Na]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple coumarins
4469	C22H27NO6	[M + H]+	Alkaloids	Tyrosine alkaloids	Morphinan alkaloids
4122	C21H40N6O13	[M + H]+	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides
6763	C25H54NO4P	[M + H]+	Fatty acids	Sphingolipids	Glycerophosphocholines
1244	C29H38F3N5O7	[M + H]+	Amino acids and Peptides	Oligopeptides	Tripeptides
3599	C19H32O10	[M + Na]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
4915	C41H41N4O8P	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
3416	C33H64NO10P	[M + H]+	Fatty acids	Glycerophospholipids	Glycerophosphoserines
3574	C46H96NO4P	[M + H]+	Fatty acids	Sphingolipids	Glycerophosphocholines
5124	C47H81NO10	[M + H]+	Fatty acids	Glycerolipids	Glycosyldiacylglycerols
2475	C39H67NO7	[M + H]+	Fatty acids	Glycerolipids	Open-chain polyketides
4927	C12H25N8O8P	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
5859	C31H34O16	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
2805	C22H24O8	[M + H]+	Shikimates and Phenylpropanoids	Lignans	Linear diarylheptanoids
4327	C8H14FNO5	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
5043	C20H26N6O8	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
4707	C42H69N5O4	[M + H]+	Terpenoids	Oligopeptides	Lipopeptides
3136	C25H28O12	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
3417	C15H25NO7	[M + H]+	Amino acids and Peptides	Small peptides	Menthane monoterpenoids
3535	C34H59N5O8	[M + H]+	Polyketides	Macrolides	Lipopeptides
4787	C28H41NO4	[M + H]+	Terpenoids	Anthranilic acid alkaloids	Quinoline alkaloids
3973	C40H77NO8	[M + H]+	Fatty acids	Sphingolipids	Neutral glycosphingolipids
3030	C31H48N6O9	[M + H]+	Amino acids and Peptides	Oligopeptides	Cyclic peptides
3710	C14H22O4	[M + H]+	Fatty acids	Octadecanoids	Jasmonic acids
3074	C28H45NO8	[M + H]+	Fatty acids	Steroids	Cholane steroids
3484	C29H38O4	[M + H]+	Terpenoids	Meroterpenoids	Open-chain polyketides
4850	C41H66O12	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
5195	C11H26N3O6P	[M + Na]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
4838	C32H54N2O4	[M + Na]+	Alkaloids	Diterpenoids	Lipopeptides
4923	C19H29NO9	[M + H]+	Amino acids and Peptides	Apocarotenoids	Open-chain polyketides
5246	C33H54NO10P	[M + H]+	Fatty acids	Glycerophospholipids	Oxidized glycerophospholipids
5170	C14H17NO4	[M + H]+	Alkaloids	Tryptophan alkaloids	Pyridine alkaloids
5334	C24H41NO10	[M + H]+	Terpenoids	Sesquiterpenoids	Megastigmanes
3480	C40H68N6O8	[M + H]+	Amino acids and Peptides	Oligopeptides	Lipopeptides
4144	C22H34O8	[M + Na]+	Terpenoids	Diterpenoids	Caryophyllane sesquiterpenoids
2951	C19H26O9	[M + Na]+	Terpenoids	Sesquiterpenoids	Menthane monoterpenoids
3885	C23H23NO12	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acid amides
5331	C29H37NO12	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
3020	C19H32O4	[M + H]+	Fatty acids	Octadecanoids	Other Octadecanoids
1240	C29H34N4O10	[M + Na]+	Alkaloids	Tryptophan alkaloids	Carboline alkaloids
5162	C11H14O5	[M + H]+	Polyketides	Cyclic polyketides	2-pyrone derivatives
5032	C11H19NO8	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
3944	C14H18N4O6S	[M + H]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
5251	C16H22O9	[M + H]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
3401	C23H53N4O3P	[M + H]+	Fatty acids	Fatty amides	N-acyl amines
6765	C32H64N3O7P	[M + H]+	Fatty acids	Sphingolipids	Glycerophosphocholines
763	C8H11NO3	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
4333	C16H18O9	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
3550	C21H30O10	[M + H]+	Terpenoids	Sesquiterpenoids	Elemane sesquiterpenoids
4411	C10H16O4	[M + H]+	Polyketides	Cyclic polyketides	Acetogenins
5111	C30H20O10	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavones
2862	C14H16B2N4O3	[M + H]+	Carbohydrates	Nucleosides	Pinane monoterpenoids
4431	C41H70N6O8	[M + Na]+	Fatty acids	Glycerolipids	Glycosyldiacylglycerols
6904	C11H9NO3	[M + H]+	Alkaloids	Anthranilic acid alkaloids	Quinoline alkaloids
3509	C39H67NO6	[M + H]+	Fatty acids	Diterpenoids	Open-chain polyketides
4136	C20H32O9	[M + Na]+	Terpenoids	Sesquiterpenoids	Open-chain polyketides
3195	C5H4Cl4O2	[M + H]+	Fatty acids	Fatty acyls	Halogenated hydrocarbons
5388	C18H26O12	[M + Na]+	Polyketides	Cyclic polyketides	4-pyrone derivatives
5030	C12H11N5O7S	[M + Na]+	Amino acids and Peptides	Pseudoalkaloids	Cephalosporins
5392	C24H23N5O6	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
3684	C26H49NO9	[M + H]+	Terpenoids	Diterpenoids	Labdane diterpenoids
4715	C10H19N3O4	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
5069	C19H27NO8	[M + H]+	Alkaloids	Ornithine alkaloids	Pyrrolizidine alkaloids
2149	C26H37NO12	[M + H]+	Shikimates and Phenylpropanoids	Lignans	Neolignans
3627	C23H29NO11	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Phenylethanoids
3955	C15H27NO6	[M + H]+	Alkaloids	Pseudoalkaloids	Phenylethylamines
5210	C16H31NO8	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5545	C32H58N2O3S	[M + H]+	Terpenoids	Triterpenoids	Labdane diterpenoids
4997	C13H20O2	[M + H]+	Terpenoids	Monoterpenoids	Prenyl quinone meroterpenoids
6004	C26H28O15	[M + Na]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
5337	C35H68NO8P	[M + H]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
3107	C18H29NO9	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
3087	C18H27NO8	[M + H]+	Amino acids and Peptides	Small peptides	Acyclic monoterpenoids
2150	C28H55N5O4	[M + H]+	Fatty acids	Oligopeptides	Ceramides
5165	C27H47O11P	[M + H]+	Fatty acids	Glycerophospholipids	Glycerophosphoinositols
3858	C30H41N5O9	[M + H]+	Alkaloids	Lignans	Polyamines
5510	C17H18N2O5	[M + H]+	Alkaloids	Anthranilic acid alkaloids	Quinazoline alkaloids
5518	C27H30O14	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
7284	C44H76NO8P	[M + Na]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
4570	C11H18O9	[M + H]+	Carbohydrates	Saccharides	Disaccharides
3516	C14H14F3N5O4	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
296	C21H37NO7	[M + H]+	Terpenoids	Apocarotenoids	Open-chain polyketides
3631	C36H75NO4P2	[M + Na]+	Fatty acids	Fatty amides	Glycerophosphoethanolamines
4939	C17H28O7	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
5338	C35H52FNO7	[M + Na]+	Alkaloids	Macrolides	Quinolizidine alkaloids
3650	C23H34O5	[M + H]+	Terpenoids	Steroids	Cholane steroids
4830	C6H11NO3	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
5252	C21H36N2O9	[M + H]+	Terpenoids	Monoterpenoids	Dipeptides
3537	C21H39NO11	[M + H]+	Fatty acids	Amino acid glycosides	Cyanogenic glycosides
5019	C11H17NO6	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
2905	C12H24BNO4	[M + H]+	Fatty acids	Small peptides	Aminoacids
5539	C25H40O13	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
5455	C15H13N3O7S	[M + K]+	Alkaloids	Histidine alkaloids	Imidazole alkaloids
4239	C36H36O19	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Anthocyanidins
3210	C15H23NO8	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
4321	C7H12FNO4	[M + H]+	Alkaloids	Fatty esters	Pyrimidine nucleos(t)ides
4814	C16H27NO4	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
5179	C20H27NO10	[M + H]+	Shikimates and Phenylpropanoids	Amino acid glycosides	Cyanogenic glycosides
6812	C23H38O11	[M + Na]+	Terpenoids	Sesquiterpenoids	Open-chain polyketides
6150	C24H29NO9	[M + H]+	Alkaloids	Linear polyketides	Simple amide alkaloids
7252	C34H35N7O6	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
7280	C13H14O2	[M + H]+	Polyketides	Sesquiterpenoids	Cadinane sesquiterpenoids
5281	C21H36O7	[M + Na]+	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids
5513	C21H22O11	[M + Na]+	Shikimates and Phenylpropanoids	Coumarins	Flavones
3097	C13H24N3O3	[M + Na]+	Alkaloids	Small peptides	Pyridine alkaloids
2466	C10H8O2	[M + H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
4556	C6H16BN2	[M + Na]+	Alkaloids	Lysine alkaloids	Piperidine alkaloids
3976	C27H46O3	[M + H]+	Terpenoids	Steroids	Prenyl quinone meroterpenoids
3644	C42H63N5O5	[M + K]+	Amino acids and Peptides	Oligopeptides	Lipopeptides
4293	C15H19NO5	[M + H]+	Shikimates and Phenylpropanoids	Tyrosine alkaloids	Simple phenolic acids
5452	C37H56N8O11	[M + K]+	Amino acids and Peptides	Oligopeptides	Cyclic peptides
5142	C22H28N2O12	[M + H]+	Alkaloids	Tryptophan alkaloids	Pyrrolidine alkaloids
6903	C21H20N3O10P	[M + H]+	Polyketides	Chromanes	Purine nucleos(t)ides
3198	C24H44N4O9P2	[M + H]+	Fatty acids	Pseudoalkaloids	Purine alkaloids
2946	C17H18N3O3P	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
6816	C14H22	[M + H]+	Terpenoids	Sesquiterpenoids	Caryophyllane sesquiterpenoids
6805	C15H23FN2O8	[M + Na]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
6928	C25H33NO13	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acid amides
4697	C18H29B2NO4	[M + H]+	Alkaloids	Monoterpenoids	Pinane monoterpenoids
4782	C21H21NO5	[M + H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
4682	C16H21NO7S	[M + H]+	Amino acids and Peptides	Nicotinic acid alkaloids	Glucosinolates
3208	C10H16O	[M + H]+	Terpenoids	Monoterpenoids	Menthane monoterpenoids
4490	C27H51NO9	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
2152	C10H10O2	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4998	C10H18O	[M + H]+	Terpenoids	Monoterpenoids	Acyclic monoterpenoids
754	C28H39NO13	[M + H]+	Alkaloids	Lignans	Furofuranoid lignans
5107	C34H43N9O12	[M + H]+	Alkaloids	Pseudoalkaloids (transamidation)	Cyclic peptides
4031	C13H22O7	[M + Na]+	Polyketides	Fatty Acids and Conjugates	Dicarboxylic acids
4121	C20H25NO	[M + H]+	Alkaloids	Lysine alkaloids	Piperidine alkaloids
3135	C25H26O12	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4903	C22H20BFN4O3	[M + Na]+	Alkaloids	Anthranilic acid alkaloids	Quinoline alkaloids
5054	C21H36O9	[M + Na]+	Terpenoids	Sesquiterpenoids	Drimane sesquiterpenoids
4967	C13H20O	[M + H]+	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)
6891	C12H11NO	[M + H]+	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids
6916	C8H10FNO3	[M + H]+	Alkaloids	Tryptophan alkaloids	Phenylethylamines
3975	C12H14O6	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4205	C15H19NO7	[M + H]+	Alkaloids	Amino acid glycosides	Cyanogenic glycosides
3162	C14H28O7	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
5052	C10H22BNO5	[M + H]+	Fatty acids	Small peptides	Aminoacids
3978	C17H24BN5O7S	[M + H]+	Amino acids and Peptides	Nucleosides	Pyrimidine nucleos(t)ides
2937	C20H37N7O8	[M + H]+	Carbohydrates	Small peptides	Aminoglycosides
4816	C22H37NO8	[M + H]+	Amino acids and Peptides	Linear polyketides	Open-chain polyketides
4003	C12H25NO6	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
2468	C17H19N3O5	[M + H]+	Alkaloids	Histidine alkaloids	Imidazole alkaloids
5394	C25H49F2N7O12	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
6883	C21H25NO2	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acid amides
4918	C18H27N5O4	[M + H]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
5113	C21H25N3O9S	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
611	C26H30O10	[M + H]+	Shikimates and Phenylpropanoids	Lignans	Neolignans
4256	C15H16N2O5	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
5883	C19H19NO4	[M + H]+	Shikimates and Phenylpropanoids	Anthranilic acid alkaloids	Simple coumarins
2792	C17H24N2O4	[M + Na]+	Amino acids and Peptides	Small peptides	Dipeptides
3946	C11H14O2	[M + H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
3834	C21H24N10O4	[M + H]+	Alkaloids	Pseudoalkaloids	pteridine alkaloids
5059	C27H38O11	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
7255	C30H34O16	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
7269	C28H49N5O10	[M + Na]+	Amino acids and Peptides	Small peptides	Tripeptides
4786	C30H46O4	[M + H]+	Terpenoids	Triterpenoids	Abeolupane triterpenoids
3597	C17H28O2	[M + H]+	Fatty acids	Fatty esters	Wax monoesters
3403	C40H59BN8O9	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
5061	C28H46O4	[M + H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
5033	C30H39N3O16	[M + H]+	Alkaloids	Phenylpropanoids (C6-C3)	Antimycins
4417	C20H23NO12	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5831	C30H46O2	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
4492	C10H12O4	[M + H]+	Polyketides	Cyclic polyketides	2-pyrone derivatives
4234	C14H22N6O6	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
1241	C17H22N2O5	[M + Na]+	Alkaloids	Peptide alkaloids	Quinoline alkaloids
3167	C18H27NO9	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Amino cyclitols
6905	C15H15NO2	[M + H]+	Shikimates and Phenylpropanoids	Tryptophan alkaloids	Simple coumarins
4493	C13H17NO5	[M + H]+	Alkaloids	Peptide alkaloids	Simple amide alkaloids
5261	C24H36O4	[M + H]+	Polyketides	Phloroglucinols	Catechols with side chains
3525	C35H56O11	[M + Na]+	Polyketides	Macrolides	Polyene macrolides
4207	C12H17NO2	[M + H]+	Alkaloids	Pseudoalkaloids	Phenylalanine-derived alkaloids
5404	C27H43NO11	[M + H]+	Shikimates and Phenylpropanoids	Linear polyketides	Polyamines
5369	C6H11NO2	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
4322	C17H22FNO6	[M + H]+	Alkaloids	Lysine alkaloids	Phenylalanine-derived alkaloids
5194	C31H52O10S	[M + H]+	Fatty acids	Steroids	Glycosylmonoacylglycerols
4356	C11H16N2O5S2	[M + H]+	Alkaloids	Small peptides	Piperidine alkaloids
4790	C28H38N2O8	[M + H]+	Polyketides	Oligopeptides	Antimycins
5481	C13H22O4	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids
5884	C17H25NO7	[M + H]+	Alkaloids	Ornithine alkaloids	Pyrrolizidine alkaloids
3538	C24H36O2	[M + H]+	Terpenoids	Steroids	Cholestane steroids
3405	C21H36O4	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
4238	C16H17NO3	[M + H]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids
5431	C24H27NO11	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acid amides
2802	C10H21FO	[M + H]+	Fatty acids	Fatty acyls	Oxygenated hydrocarbons
5105	C27H32O13	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
5921	C22H39NO8	[M + H]+	Polyketides	Macrolides	N-acyl amines
6737	C24H22O15	[M + Na]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
523	C23H34O12	[M + Na]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
3539	C16H30O3	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids
3652	C30H53NO9	[M + H]+	Polyketides	Macrolides	Macrolide lactones
5684	C11H20FNO4S	[M + H]+	Fatty acids	Fatty esters	Wax monoesters
4613	C13H17NO5S	[M + H]+	Amino acids and Peptides	Small peptides	Pyrrolidine alkaloids
5861	C27H43F2N3O4	[M + K]+	Terpenoids	Steroids	Pregnane steroids
3558	C32H55N5O7	[M + H]+	Polyketides	Macrolides	Simple amide alkaloids
2929	C15H16O8	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
3688	C33H58N2O8	[M + H]+	Polyketides	Oligopeptides	Depsipeptides
4708	C22H27NO8	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acid amides
3569	C37H69N9O9	[M + H]+	Amino acids and Peptides	Oligopeptides	Cyclic peptides
3580	C15H34N4O6	[M + K]+	Carbohydrates	Ornithine alkaloids	Aminoglycosides
3076	C24H35NO10	[M + H]+	Alkaloids	Tryptophan alkaloids	Secoiridoid monoterpenoids
3060	C17H24O10	[M + Na]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
2813	C17H34N3O3P	[M + H]+	Alkaloids	Fatty amides	N-acyl amines
5196	C19H34O7	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
4118	C26H54N2O	[M + H]+	Fatty acids	Fatty amides	N-acyl amines
3861	C21H33N7O13	[M + H]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
1221	C21H18O13	[M + Na]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
6917	C20H40O8	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
3034	C21H38O4	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
841	C16H16O8	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
850	C13H26N10O8	[M + H]+	Carbohydrates	Small peptides	Dipeptides
2443	C14H18O4	[M + H]+	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids
