id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
290_cdhrc_dbgi_alc_pos_sirius_4701	C11H18N2O4	[M + H]+	Amino acids and Peptides	0.9980536699295044	Small peptides	0.9974437952041626	Dipeptides	0.9997373223304749	Alpha amino acids and derivatives	0.978232204914093	Amino acids and derivatives	0.9020869731903076	Amino acids, peptides, and analogues	0.9397454857826233	Carboxylic acids and derivatives	0.9999674558639526	Organic acids and derivatives	0.9999955892562866	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Piperazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Diazinanes; 2,5-dioxopiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
98_cdhrc_dbgi_alc_pos_sirius_3598	C29H50O15	[M + Na]+	Terpenoids	0.22929376363754272	Linear polyketides	0.2610550820827484	Polyesters	0.24481266736984253	Pentacarboxylic acids and derivatives	0.5423663854598999			Pentacarboxylic acids and derivatives	0.5423663854598999	Carboxylic acids and derivatives	0.9993775486946106	Organic acids and derivatives	0.9999293088912964	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Pentacarboxylic acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1490_cdhrc_dbgi_alc_pos_sirius_7271	C42H80NO8P	[M + Na]+	Fatty acids	0.9999706745147705	Glycerophospholipids	0.9997263550758362	Glycerophosphocholines	0.9928720593452454	Phosphatidylcholines	0.9240939617156982	Phosphatidylcholines	0.9240939617156982	Glycerophosphocholines	0.993415355682373	Glycerophospholipids	0.999792754650116	Lipids and lipid-like molecules	0.999872088432312	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
147_cdhrc_dbgi_alc_pos_sirius_2844	C22H38FNO3	[M + H]+	Terpenoids	0.8048649430274963	Fatty amides	0.3031647801399231	Phenylalanine-derived alkaloids	0.09582660347223282	Amino acids and derivatives	0.718804657459259	Amino acids and derivatives	0.718804657459259	Amino acids, peptides, and analogues	0.7063815593719482	Carboxylic acids and derivatives	0.9799884557723999	Organic acids and derivatives	0.9971967935562134	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Halobenzenes; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Aryl fluorides; Fluorobenzenes; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
242_cdhrc_dbgi_alc_pos_sirius_4962	C26H44N3O9P	[M + Na]+	Alkaloids	0.48144349455833435	Ornithine alkaloids	0.14903369545936584	Polyamines	0.22864529490470886	Carbamic acids and derivatives	0.5279560685157776	Amino acids and derivatives	0.7240343689918518	Amino acids, peptides, and analogues	0.7163130640983582	Carboxylic acids and derivatives	0.9974697828292847	Organic acids and derivatives	0.9989719390869141	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Phenols; Catechols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Carbamic acids and derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Benzenediols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities
1394_cdhrc_dbgi_alc_pos_sirius_3616	C34H65N5O7	[M + Na]+	Terpenoids	0.7518054246902466	Steroids	0.7821288704872131	Cholestane steroids	0.31607866287231445	Hydroxysteroids	0.6030160188674927			Hydroxysteroids	0.6030160188674927	Steroids and steroid derivatives	0.8691381216049194	Lipids and lipid-like molecules	0.9935662150382996	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
674_cdhrc_dbgi_alc_pos_sirius_6796	C13H17N3O8	[M + H]+	Amino acids and Peptides	0.5329208970069885	Small peptides	0.10908786207437515	Dipeptides	0.052780527621507645	N-acyl-alpha amino acids and derivatives	0.677332878112793	Amino acids and derivatives	0.8496978282928467	Amino acids, peptides, and analogues	0.8450661301612854	Carboxylic acids and derivatives	0.917996883392334	Organic acids and derivatives	0.9921535849571228	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Glycosylamines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
915_cdhrc_dbgi_alc_pos_sirius_4334	C6H8N4O7	[M + K]+	Alkaloids	0.41358861327171326	Pseudoalkaloids	0.2947402894496918	Purine alkaloids	0.1534224897623062	Alpha amino acids and derivatives	0.8038411140441895	Amino acids and derivatives	0.784191370010376	Amino acids, peptides, and analogues	0.7991409301757812	Carboxylic acids and derivatives	0.6536361575126648	Organic acids and derivatives	0.991005539894104	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Monosaccharides; Carbonyl compounds; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3_cdhrc_dbgi_alc_pos_sirius_4901	C41H70N6O11	[M + H]+	Amino acids and Peptides	0.6295331120491028	Oligopeptides	0.6958938241004944	Lipopeptides	0.3791743218898773	Alpha amino acids and derivatives	0.9891419410705566	Amino acids and derivatives	0.9851190447807312	Amino acids, peptides, and analogues	0.9892838001251221	Carboxylic acids and derivatives	0.9893460869789124	Organic acids and derivatives	0.9903226494789124	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acid esters; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
1154_cdhrc_dbgi_alc_pos_sirius_2945	C26H45NO5	[M + H]+	Fatty acids	0.10766327381134033	Steroids	0.8491235375404358	Cholane steroids	0.7593717575073242	Glycinated bile acids and derivatives	0.9934455156326294	Glycinated bile acids and derivatives	0.9934455156326294	Bile acids, alcohols and derivatives	0.9998182654380798	Steroids and steroid derivatives	0.2526555359363556	Lipids and lipid-like molecules	0.9839354753494263	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Glycinated bile acids and derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; N-acyl-alpha amino acids; 3-hydroxysteroids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1681_cdhrc_dbgi_alc_pos_sirius_5247	C26H38O12	[M + H]+	Terpenoids	0.9708377718925476	Monoterpenoids	0.9980771541595459	Secoiridoid monoterpenoids	0.7831990122795105	Terpene glycosides	0.7139387130737305			Terpene glycosides	0.7139387130737305	Prenol lipids	0.8301060199737549	Lipids and lipid-like molecules	0.9618782997131348	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sugar acids and derivatives; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Monosaccharides; Monoterpenoids; Monocyclic monoterpenoids; Iridoids and derivatives; Acetals; Secondary alcohols; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty acyl glycosides of mono- and disaccharides; Vinylogous esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1586_cdhrc_dbgi_alc_pos_sirius_4488	C16H21NO5S	[M + Na]+	Amino acids and Peptides	0.48378580808639526	Linear polyketides	0.34927091002464294	Open-chain polyketides	0.2303304374217987	Alpha amino acids and derivatives	0.9510408043861389	Amino acids and derivatives	0.9856162071228027	Amino acids, peptides, and analogues	0.9860987663269043	Carboxylic acids and derivatives	0.9998465776443481	Organic acids and derivatives	0.999990701675415	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Azolidines; Dialkylthioethers; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
194_cdhrc_dbgi_alc_pos_sirius_6760	C28H44N4O4	[M + H]+	Alkaloids	0.513948380947113	Pseudoalkaloids	0.041052766144275665	Cyclic peptides	0.11846145242452621	Amino acids and derivatives	0.7547803521156311	Amino acids and derivatives	0.7547803521156311	Amino acids, peptides, and analogues	0.7595536112785339	Carboxylic acids and derivatives	0.9784935116767883	Organic acids and derivatives	0.9887585639953613	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Azoles; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1202_cdhrc_dbgi_alc_pos_sirius_3995	C26H45N5O8	[M + H]+	Alkaloids	0.7719612717628479	Sphingolipids	0.4037010371685028	Simple amide alkaloids	0.05254928022623062	Alkyl glycosides	0.9461454749107361	Alkyl glycosides	0.9461454749107361	Fatty acyl glycosides	0.968072772026062	Fatty Acyls	0.7993894815444946	Lipids and lipid-like molecules	0.6827670335769653	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; Glycosylamines; O-glycosyl compounds; Polyols; Primary amines; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
530_cdhrc_dbgi_alc_pos_sirius_3053	C17H28O5	[M + H]+	Polyketides	0.492509663105011	Linear polyketides	0.3868585228919983	Prostaglandins	0.2409432828426361	Long-chain fatty acids	0.5060406923294067	Long-chain fatty acids	0.5060406923294067	Fatty acids and conjugates	0.252088725566864	Fatty Acyls	0.6605691909790039	Lipids and lipid-like molecules	0.7758415341377258	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
578_cdhrc_dbgi_alc_pos_sirius_3517	C41H75NO10	[M + H]+	Fatty acids	0.9990704655647278	Sphingolipids	0.9284539222717285	Neutral glycosphingolipids	0.9192861914634705	Glycosphingolipids	0.8053341507911682			Glycosphingolipids	0.8053341507911682	Sphingolipids	0.8229789733886719	Lipids and lipid-like molecules	0.9971049427986145	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
