rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	11	1	11	0.9112121510610174	-151.2957216782337	N/A	88.05104225607782	C18H39N5O11	[M + K]+	YRRNOMYLKVACGP	InChI=1S/C18H39N5O11/c19-1-5(25)11(26)6(2-20)31-4-32-16-9(22)13(28)10(23)17(15(16)30)34-18-14(29)8(21)12(27)7(3-24)33-18/h5-18,24-30H,1-4,19-23H2	null	C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)OCOC(CN)C(C(CN)O)O)N)O)N)O)N)O)O	-8.60000038	89031847	PubChem:(89031847)	2	540.2288079713545	160.17809400000002	2044_cdhrc_dbgi_alc_pos_sirius_3229
12	3	1	4	0.9080085639404366	-329.3373372967777	N/A	34.09227901839328	C32H55N5O6S	[M + K]+	LQDIDNLPMMOOSB	InChI=1S/C32H55N5O6S/c1-18(2)13-21(28(39)32(7)17-43-32)34-30(41)23(15-20(5)6)35-29(40)22(14-19(3)4)33-26(38)12-10-8-9-11-25-27-24(16-44-25)36-31(42)37-27/h18-25,27H,8-17H2,1-7H3,(H,33,38)(H,34,41)(H,35,40)(H2,36,37,42)	null	CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)CCCCCC2C3C(CS2)NC(=O)N3	4.0999999	58627105	PubChem:(58627105)	2	676.3518355606458	547.043016	2603_cdhrc_dbgi_alc_pos_sirius_5695
13	2	1	10	0.9007674240058736	-94.55273316668948	N/A	77.78113245313634	C29H48O9	[M + K]+	JJBWLYWIMGBGEQ	InChI=1S/C29H48O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(32)37-23(20-30)22-36-29-28(35)27(34)26(33)24(21-31)38-29/h6-7,9-10,12-13,15-16,23-24,26-31,33-35H,2-5,8,11,14,17-22H2,1H3	null	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COC1C(C(C(C(O1)CO)O)O)O	3.70000005	129830543	PubChem:(129830543)	2	579.2927992944228	441.143358	298_cdhrc_dbgi_alc_pos_sirius_5165
14	1	1	10	0.8987598916562104	-65.77574557801242	N/A	172.37602512288524	C17H26O9	[M + H]+	KMHXLGLJTQHEIM	InChI=1S/C17H26O9/c1-7-3-4-8-9(15(22)23-2)6-24-16(11(7)8)26-17-14(21)13(20)12(19)10(5-18)25-17/h6-8,10-14,16-21H,3-5H2,1-2H3	Deoxyloganin	CC1CCC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O	0.0	440906;443331;5253702;71472298;102121806	SuperNatural:(SN00402427 SN00156896 SN00390946 SN00289172);MeSH:(440906);Plantcyc:(7-DEOXYLOGANIN);PubMed;COCONUT:(CNP0207238);KNApSAcK:(3077);Natural Products:(UNPD45884 UNPD54650 UNPD104967 UNPD110729);PubChem:(440906 443331 5253702 71472298 102121806);CHEBI:(18370 2315);PubChem class - bio and metabolites;KEGG:(C11648 C06071);Biocyc:(7-DEOXYLOGANIN)	20089206	375.164737062182	144.301686	3033_cdhrc_dbgi_alc_pos_sirius_2202
15	1	1	2	0.8855519784683972	-250.49319204776606	N/A	25.39087038848931	C26H45N9O5	[M + H]+	VPKMUFOZLBHZGL	InChI=1S/C26H45N9O5/c27-14-21(36)34-12-2-6-20(34)24(39)33-18(4-1-11-31-26(29)30)25(40)35-13-3-5-19(35)23(38)32-15-16-7-9-17(10-8-16)22(28)37/h16-20H,1-15,27H2,(H2,28,37)(H,32,38)(H,33,39)(H4,29,30,31)	null	C1CC(N(C1)C(=O)CN)C(=O)NC(CCCN=C(N)N)C(=O)N2CCCC2C(=O)NCC3CCC(CC3)C(=O)N	-2.4000001	10030775	PubChem:(10030775)	2	564.3588640408168	191.058072	4598_cdhrc_dbgi_alc_pos_sirius_442
16	5	1	10	0.8836657136514309	-215.8934308235028	N/A	49.821150513272926	C20H36N7O10P	[M + Na]+	QHPCKBYWVGXOHS	InChI=1S/C20H36N7O10P/c21-3-1-5-32-7-9-34-10-8-33-6-2-4-26-37-38(30,31)35-11-14-16(28)17(29)20(36-14)27-13-25-15-18(22)23-12-24-19(15)27/h12-14,16-17,20,26,28-29H,1-11,21H2,(H,30,31)(H2,22,23,24)	null	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)ONCCCOCCOCCOCCCN)O)O)N	-2.78388572	58332686	PubChem:(58332686)	2	588.2135846408097	101.360736	4502_cdhrc_dbgi_alc_pos_sirius_36
17	1	1	10	0.8758201762475052	-147.3525991645673	N/A	120.17634964015991	C29H37NO12	[M + H]+	RPUCXGXPWYXBOD	InChI=1S/C29H37NO12/c1-15(31)37-14-28-22(41-25(35)19-9-8-10-30-13-19)11-20-23(39-17(3)33)29(28,42-26(20,5)6)27(7,36)12-21(38-16(2)32)24(28)40-18(4)34/h8-10,13,20-24,36H,11-12,14H2,1-7H3	null	CC(=O)OCC12C(CC3C(C1(C(CC(C2OC(=O)C)OC(=O)C)(C)O)OC3(C)C)OC(=O)C)OC(=O)C4=CN=CC=C4	0.899999976	15560165;101324728	COCONUT:(CNP0392537);KNApSAcK:(13139);Natural Products:(UNPD69696 UNPD133328);PubChem:(15560165 101324728);SuperNatural:(SN00358327 SN00303629)	3178514	592.2390670911702	314.58615	1782_cdhrc_dbgi_alc_pos_sirius_5331
18	1	1	11	0.8747517763154029	-334.99767650891215	N/A	172.0012850139464	C33H59NO14	[M + H]+	LLWPPSFFAIEVLP	InChI=1S/C33H59NO14/c1-21(16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-24(37)34-18-25(38)44-2)45-33-31(29(42)27(40)23(20-36)47-33)48-32-30(43)28(41)26(39)22(19-35)46-32/h3-4,21-23,26-33,35-36,39-43H,5-20H2,1-2H3,(H,34,37)	Glycine-N-{17-L-[(2''-O-.beta.-D-glucopyranosyl-.beta.-D-glucopyranosyl)oxy]-cis-9-octadecenamide} methyl ester	CC(CCCCCCC=CCCCCCCCC(=O)NCC(=O)OC)OC1C(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)CO)O)O)O	2.0999999	16078244	PubChem:(16078244);PubMed	66	694.4002550279183	407.215542	6212_cdhrc_dbgi_alc_pos_sirius_109
19	1	1	10	0.8713314367013314	-28.849033964499917	N/A	78.29973025060457	C18H24O12	[M + H]+	WCVUIHQUPRXYKT	InChI=1S/C18H24O12/c1-8-16(9(19)3-4-27-8)30-17-15(25)14(24)13(23)10(29-17)7-28-12(22)6-18(2,26)5-11(20)21/h3-4,10,13-15,17,23-26H,5-7H2,1-2H3,(H,20,21)	Licoagroside B	CC1=C(C(=O)C=CO1)OC2C(C(C(C(O2)COC(=O)CC(C)(CC(=O)O)O)O)O)O	-2.4000001	637142;22297602;38356993;73880679	COCONUT:(CNP0025412 CNP0232682);HMDB:(36523);KNApSAcK:(19031);Natural Products:(UNPD178989);PubChem:(637142 22297602 38356993 73880679);SuperNatural:(SN00029471 SN00029470 SN00265222);CHEBI:(142266);ZINC bio:(ZINC31163718 ZINC31163722);additional;PubChem class - bio and metabolites;Training Set	20504634	433.1346041112223	148.406226	1036_cdhrc_dbgi_alc_pos_sirius_3499
20	1	1	3	0.8625560734352438	-29.698878066579837	N/A	223.1575590457707	C14H24O6	[M + H]+	FIDISSFBBFUTOK	InChI=1S/C14H24O6/c1-9(11(15)7-13(17)18)5-3-4-6-10(2)12(16)8-14(19)20/h3-4,9-12,15-16H,5-8H2,1-2H3,(H,17,18)(H,19,20)	null	CC(CC=CCC(C)C(CC(=O)O)O)C(CC(=O)O)O	0.800000012	125416630;125416631;125416632;125416633;129008872	COCONUT:(CNP0108482);Training Set;PubChem:(125416630 125416631 125416632 125416633 129008872)	2113538	289.1647313048336	195.54423	6064_cdhrc_dbgi_alc_pos_sirius_5606
21	7	1	10	0.8597167432376556	-383.378173603051	N/A	40.46792104094431	C25H28N6O7	[M + Na]+	YUEYAATWKGMMFW	InChI=1S/C25H28N6O7/c26-17(9-13-5-7-15(32)8-6-13)22-30-31-23(38-22)19(11-21(33)34)28-25(37)29-20(24(35)36)10-14-12-27-18-4-2-1-3-16(14)18/h1-8,12,17,19-21,27,32-34H,9-11,26H2,(H,35,36)(H2,28,29,37)	null	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)NC(CC(O)O)C3=NN=C(O3)C(CC4=CC=C(C=C4)O)N	0.904527366	134258129	PubChem:(134258129)	2	547.1913519452429	122.13540599999999	4199_cdhrc_dbgi_alc_pos_sirius_3745
22	3	1	10	0.8566564666648057	-89.6711429259061	N/A	7.238643903707592	C38H68NO10P	[M + Na]+	PKYOWWJUKYEIFE	InChI=1S/C38H68NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-20-23-28-37(42)46-33-36(34-48-50(44,45)47-32-30-39(2,3)4)49-38(43)29-24-21-18-19-22-26-35(41)27-25-31-40/h12-13,25,27,31,36H,5-11,14-24,26,28-30,32-34H2,1-4H3/p+1	null	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(=O)C=CC=O	8.0	134812323;134812324	PubChem:(134812323 134812324)	2	752.4466164107762	537.695028	2130_cdhrc_dbgi_alc_pos_sirius_3371
23	1	1	10	0.8559502510138165	-137.0848726488556	N/A	47.755914571868935	C31H34O13	[M + H]+	XJYKKSWBSUUWAV	InChI=1S/C31H34O13/c1-31(2,40)16-7-3-15(4-8-16)29(39)41-13-21-23(35)25(37)26(38)30(43-21)44-28-24(36)22-19(34)11-18(33)12-20(22)42-27(28)14-5-9-17(32)10-6-14/h3,5-6,9-12,16,21,23,25-26,30,32-35,37-38,40H,4,7-8,13H2,1-2H3	null	CC(C)(C1CCC(=CC1)C(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O	2.0999999	15172373;101618995	COCONUT:(CNP0111127);KNApSAcK:(31151);Natural Products:(UNPD32358 UNPD4780 UNPD46348);PubChem:(15172373 101618995);SuperNatural:(SN00366052 SN00389308 SN00356845)	3178514	615.2073029681648	270.888306	1659_cdhrc_dbgi_alc_pos_sirius_6730
24	1	1	3	0.8483185509844218	-4.252004448081238	N/A	63.3972275360963	C15H22N4O3	[M + H]+	UBMDAKWARMURDL	InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)	feruloylagmatine	COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O	0.971612275	46173375;46173376;54344714;91825723	HMDB:(37107);SuperNatural:(SN00351778);MeSH:(46173376);Plantcyc:(CPD-12236);PubMed;COCONUT:(CNP0306244);Natural Products:(UNPD63430);PubChem:(46173375 46173376 54344714 91825723);CHEBI:(86091 75544 86093);PubChem class - bio and metabolites;KEGG:(C18325);Training Set;Biocyc:(CPD-12236)	20105582	307.17665036211724	138.310092	5511_cdhrc_dbgi_alc_pos_sirius_471
25	4	1	1	0.8471499155098801	-414.5556126393351	N/A	5.315973268788142	C17H32N6O8	[M + K]+	NXABBVMFHXAINE	InChI=1S/C17H32N6O8/c24-10-1-13(27)18-4-6-21-16(30)23(9-8-20-15(29)3-12-26)17(31)22-7-5-19-14(28)2-11-25/h24-26H,1-12H2,(H,18,27)(H,19,28)(H,20,29)(H,21,30)(H,22,31)	null	C(CO)C(=O)NCCNC(=O)N(CCNC(=O)CCO)C(=O)NCCNC(=O)CCO	-4.0	89089038	PubChem:(89089038)	2	487.1928470937704	254.443908	5464_cdhrc_dbgi_alc_pos_sirius_2499
26	1	1	2	0.843207355166488	-51.78654942252323	N/A	38.91385585088457	C14H15NO5	[M + H]+	QXEBSJWHWIIVGU	InChI=1S/C14H15NO5/c16-11-5-3-9(8-12(11)17)4-6-13(18)15-7-1-2-10(15)14(19)20/h3-6,8,10,16-17H,1-2,7H2,(H,19,20)	null	C1CC(N(C1)C(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O	1.20000005	56668333	PubChem:(56668333);PubMed	66	278.10274953858897	178.36119	334_cdhrc_dbgi_alc_pos_sirius_5400
27	1	1	10	0.8367260284983649	-16.54496221755095	N/A	57.829275586341026	C22H18O11	[M + Na]+	SDUIRYIRCLFWGA	InChI=1S/C22H18O11/c23-14-6-1-12(2-7-14)4-9-17(26)32-19(21(28)29)20(22(30)31)33-18(27)10-5-13-3-8-15(24)16(25)11-13/h1-11,19-20,23-25H,(H,28,29)(H,30,31)	null	C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O	2.4000001	44179544;50915956	COCONUT:(CNP0056269 CNP0245744);Natural Products:(UNPD1903 UNPD139549 UNPD209597);PubChem:(44179544 50915956);SuperNatural:(SN00351100 SN00319901 SN00270444)	3178498	481.07428567616176	197.294664	6472_cdhrc_dbgi_alc_pos_sirius_6226
28	2	1	2	0.8359456216716379	-189.96650627200012	N/A	52.60804936931101	C6H9BN3O2	[M + Na]+	WYWPCZCQJWHIQC	InChI=1S/C6H9BN3O2/c1-7-3-5-6(10(11)12)8-4-9(5)2/h4H,3H2,1-2H3	null	[B](C)CC1=C(N=CN1C)[N+](=O)[O-]	0.0	89035613	PubChem:(89035613)	2	188.07121740668111	184.84812	978_cdhrc_dbgi_alc_pos_sirius_6916
29	1	1	2	0.8324447719875118	-7.725301797975853	N/A	36.44031699478082	C13H18N2O3	[M + H]+	KTZNZCYTXQYEHT	InChI=1S/C13H18N2O3/c14-7-1-2-8-15-13(18)6-4-10-3-5-11(16)12(17)9-10/h3-6,9,16-17H,1-2,7-8,14H2,(H,15,18)	N-Caffeoylputrescine	C1=CC(=C(C=C1C=CC(=O)NCCCCN)O)O	0.644495785	439877;5280559;25245966;131750921	HMDB:(29876 139529 139613);SuperNatural:(SN00373759 SN00256541);Plantcyc:(CPD-411);PubMed;COCONUT:(CNP0248840);KNApSAcK:(2719);Natural Products:(UNPD72967 UNPD143436 UNPD222007);PubChem:(439877 5280559 25245966 131750921);CHEBI:(17417 58138);PubChem class - bio and metabolites;KEGG:(C03002);Biocyc:(CPD-411)	20089210	251.1390203043367	107.04024	2885_cdhrc_dbgi_alc_pos_sirius_4396
30	10	1	11	0.8236544822945079	-135.69076002915332	N/A	41.590424291161206	C29H41NO4	[M + K]+	SHKKIDJLQGJDLG	InChI=1S/C29H41NO4/c1-2-3-4-5-6-7-8-9-10-11-12-13-22-34-26-18-16-25(17-19-26)30-29(33)21-15-24-14-20-27(31)28(32)23-24/h14-21,23,31-32H,2-13,22H2,1H3,(H,30,33)	(E)-3-(3,4-dihydroxyphenyl)-N-(4-tetradecoxyphenyl)prop-2-enamide	CCCCCCCCCCCCCCOC1=CC=C(C=C1)NC(=O)C=CC2=CC(=C(C=C2)O)O	8.37654209	20086105;54305826	PubChem:(20086105 54305826)	2	506.2671356201172	206.35017000000002	163_cdhrc_dbgi_alc_pos_sirius_5047
31	11	1	12	0.819476814130386	-139.20161027232967	N/A	14.153330174389106	C17H33N3O9	[M + K]+	WDCXWNGJIZOZFF	InChI=1S/C17H33N3O9/c1-2-3-8(22)16(27)20-7-4-6(18)15(14(26)11(7)23)29-17-10(19)13(25)12(24)9(5-21)28-17/h6-15,17,21-26H,2-5,18-19H2,1H3,(H,20,27)	null	CCCC(C(=O)NC1CC(C(C(C1O)O)OC2C(C(C(C(O2)CO)O)O)N)N)O	-4.19999981	57648898;71017290	PubChem:(57648898 71017290)	2	462.1826382747701	38.1378624	6522_cdhrc_dbgi_alc_pos_sirius_488
32	1	1	10	0.8140778639852656	-95.24356276396674	N/A	40.94623161138569	C19H26O12	[M + H]+	OQLJKOCUPPXSDK	InChI=1S/C19H26O12/c20-6-12(23)13(24)7-30-19-18(28)17(27)16(26)14(31-19)8-29-15(25)4-2-9-1-3-10(21)11(22)5-9/h1-5,12-14,16-24,26-28H,6-8H2	null	C1=CC(=C(C=C1C=CC(=O)OCC2C(C(C(C(O2)OCC(C(CO)O)O)O)O)O)O)O	-2.5999999	10343510	COCONUT:(CNP0249661);Natural Products:(UNPD156564 UNPD14905);PubChem:(10343510);SuperNatural:(SN00404676 SN00398105)	3178498	447.1494379776498	133.615818	727_cdhrc_dbgi_alc_pos_sirius_5520
33	1	1	1	0.8124298280688048	-2.7193690155353702	N/A	112.97590424881558	C9H17NO5	[M + H]+	GHOKWGTUZJEAQD	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	vitamin B5	CC(C)(CO)C(C(=O)NCCC(=O)O)O	-1.10000002	988;6613;167945;5748353;5191579;6997253;57074123;71310749;90479988;101257666;133686971	HMDB:(210);PubChem class - food;SuperNatural:(SN00159658 SN00024327 SN00251994);ZINC bio:(ZINC05356858 ZINC18279942 ZINC19203125);additional;HSDB:(79-83-4);MeSH:(6613);Plantcyc:(PANTOTHENATE);PubMed;NORMAN:(NS00013937);COCONUT:(CNP0086464 CNP0153142);KNApSAcK:(1550);Natural Products:(UNPD178642 UNPD29488 UNPD209188);PubChem:(988 6613 167945 5748353 5191579 6997253 57074123 71310749 90479988 101257666 133686971);CHEBI:(29032 46905 7916 16454);PubChem class - bio and metabolites;KEGG:(C00864);PubChem class - safety and toxic;YMDB:(203);Training Set;PubChem class - drug;Biocyc:(CPD3DJ-34313 PANTOTHENATE SMA-0000145)	255847294	220.11805362953018	104.076276	6351_cdhrc_dbgi_alc_pos_sirius_113
34	10	1	10	0.8073938375483377	-199.57108786001558	N/A	40.74644235226449	C21H36FNO14	[M + H]+	YWUXADJECGMFMP	InChI=1S/C21H36FNO14/c1-6-12(27)14(29)16(31)20(33-6)37-18-11(23-7(2)26)19(32-3)35-9(5-25)17(18)36-21-15(30)13(28)10(22)8(4-24)34-21/h6,8-21,24-25,27-31H,4-5H2,1-3H3,(H,23,26)	null	CC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)F)O)O)CO)OC)NC(=O)C)O)O)O	-4.80000019	86289159	PubChem:(86289159);CHEBI:(77196)	34	546.2187467501784	145.035378	3031_cdhrc_dbgi_alc_pos_sirius_162
