row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_BK00_neg.mzML Peak area,1685365277_ALC_dbgi_001185_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001152_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001162_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001161_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001175_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001153_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001182_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001146_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001142_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001144_01_01_neg.mzML Peak area,
27,361.11500154101765,1.9404511,,,,,,,,,,,0,0,0,0,0,0,0,16088.68,0,0,0,
28,375.0706225331229,1.9405818,,,,39,,,,,,,0,0,0,0,0,0,113586.875,0,225590.14,0,0,
29,301.05678335539125,1.9418387,,,,,,,,,,,0,0,0,0,0,8938.634,0,0,0,0,0,
30,348.99667659374177,1.943178,,,,,,,,,,,0,0,2393.3486,0,306204.34,0,0,132353.03,0,0,0,
31,341.1098511592146,1.9427853,,,,,,,,,,,0,174137.58,238740.62,0,0,151005.27,162645.39,12558.834,0,116494.09,163165.84,
32,337.4961250047064,1.9436003,,,,,,,,,,,0,0,0,0,127524.64,0,0,0,0,0,0,
33,379.0291198394912,1.9438028,,,,,,,,,,,0,0,4839.938,0,179300.92,0,0,0,0,0,0,
34,409.9567342349916,1.9436003,,,,,,,,,,,0,0,0,0,196486.16,0,0,0,0,0,0,
35,410.96559225206425,1.9432529,,,,,,,,,,,0,0,0,992.88965,270448.94,0,0,0,2625.5981,0,0,
36,485.05882311876377,1.9436003,,,,,,,,,,,0,0,0,0,221154.05,0,0,0,0,0,0,
37,354.091626598201,1.9446858,,,,,,,,,,,0,0,0,0,0,0,0,0,3004576.5,0,0,
38,487.1108083236643,1.9446858,,,,,,,,,,,0,0,0,0,0,0,0,0,309593.38,0,0,
39,705.1699724469393,1.9446858,,,,,,,,,,,0,0,0,0,0,0,0,0,244796.19,0,0,
40,706.1714437096812,1.9465891,,,,,,,,,,,0,0,0,0,0,0,1024.4734,0,84839.21,0,0,
41,198.00345089059752,1.9446454,,,,,,,,,,,0,0,0,0,0,0,11568.002,598.35803,0,0,1410500.6,
42,309.02660148801556,1.9480805,,,,,,,,,,,0,0,1326537.2,330648.5,0,0,0,0,0,0,0,
43,729.1884004025802,1.9491678,,,,,,,,,,,0,1693.0308,67965.305,0,0,111582.97,81635.77,107838.305,0,0,299.3026,
44,209.02949047017373,1.9526615,,,,,,,,,,,0,0,0,315766.88,0,549.8076,0,0,1090.3833,0,0,
45,741.1165148501857,1.9509495,,,,,,,,,,,0,0,0,172116.84,0,0,0,0,0,0,0,
46,470.98756872716075,1.9521595,,,,28,,,,,,,0,0,38029.555,134412.14,0,0,0,12342.095,0,0,0,
47,374.0738744371061,1.9521908,,,,,,,,,,,0,0,0,0,0,0,0,0,0,38499.72,83573.56,
48,395.00197894026877,1.9545337,,,,,,,,,,,0,0,0,0,174184.11,0,0,0,0,0,0,
49,310.02998963517274,1.9546884,,,,,,,,,,,0,0,132787.44,0,0,0,0,0,0,0,0,
50,375.0032193080989,1.9533969,,,,,,,,,,,0,0,122251.125,0,0,3421.044,0,0,0,0,0,
51,371.0633814077297,1.955389,,,,28,,,,,,,0,0,2566757.0,5945105.0,0,0,0,1483850.4,15831.902,0,0,
52,471.0768600390505,1.9560415,,,,,,,,,,,0,0,0,0,0,32741.797,0,0,0,40580.06,1973.7607,
53,405.04378041543765,1.9567566,,,,,,,,,,,0,40105.457,3390.4058,0,0,17351.232,0,0,0,0,0,
54,387.0599724356839,1.9569856,,,,28,,,,,,,0,0,64790.195,179200.4,0,0,0,0,1275.9272,0,0,
55,285.08315902267066,1.9595563,,,,,,,,,,,0,0,0,0,0,0,207.92232,0,0,8922.662,0,
56,372.0667359451534,1.9638592,,,,,,,,,,,0,0,140676.19,777361.3,0,0,0,0,2762.0674,0,0,
57,468.9718526953487,1.9630877,,,,,,,,,,,0,0,16400.432,105988.63,0,0,0,0,0,0,0,
58,369.0482238546479,1.9657192,,,,28,,,,,,,0,0,1402287.2,4106231.5,0,0,0,700761.25,0,0,0,
59,370.0512951528839,1.9648876,,,,28,,,,,,,0,0,172453.95,540627.2,0,395.35437,0,100221.6,0,0,0,
60,128.95777437128984,1.9673868,,,,,,,,,,,66.53436,4811.1533,0,0,0,26412.75,0,36200.25,3592.82,25944.129,1012.1953,
61,231.13428097220532,1.9709821,,,,,,,,,,,0,0,0,0,0,0,0,13642.564,0,0,0,
62,295.02302982899084,1.9709821,,,,,,,,,,,0,0,0,0,0,0,0,27293.932,0,0,0,
63,313.0926028026062,1.9731331,,,,,,,,,,,0,0,617.98535,0,0,0,0,11390.852,0,0,0,
64,315.1095108509108,1.9708773,,,,,,,,,,,0,0,0,1208.4607,0,0,607.19214,459348.94,0,0,0,
65,439.0850078335568,1.974009,,,,,,,,,,,0,0,0,0,0,35404.42,0,0,335.48584,0,0,
66,503.14202539748027,1.9742666,,,,,,,,,,,0,106792.89,250761.28,321485.2,0,398534.8,534676.3,328422.3,191837.45,86780.83,0,
67,787.1991961882163,1.9787171,,,,,,,,,,,0,0,37295.176,464985.3,0,0,0,0,307326.34,1364.007,0,
68,545.1150338674918,1.9856174,,,,,,,,,,,0,0,0,0,0,11583.893,87881.19,0,91659.664,23448.709,0,
69,191.94489225450968,1.9865278,,,,,,,,,,,0,215.30507,0,0,0,0,0,0,0,0,66452.4,
70,377.08741294853553,1.9889001,,,,,,,,,,,0,19008.875,0,0,0,60967.67,5245.0645,14163.648,0,53488.836,48625.35,
71,467.1422562675144,1.9906707,,,,54,,,,,,,0,85761.9,0,1250.4857,0,81476.6,1801.029,0,0,0,0,
72,455.1034575701053,1.9927087,,,,,,,,,,,0,0,5414.587,6583.966,0,0,30166.203,3414.411,0,0,0,
73,326.0735983241418,1.9910645,,,,,,,,,,,0,0,0,0,0,0,0,58304.965,0,43032.82,0,
74,351.0857899566908,1.9912903,,,,,,,,,,,0,0,0,0,0,0,0,23908.176,0,0,0,
75,833.2028677025131,1.9927024,,,,,,,,,,,0,0,254366.22,48899.97,0,0,0,103052.914,0,0,0,
76,347.08845063858524,1.995132,,,,,,,,,,,0,0,1294.4683,40207.055,0,0,0,0,6492.018,0,0,
77,191.05464325625195,1.9934692,,,,,,,,,,,0,0,0,7980.2173,9004.987,928909.9,23078.602,0,0,3777.6445,0,
78,215.0324462506392,1.9942937,,,,,,,,,,,0,8527.887,0,0,0,108292.74,2107.6592,0,10554.67,0,0,
79,371.12187530462995,1.9923549,,,,,,,,,,,0,0,0,0,0,21120.295,168.52661,0,0,0,0,
80,286.95035145597694,1.9962,,,,,,,,,,,0,0,0,0,16005.767,0,0,0,0,0,0,
81,619.0547637404565,1.9975748,,,,,,,,,,,0,181.65894,0,0,3855.8162,0,0,481.77246,0,0,0,
82,299.0776798384995,1.9952596,,,,,,,,,,,0,0,0,6780.92,5390.257,0,0,0,73926.14,0,0,
83,381.1047957824244,1.9971825,,,,54,,,,,,,0,54684.324,0,0,0,33721.062,17505.98,0,0,0,0,
84,259.0454425388086,2.0007694,,,,,,,,,,,0,0,0,0,0,0,0,24742.145,0,0,0,
85,447.11334402348314,2.0009499,,,,,,,,,,,0,0,0,0,61292.668,0,0,0,106675.27,0,0,
86,533.1518064101278,2.0020976,,,,,,,,,,,0,165746.89,101350.96,0,0,267509.22,157230.2,0,0,0,0,
87,242.05178798362405,2.0047345,,,,,,,,,,,0,0,0,0,0,433.38678,0,0,0,43857.5,0,
88,311.05500082634956,2.007354,,,,,,,,,,,0,0,0,0,0,0,0,0,1368334.9,0,0,
89,146.96497943822908,2.0103726,,,,,,,,,,,58.634277,0,0,0,0,0,0,0,0,0,32782.92,
90,175.96761015678794,2.0084214,,,,,,,,,,,0,137.01233,0,0,0,0,0,0,0,0,23656.281,
91,236.00430722932302,2.0117035,,,,,,,,,,,0,0,0,582.7667,0,0,0,450.56253,0,0,58224.758,
92,329.06651952934004,2.011038,,,,,,,,,,,0,0,0,0,0,0,0,62383.695,0,0,0,
93,226.9957753732806,2.012177,,,,,,,,,,,0,0,0,0,24384.963,108136.38,0,133899.27,0,0,58397.65,
94,254.01507560281016,2.0129445,,,,,,,,,,,0,0,0,0,0,0,0,1650.2266,0,59971.31,329883.0,
95,344.2078407734427,2.0173595,,,,,,,,,,,0,0,0,0,0,0,0,0,0,171158.78,0,
96,727.1950801237525,2.0180867,,,,,,,,,,,0,3302.483,263.04526,0,19204.232,51892.95,28616.076,38963.434,41735.18,0,0,
97,255.05372267840403,2.0168283,,,,,,,,,,,0,0,106500.766,3442.4724,0,0,0,0,750.10876,0,0,
98,551.1609287849466,2.0164254,,,,,,,,,,,0,0,18168.705,1971.8337,0,0,0,0,0,1040.635,0,
99,325.15131527009373,2.0206728,,,,,,,,,,,0,3672.8997,0,26073.648,0,0,0,12945.273,0,38534.36,0,
100,404.10645031067133,2.0221355,,,,,,,,,,,0,31007.355,0,0,0,0,0,0,0,171979.23,336885.47,
101,400.1241563344447,2.0263572,,,,,,,,,,,0,0,38381.324,6511.0107,0,0,0,0,0,0,0,
102,203.08159106280746,2.029216,,,,,,,,,,,0,82215.9,0,0,0,9931.594,0,47532.273,79628.5,103855.914,0,
103,310.09390241395573,2.0326674,,,,,,,,,,,0,15262.437,0,2452.3394,0,0,0,0,0,0,566686.25,
104,311.09554711314263,2.0326674,,,,,,,,,,,0,1776.0774,0,345.78732,0,0,0,0,0,0,78326.37,
105,965.2253725800421,2.038944,,,,,,,,,,,0,0,41385.332,0,0,0,0,0,0,0,0,
106,133.01252854344398,2.039652,,,,,,,,,,,0,37734.914,0,0,0,0,0,0,2595367.0,0,0,
107,475.1104707175171,2.0459504,,,,,,,,,,,0,208917.31,811085.75,1038728.0,101542.31,446228.25,3254783.8,421172.47,1639303.4,868164.06,58868.71,
108,681.1699814094219,2.0474687,,,,,,,,,,,0,22748.596,8729.782,223525.03,0,28248.96,0,0,0,0,0,
109,713.157151038626,2.0460596,,,,,,,,,,,0,0,0,174019.0,0,0,0,0,0,0,0,
110,343.0923841356056,2.0469582,,,,10,,,,,,,0,512520.84,936012.9,278841.0,0,0,1017902.6,0,0,0,0,
111,342.0913927739824,2.0476809,,,,,,,,,,,0,1508106.2,7121545.0,2032403.0,0,0,0,0,0,2600517.8,0,
112,341.08971970678505,2.0487072,,,,10,,,,,,,0,2.5156718E7,4.4203784E7,6.6556664E7,1.847147E7,2.7799484E7,5.666936E7,3.1947046E7,2.9806544E7,1.7089974E7,5019112.0,
113,695.1860898565367,2.0486767,,,,,,,,,,,0,0,0,0,0,0,0,0,245376.66,0,0,
114,459.02386184123446,2.0491345,,,,10,,,,,,,0,164114.11,324981.47,755224.4,49579.16,178535.78,359120.84,235525.77,211385.67,94547.266,0,
115,653.1367617592718,2.0490208,,,,,,,,,,,0,89096.28,6662.574,3028.739,448662.78,279225.53,374279.16,1881811.1,0,0,56848.3,
116,683.1902173601554,2.0496182,,,,10,,,,,,,0,2390268.5,8870250.0,1.8970848E7,673868.6,4003314.0,1.0322926E7,4356477.0,3547173.8,2034287.2,126398.664,
117,344.095196179725,2.0512738,,,,,,,,,,,0,22471.4,0,173438.58,0,0,106076.91,23712.328,0,0,8015.8887,
118,651.1206159438535,2.0516243,,,,,,,,,,,0,35776.457,3416.357,0,231863.38,237484.6,0,636587.0,12119.631,0,18262.014,
119,385.07817038675563,2.0535743,,,,,,,,,,,0,195214.16,258402.34,0,0,179169.34,338131.75,0,227167.56,116470.19,16195.789,
120,367.0319672269624,2.0548444,,,,,,,,,,,0,0,0,0,0,81306.51,0,0,0,0,0,
121,623.12946679051,2.0594127,,,,,,,,,,,0,0,0,0,2988148.0,0,0,0,0,1780596.8,0,
122,409.0748367546489,2.060923,,,,10,,,,,,,0,245711.84,287600.78,563456.8,70275.66,213769.48,472869.84,236264.66,269035.8,120409.34,39675.73,
123,515.104524014383,2.0616913,,,,,,,,,,,0,0,0,0,125756.766,0,0,0,0,0,0,
124,404.0835085612174,2.0640013,,,,,,,,,,,0,941041.0,349573.72,660971.75,272571.97,0,350891.03,312631.5,144516.17,2185391.2,1717986.2,
125,329.08741698983283,2.065277,,,,,,,,,,,0,0,0,0,0,0,133655.77,0,0,0,0,
126,161.0227096206166,2.0675042,,,,1,,,,,,,66.72645,0,387482.72,713617.25,1178815.6,853747.75,461673.78,240107.98,263307.28,1414354.4,1516813.2,
127,486.010618267427,2.0757113,,,,,,,,,,,0,127575.74,113437.75,171336.6,0,0,160321.02,24153.045,120416.86,0,0,
128,601.022733701249,2.0784833,,,,1,,,,,,,0,0,0,0,251825.5,6602.33,0,0,0,263922.22,42199.03,
129,340.07864090869845,2.0786812,,,,,,,,,,,0,9704.131,0,0,0,0,12662.668,0,80550.305,0,0,
130,615.9812908317015,2.080749,,,,1,,,,,,,0,0,0,0,303129.44,11929.281,0,0,0,258070.06,311557.7,
131,559.0391287704527,2.080749,,,,1,,,,,,,0,0,0,0,258161.47,307496.78,0,0,0,712226.5,577589.5,
132,561.0562290910132,2.080749,,,,1,,,,,,,0,0,0,0,3979591.2,1176715.0,0,0,0,5416395.5,6137477.0,
133,235.0243649996636,2.080904,,,,1,,,,,,,0,0,0,0,1147001.1,1003961.9,0,0,0,1503350.5,1555647.1,
134,555.1379837237013,2.08255,,,,,,,,,,,0,0,28411.275,0,0,781.8501,0,27329.422,0,0,0,
135,194.05244728613948,2.0831704,,,,1,,,,,,,0,0,0,0,385695.84,27086.262,0,0,0,318429.16,398744.97,
136,237.0400809206139,2.0830197,,,,1,,,,,,,0,0,0,0,5423260.0,1649570.1,0,0,0,4682334.5,5781465.0,
137,279.01525096938997,2.0830197,,,,1,,,,,,,0,0,0,0,3691492.2,3916914.5,0,0,0,5196190.5,5029284.0,
138,579.0642306673983,2.0835762,,,,,,,,,,,0,0,0,0,0,11595.782,0,0,0,0,181407.47,
139,280.0182212434111,2.0831704,,,,1,,,,,,,0,0,0,0,395174.03,362411.53,0,0,0,563117.3,510039.16,
140,697.1644546592988,2.083596,,,,,,,,,,,0,0,0,0,0,0,0,80088.35,0,0,0,
141,282.03330296442647,2.0835762,,,,,,,,,,,0,0,0,0,0,480967.88,0,0,0,0,499450.5,
142,557.1165316422879,2.0841317,,,,,,,,,,,0,0,0,0,0,124378.17,0,0,0,0,0,
143,574.0834581245427,2.0843256,,,,,,,,,,,0,0,0,0,0,0,0,0,0,87618.92,0,
144,339.07508500722224,2.0850372,,,,,,,,,,,0,178785.94,251892.86,169391.56,0,135942.42,218452.27,0,448323.3,0,0,
145,445.1359973722829,2.085196,,,,,,,,,,,0,0,193936.84,103182.53,0,0,61220.188,10285.388,113963.9,0,0,
146,585.0504523175731,2.0853302,,,,1,,,,,,,0,0,0,0,291415.56,20687.488,0,0,0,256206.28,321130.47,
147,562.0579113870673,2.085899,,,,1,,,,,,,0,0,0,0,875392.7,112170.09,0,0,0,0,1286381.2,
148,297.0254153509115,2.0877516,,,,1,,,,,,,0,0,0,0,291980.88,223739.22,0,0,0,356758.22,421197.53,
149,621.1130851289442,2.0892513,,,,,,,,,,,0,0,123604.15,0,1494387.8,2198052.8,0,0,0,1469353.0,355854.62,
150,380.95636364859706,2.0880928,,,,1,,,,,,,0,0,0,0,365702.66,32921.176,0,0,0,330326.03,394943.5,
151,441.01122543689235,2.0919414,,,,,,,,,,,0,157359.61,155878.92,251039.34,0,0,0,0,8441.424,0,0,
152,425.95212484820064,2.095691,,,,1,,,,,,,0,0,0,0,308182.97,0,0,0,0,223950.03,293602.12,
153,345.11889159748154,2.0987008,,,,,,,,,,,183.86801,85920.84,0,0,0,28798.021,37560.63,1889017.9,0,0,31032.781,
154,238.07127180824605,2.098446,,,,,,,,,,,0,0,23776.885,103038.445,0,0,0,742.3839,16749.328,0,0,
155,576.0988674862356,2.0972486,,,,38,,,,,,,0,0,0,0,106891.52,1988.2386,0,0,0,157288.19,126826.44,
156,192.0366100093487,2.100788,,,,,,,,,,,0,0,0,0,522475.6,0,0,0,0,0,114117.06,
157,299.1138743107025,2.102553,,,,,,,,,,,0,5199.091,0,0,0,0,0,175278.39,327.27554,0,3835.978,
158,645.1575414936847,2.104352,,,,,,,,,,,0,0,0,0,0,0,0,311265.47,0,0,0,
159,294.0618885288612,2.105014,,,,38,,,,,,,0,59132.883,0,4607.0386,179040.5,0,0,124948.9,0,451680.12,367664.16,
160,191.03391191427403,2.105021,,,,1,,,,,,,165.66501,2717.1428,355502.72,1747.8611,7350944.0,6506253.5,0,0,0,9396350.0,1.0398252E7,
161,147.04366593090054,2.1070244,,,,1,,,,,,,0,0,171757.02,0,3339346.0,3068416.2,0,0,0,4455233.5,4385467.5,
162,515.1413134580444,2.1115289,,,,,,,,,,,0,0,54543.33,88571.39,0,0,127784.63,0,49570.47,0,0,
163,281.03060954425797,2.114729,,,,1,,,,,,,0,0,222191.89,0,1.7547878E7,5466164.0,0,0,325139.7,1.4807411E7,1.934142E7,
164,371.0992445023443,2.1174407,,,,,,,,,,,0,0,0,0,0,798.5271,297773.34,0,0,0,0,
165,563.0710752663609,2.121288,,,,1,,,,,,,0,0,0,0,1.0822553E7,0,0,0,257809.94,6426521.0,9856933.0,
166,447.1880862056662,2.1246712,,,,,,,,,,,0,0,0,0,0,0,0,0,0,50147.152,0,
167,378.94025108969834,2.1276524,,,,,,,,,,,0,0,0,0,183681.17,188533.52,0,0,0,274377.88,246490.38,
168,193.0496698475289,2.1335146,,,,1,,,,,,,137.31308,695.5155,0,0,4944060.0,0,0,732.12134,2062801.6,4198516.0,0,
169,622.1152488053701,2.1416783,,,,,,,,,,,0,0,0,0,410935.3,0,0,0,0,0,5917.199,
170,445.0995059119309,2.1444242,,,,,,,,,,,0,0,0,0,0,0,0,0,103239.66,0,0,
171,300.10932176690307,2.1450968,,,,,,,,,,,0,27592.9,39531.816,0,0,0,49747.848,11751.639,75255.21,0,4787.839,
172,377.06536775519515,2.1491823,,,,,,,,,,,0,403756.16,355699.28,445718.44,118005.86,225369.0,286311.3,524724.0,580277.06,0,0,
173,133.02776568426322,2.1509132,,,,,,,,,,,0,0,0,270587.97,0,0,0,0,3729648.5,0,0,
174,355.0679637266413,2.1704743,,,,,,,,,,,33.464333,0,124524.32,44640.39,0,0,0,1193364.5,1634.3682,0,0,
175,367.12587615479157,2.169028,,,,,,,,,,,0,0,0,84135.55,0,0,0,7214.48,0,0,0,
176,137.0229054321606,2.1706843,,,,,,,,,,,0,1464047.9,193020.33,241108.33,318497.4,141944.16,601668.1,514548.66,364066.44,366534.75,383893.0,
177,757.1930790327599,2.1829855,,,,,,,,,,,0,0,0,933615.44,0,0,0,0,0,0,0,
178,440.0042397465266,2.185461,,,,,,,,,,,0,195520.02,102335.46,142288.2,0,0,189240.31,0,0,0,0,
179,359.05511018722376,2.1871529,,,,,,,,,,,0,0,0,0,0,0,0,0,35501.85,0,0,
180,369.08421605410444,2.1852236,,,,,,,,,,,0,0,407.66623,0,0,0,525.1114,0,304372.03,0,279.20697,
181,593.0803125593927,2.192731,,,,,,,,,,,0,136.53008,0,0,1235789.0,0,0,0,680913.56,647317.56,1060995.0,
182,669.1663825089272,2.195697,,,,,,,,,,,0,0,0,0,0,0,52193.105,0,0,0,0,
183,681.1701631343196,2.1984434,,,,,,,,,,,0,0,322348.7,0,0,234.10043,270924.62,380.71466,98769.52,0,0,
184,327.1092980481032,2.201722,,,,,,,,,,,0,86504.43,0,145337.38,0,49225.168,0,58454.766,0,173073.67,52987.414,
185,475.1471845837403,2.203592,,,,,,,,,,,0,71120.266,0,0,1926.9513,0,0,0,0,0,105739.28,
186,679.1924580500106,2.2049174,,,,,,,,,,,0,0,0,3160.8022,0,0,98771.805,0,0,0,0,
187,358.22381486734236,2.2082374,,,,,,,,,,,0,0,0,0,0,0,0,0,0,130937.85,0,
188,395.0019450082352,2.2082374,,,,,,,,,,,0,0,0,0,0,0,0,0,0,86036.625,0,
189,313.0569745980266,2.2093143,,,,,,,,,,,0,0,1684651.5,1036717.8,0,0,0,0,0,0,0,
190,967.2421339499086,2.2109985,,,,,,,,,,,0,0,0,70169.34,0,0,0,6241.544,37015.31,0,0,
191,229.10751576422385,2.2143137,,,,,,,,,,,0,76999.42,0,0,0,15157.47,0,0,22007.4,0,19655.523,
192,233.06608055373584,2.2154865,,,,,,,,,,,0,0,132612.88,0,0,0,0,0,0,0,1059.3206,
193,595.0946753505696,2.2181435,,,,,,,,,,,0,0,0,0,0,0,0,0,0,123438.28,0,
194,379.0294752644943,2.2223384,,,,6,,,,,,,0,1047.2649,0,0,0,201447.28,0,0,0,160695.1,145951.28,
195,241.10753234949365,2.2247896,,,,,,,,,,,0,51183.883,0,0,0,965.7755,0,0,355.18256,0,43735.04,
196,312.04423209261034,2.2260902,,,,6,,,,,,,0,0,0,0,0,1419256.2,5952.59,0,441857.7,1402779.8,0,
197,591.0648936190987,2.2274048,,,,6,,,,,,,0,0,0,0,645066.5,522736.1,0,0,0,771796.06,718832.06,
198,337.09355454528,2.227795,,,,,,,,,,,144.2474,0,0,0,0,0,0,0,396934.72,716.79565,0,
199,685.1281833604353,2.227958,,,,,,,,,,,0,0,0,0,0,0,0,0,0,78095.9,0,
200,409.0173452067541,2.228845,,,,,,,,,,,0,0,0,0,0,167860.31,0,0,392.9524,3938.763,0,
201,623.0938136791756,2.233417,,,,,,,,,,,0,0,0,0,0,1545929.4,0,0,0,0,369290.88,
202,311.04171499646964,2.2336779,,,,6,,,,,,,0,0,922733.6,0,0,1.1987846E7,0,0,4176547.5,1.1852588E7,2695444.5,
203,671.146425696392,2.2349133,,,,15,,,,,,,0,0,203.36877,53221.77,0,0,0,83906.36,139134.72,0,0,
204,327.0729740897387,2.2351587,,,,,,,,,,,0,0,542021.75,0,383.1626,0,349244.88,0,0,0,0,
205,465.10568585645274,2.2355328,,,,,,,,,,,0,0,112294.05,8230.074,0,0,0,0,0,0,0,
206,625.145171680487,2.237036,,,,15,,,,,,,0,0,0,584965.56,2049.8726,0,984.49084,773424.4,1839634.1,102417.96,0,
207,295.0465063873987,2.2377336,,,,,,,,,,,0,0,0,0,0,0,6351999.0,0,0,228312.4,0,
208,621.0768522596038,2.2386453,,,,,,,,,,,0,0,0,0,0,0,0,1366694.2,157813.22,0,113406.81,
209,619.0609826194486,2.240206,,,,,,,,,,,0,0,0,0,0,25781.838,0,86154.98,8161.7188,0,0,
210,622.080085286443,2.2421057,,,,,,,,,,,0,0,0,0,0,0,0,333928.2,33567.734,10738.005,0,
211,299.07774012526465,2.2439647,,,,,,,,,,,168.47821,169512.72,204356.95,130774.09,0,14879.055,116369.78,2661.2874,3498.438,0,179913.62,
212,135.04336660154044,2.2449365,,,,,,,,,,,0,19389.033,0,0,0,0,0,65774.08,4181046.0,0,29118.129,
213,177.01794011685834,2.2449365,,,,,,,,,,,0,14496.453,0,0,0,0,0,392763.7,3903924.5,0,90695.32,
214,179.03372409909437,2.2446384,,,,,,,,,,,0,7417.59,0,0,132866.4,0,0,482364.2,3111543.2,0,0,
215,197.0441257397198,2.2460682,,,,,,,,,,,0,0,0,0,0,0,0,0,424264.25,1588.2925,450.27832,
216,221.04462121243023,2.2489216,,,,,,,,,,,0,0,0,0,0,0,0,2280.9392,1136034.2,0,0,
217,283.04607565853615,2.247849,,,,,,,,,,,0,440.21185,0,0,0,1505.5448,0,0,637114.9,0,0,
218,382.9725434762272,2.245976,,,,,,,,,,,0,163.05086,0,0,0,0,0,0,378966.88,0,0,
219,565.0884968959477,2.246288,,,,,,,,,,,0,0,0,0,0,0,0,0,2324861.5,0,0,
220,567.1030281935837,2.246288,,,,,,,,,,,0,0,0,0,0,0,0,0,4208127.5,0,0,
