row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001145_01_01.mzML Peak area,1685365277_ALC_dbgi_001141_01_01.mzML Peak area,1685365277_ALC_dbgi_001139_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001143_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001149_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001151_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001148_01_02.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001147_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001159_01_01.mzML Peak area,1685365277_ALC_dbgi_001163_01_01.mzML Peak area,1685365277_ALC_dbgi_001166_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001158_01_01.mzML Peak area,1685365277_ALC_dbgi_001157_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001178_01_01.mzML Peak area,1685365277_ALC_dbgi_001174_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001176_01_01.mzML Peak area,1685365277_ALC_dbgi_001177_01_02.mzML Peak area,1685365277_ALC_dbgi_001169_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,1685365277_ALC_dbgi_001184_01_01.mzML Peak area,1685365277_ALC_dbgi_001187_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001183_01_01.mzML Peak area,Unnamed: 52
16,286.95885111107214,0.51116735,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14021.983999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,458.85583108099996,0.5118581,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17640.84,25863.522999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18531.484,0.0,0.0,0.0,23916.652000000002,0.0,0.0,0.0,11702.673,0.0,0.0,
18,232.92819415656697,0.5119385000000001,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16684.805,0.0,0.0,16621.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20434.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,385.9019257735893,0.5126466,,,,,,,,,,,9567.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8582.2295,0.0,0.0,0.0,10211.1875,0.0,0.0,0.0,0.0,0.0,0.0,
20,442.87838250581206,0.51280797,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7652.7925,17609.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20369.426,0.0,0.0,0.0,0.0,0.0,0.0,11251.261999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16389.734,0.0,0.0,
21,255.94383605120163,0.5128439,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18938.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27097.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,312.92007165659567,0.51287335,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9104.107,0.0,0.0,0.0,0.0,0.0,0.0,
23,219.98449260738727,0.512888,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18266.164,0.0,0.0,
24,243.00050305402317,0.5129914000000001,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14734.173999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32148.025,0.0,0.0,0.0,0.0,13775.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,369.92451251330186,0.5130799,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14450.991000000002,0.0,0.0,0.0,17999.701,0.0,0.0,0.0,0.0,0.0,0.0,
26,362.8857122390737,0.5132865,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6975.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,182.96273479214474,0.51499474,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12928.868999999999,0.0,0.0,0.0,9546.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,268.94835376316706,0.51499474,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13510.198,0.0,0.0,0.0,16398.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,474.833144264728,0.5153404,,,,,,,,,,,9363.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8188.911,0.0,0.0,0.0,10474.326,0.0,0.0,0.0,0.0,0.0,0.0,
30,156.01376817789557,0.5177027,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9884.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,240.96727528351158,0.5177027,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20156.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,346.9088166432658,0.5198612,,,,,,,,,,,15006.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,214.91750771767158,0.5204246,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42298.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57599.265999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,350.8846664867749,0.52794,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14925.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,298.87917131772264,0.53075904,,,,,,,,,,,17439.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,131.54242471473444,0.54468364,,,,,,,,,,,0.0,0.0,130576.0,75146.49,0.0,0.0,76035.35,0.0,0.0,94892.15,0.0,0.0,0.0,0.0,0.0,133689.12,0.0,0.0,91607.586,0.0,0.0,63818.707,0.0,0.0,0.0,0.0,0.0,80037.61,0.0,55024.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72963.08,
37,265.02206190159336,0.5450142,,,,38.0,,,,,,,309577.97,164577.38,413562.78,0.0,0.0,0.0,204409.39,376659.12,0.0,0.0,0.0,0.0,208381.33,78325.93,180583.72,323180.34,0.0,197771.45,0.0,0.0,471931.4,178365.36,0.0,0.0,0.0,44187.89,0.0,0.0,285608.7,0.0,64798.36,0.0,169976.3,0.0,110568.1,0.0,0.0,0.0,78343.94,
38,335.01364446389323,0.5464726,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27861.477000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36402.895,0.0,0.0,0.0,38200.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,267.0385497807217,0.5501056,,,,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244735.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143703.81,0.0,0.0,348952.03,0.0,0.0,0.0,222854.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,193.06277122826455,0.5502461999999999,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139951.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,139.53110972183038,0.55067736,,,,38.0,,,,,,,133779.11,0.0,168808.39,0.0,69561.96,0.0,82154.4,167165.95,65323.965,114295.4,0.0,0.0,94941.83,0.0,0.0,157958.11,0.0,0.0,0.0,0.0,221265.02,75272.65,0.0,0.0,0.0,0.0,0.0,90039.86,131428.12,0.0,0.0,0.0,0.0,0.0,0.0,79881.375,72033.03,0.0,83582.164,
42,319.0360295332484,0.5516964,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49347.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,251.06130357768842,0.55724126,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138309.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143966.73,0.0,0.0,0.0,268267.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,236.0798036497823,0.55743575,,,,,,,,,,,127264.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720752.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197128.2,0.0,372672.4,0.0,0.0,0.0,0.0,
45,249.04632234861958,0.5576324,,,,,,,,,,,141478.83,70235.98,538043.1,0.0,0.0,0.0,258782.81,0.0,0.0,0.0,0.0,0.0,176760.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519585.3,257655.6,0.0,0.0,0.0,196378.31,0.0,0.0,0.0,0.0,0.0,0.0,73975.31,0.0,161452.22,0.0,0.0,0.0,0.0,
46,206.88582316360882,0.5584876999999999,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32222.076,0.0,0.0,
47,192.0553893416941,0.5599053,,,,141.0,,,,,,,115589.15,0.0,360038.9,0.0,0.0,0.0,0.0,0.0,101276.88,0.0,83784.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335186.38,185967.86,0.0,0.0,0.0,137573.2,0.0,227012.31,106638.23,0.0,0.0,0.0,0.0,0.0,111544.9,0.0,0.0,66511.02,0.0,
48,542.7311619025066,0.5602126000000001,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,39515.094,0.0,0.0,0.0,0.0,40475.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,504.7675251536173,0.5609304,,,,,,,,,,,0.0,0.0,0.0,0.0,35386.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,290.8473880086469,0.5613592,,,,,,,,,,,62170.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72073.19,0.0,0.0,123259.836,0.0,0.0,134263.42,0.0,0.0,0.0,0.0,0.0,0.0,26129.332000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56396.133,0.0,31144.879,
51,123.54500167785471,0.5624859,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114991.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,449.11755825374286,0.5638294,,,,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176205.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143002.47,0.0,0.0,247119.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,445.0866689491961,0.563988,,,,141.0,,,,,,,161483.64,0.0,238712.72,80754.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106360.516,0.0,0.0,0.0,0.0,336328.97,0.0,0.0,0.0,0.0,0.0,0.0,123575.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,131.53374112929615,0.56525433,,,,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78058.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101737.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,130.52582476405277,0.56744254,,,,38.0,,,,,,,0.0,0.0,119483.15,0.0,0.0,0.0,0.0,91257.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100202.93,0.0,0.0,0.0,0.0,171401.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,336.8435872627828,0.56880724,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45013.953,
57,202.05970713644402,0.57157475,,,,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325254.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301328.97,0.0,0.0,411107.22,0.0,0.0,0.0,277964.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,458.77052249847367,0.57189286,,,,,,,,,,,0.0,0.0,0.0,0.0,29164.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,200.0442640067812,0.5727017,,,,,,,,,,,335081.38,0.0,387812.7,0.0,0.0,0.0,0.0,363494.4,141051.58,240083.33,0.0,0.0,207986.86,0.0,170743.27,0.0,0.0,0.0,0.0,0.0,486040.75,164206.56,0.0,0.0,0.0,0.0,0.0,0.0,283328.53,0.0,0.0,0.0,163201.05,0.0,100920.18,0.0,0.0,0.0,0.0,
60,122.5372895176936,0.57271206,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93287.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,314.8494163237076,0.5729873999999999,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68144.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
