row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,
59,139.914675870554,0.59721637,,,,,,,,,,,0,123548.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,176.01096414559748,0.59873027,,,,,,,,,,,1272826.5,0,143971.02,485176.4,770645.7,650801.06,548804.4,0,339719.28,0,260161.84,0,0,0,568079.06,0,599427.44,0,
61,517.0122241753465,0.5989584,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,200190.94,0,0,0,0,0,
62,184.03716720864378,0.59969795,,,,,,,,,,,0,0,1150746.5,0,0,0,0,0,0,3703172.8,0,0,790290.6,0,205118.67,3058210.2,0,0,
63,353.0844275223725,0.60009,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,154489.36,0,0,0,0,0,0,
64,279.04712758454247,0.60018724,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,189056.9,0,0,0,0,
65,185.03242591715116,0.60080504,,,,,,,,,,,0,0,0,0,0,0,0,0,0,161377.97,0,0,0,130926.586,0,0,107314.05,0,
66,444.0662760477709,0.6012981,,,,,,,,,,,0,0,288772.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,281.0706601407937,0.6024958,,,,163,,,,,,,424106.6,225190.42,0,545216.1,314709.22,145116.67,255267.94,0,0,0,225568.06,320222.44,0,0,213853.62,309742.47,0,0,
68,201.01583492389875,0.6033383,,,,,,,,,,,0,137322.42,0,0,0,0,0,163240.2,0,0,0,0,0,0,0,0,0,0,
69,455.01191137248566,0.60646844,,,,,,,,,,,0,129100.33,0,0,0,0,0,0,0,0,0,0,0,0,0,123850.09,0,0,
70,146.0935232649319,0.60967916,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,24681.654,0,0,0,0,0,
71,293.0632677825009,0.6103571,,,,169,,,,,,,522154.38,189838.53,0,191370.98,324347.8,223477.81,407400.0,743621.25,435940.8,275620.28,337493.0,0,168439.1,847596.25,193944.05,0,236242.1,0,
72,381.07939225096305,0.6113441,,,,,,,,,,,1.780366E7,1.6349285E7,7002523.0,1.6393924E7,2.0724724E7,1.5863736E7,1.961961E7,1.3383516E7,1.1157771E7,1.673803E7,1.3148213E7,1.6204123E7,1.2733042E7,1.0590095E7,1.4792359E7,1.458474E7,1.3431629E7,0,
73,156.0767700581862,0.612131,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179392.88,0,0,0,
74,543.1327602339863,0.612131,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174342.84,0,0,0,
75,354.10824432548833,0.6132403,,,,,,,,,,,0,0,327571.9,0,375279.44,202840.31,0,0,217105.16,0,533847.5,0,0,0,0,173969.5,260645.77,0,
76,384.08154360964477,0.6139464,,,,181,,,,,,,0,0,0,175988.5,0,0,0,0,0,184505.0,0,0,0,0,0,167356.3,0,0,
77,168.0421222356392,0.61453843,,,,181,,,,,,,0,0,0,0,0,0,0,0,0,316929.3,0,0,0,0,0,211317.25,0,0,
78,249.03635506918096,0.6146553,,,,,,,,,,,0,232100.45,0,0,0,168058.55,0,142508.25,0,0,0,170136.31,0,189287.78,0,0,0,0,
79,482.03092296630655,0.61517483,,,,,,,,,,,0,446381.75,146381.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,696.2242464560187,0.61527234,,,,,,,,,,,221867.69,0,0,0,0,0,0,0,244198.06,0,306076.06,175493.98,0,0,0,0,0,0,
81,525.1664160492851,0.6169469,,,,,,,,,,,0,0,0,0,300191.72,0,0,0,310106.34,0,461985.84,237203.25,0,0,0,0,221976.98,0,
82,704.2131941219938,0.6187527,,,,68,,,,,,,573666.75,0,0,603893.06,348158.56,296166.03,356349.78,0,290529.94,0,334061.94,520939.25,0,0,156077.56,0,0,0,
83,231.0268365463857,0.61994576,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,208591.72,0,0,0,0,0,
84,432.1721438957633,0.6214624,,,,,,,,,,,0,0,0,0,0,0,37652.105,0,0,0,227936.83,0,0,0,0,0,0,0,
85,175.11893081413126,0.62159157,,,,,,,,,,,423733.2,0,6666875.5,0,0,0,0,388248.97,0,2629751.5,0,0,0,543477.4,975521.8,5908733.5,0,0,
86,244.09239758331873,0.62171,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,395971.34,0,0,0,0,
87,533.1551373757387,0.6221456,,,,68,,,,,,,734357.56,0,212874.14,950506.9,509217.7,329617.28,494811.0,0,409632.88,0,467113.97,643844.8,0,0,315810.22,251224.27,232842.73,0,
88,875.2708759811846,0.6223469,,,,,,,,,,,0,0,0,200537.61,0,0,0,0,0,0,0,186246.2,0,0,0,0,0,0,
89,213.06368565809282,0.62487376,,,,,,,,,,,0,0,0,0,0,0,0,0,0,208196.88,0,0,0,0,0,134977.48,0,0,
90,362.09706087503866,0.62654436,,,,68,,,,,,,669906.6,242111.9,629876.2,1161679.6,542999.3,245733.55,542661.5,0,247254.61,216752.34,479356.8,568738.0,0,0,480442.28,437004.2,253728.69,0,
91,133.06087356751365,0.6282718,,,,,,,,,,,0,413422.22,0,293815.3,0,0,0,0,0,0,0,0,0,0,493650.7,0,0,0,
92,146.08131463323897,0.6290465,,,,,,,,,,,0,637940.1,7.035478E7,1049058.1,1485962.5,1853124.9,602053.94,0,0,3.861276E7,308571.28,0,1.6068365E7,0,2697693.0,3.3704444E7,299102.75,0,
93,455.11797688563666,0.6291451,,,,169,,,,,,,0,0,0,0,0,0,0,345150.06,394772.16,0,0,0,0,725478.2,0,0,0,0,
94,134.08137136691545,0.6300066,,,,,,,,,,,497922.75,0,0,0,0,395747.8,251517.66,0,0,0,0,262122.22,0,0,0,0,409748.1,0,
95,448.1662113564694,0.63072956,,,,,,,,,,,330834.1,0,0,0,0,0,0,0,0,185639.3,273666.03,0,0,238634.5,162968.81,0,0,0,
96,130.0500597143567,0.6315283,,,,68,0,[M+H]+,,2,96;97,129.04274,1437943.2,921071.3,1112449.0,1339062.4,1859379.1,839869.25,1778460.8,684908.1,1198902.0,1239474.1,2388932.2,783867.06,507504.9,1430114.0,1872937.5,797609.9,1664137.9,0,
97,147.0765098221985,0.6315339,,,,68,0,[M+NH4]+,,2,96;97,129.04274,1140737.8,722599.5,1120036.5,1026130.7,1589806.2,462018.78,1529292.8,543082.6,838479.4,980514.75,2244716.5,0,297948.1,1429477.2,1878930.4,606492.5,1336362.9,0,
98,263.0164078663984,0.6320605,,,,,,,,,,,358091.06,832759.06,0,0,666244.2,0,582942.94,0,0,1798443.9,0,0,434383.8,0,0,1076837.4,0,0,
99,786.1817417165196,0.6322958,,,,,,,,,,,0,0,203071.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,476.16063018117376,0.6324438,,,,,,,,,,,0,0,0,0,323087.03,187230.25,0,0,145218.22,156540.33,193258.06,0,0,0,0,0,374465.8,0,
101,475.17709307410706,0.6326387,,,,,,,,,,,0,229999.84,0,269338.84,0,0,0,0,0,442821.88,0,0,0,0,411907.84,0,0,0,
102,263.05276497460693,0.6329341,,,,,,,,,,,399240.5,638129.8,0,371526.53,282982.78,142458.3,328579.8,0,0,0,0,406120.06,430192.06,208067.95,0,0,0,0,
103,490.1766531808954,0.6333731,,,,68,,,,,,,1333288.9,315122.7,182530.48,843743.56,1272602.2,843397.44,1332498.1,171744.47,473824.44,593994.25,1107950.0,1054116.6,349625.56,199224.86,592524.3,338875.72,984753.8,0,
104,458.18659921994515,0.63339543,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225023.56,0,0,0,
105,162.11258545904587,0.63396716,,,,,,,,,,,0,0,0,0,0,0,698736.4,0,0,0,0,0,799181.6,0,0,0,0,0,
106,147.1125451408701,0.63617456,,,,,,,,,,,0,0,0,0,0,0,0,173476.88,0,0,0,0,0,256437.52,0,0,0,0,
107,148.06043541804695,0.63643456,,,,68,,,,,,,2502177.0,1336591.2,0,2000845.1,2688603.0,2153328.2,2541329.8,1182241.8,2458286.2,0,2384172.5,2191668.5,0,1337251.4,1553311.1,0,2196511.0,0,
108,258.11004396644836,0.63725954,,,,,,,,,,,0,0,0,0,0,0,233387.81,0,0,0,0,0,0,0,0,0,0,0,
109,130.086387166284,0.63834304,,,,112,,,,,,,0,2938546.0,1.0332789E7,306681.44,409260.16,0,0,262671.56,0,6114315.0,0,0,0,270548.12,2717160.0,4169674.0,0,0,
110,160.0967936500677,0.63911426,,,,,,,,,,,0,0,201120.53,0,0,0,0,0,0,0,0,0,0,0,0,222821.55,0,0,
111,337.089462743807,0.63935775,,,,,,,,,,,0,264488.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,321.0574165323707,0.64085054,,,,84,,,,,,,0,0,0,0,0,0,0,585938.5,0,0,0,0,0,440142.75,0,0,0,0,
113,146.09209211870936,0.64101225,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,262965.0,0,0,0,0,0,
114,204.08633994721956,0.6412828,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,670356.0,0,0,0,0,
115,217.11838403766242,0.6421624,,,,,,,,,,,0,0,99840.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,447.13414388906097,0.64788586,,,,,,,,,,,0,0,0,0,0,0,0,0,511571.3,0,0,0,0,0,0,0,0,0,
117,529.1758227678027,0.64788586,,,,,,,,,,,0,0,0,0,0,0,0,0,565843.5,0,0,0,0,0,0,0,0,0,
118,567.13172373986,0.64788586,,,,,,,,,,,0,0,0,0,0,0,0,0,398902.7,0,0,0,0,0,0,0,0,0,
119,412.14446077240825,0.6481373,,,,,,,,,,,0,0,0,0,0,363132.28,0,341952.78,849952.44,0,0,0,0,276488.56,0,0,0,0,
120,307.0794472270451,0.64966184,,,,,,,,,,,0,167333.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,304.0504282351471,0.6499766,,,,,,,,,,,0,0,0,0,0,0,0,3221754.5,0,0,0,0,0,0,0,0,0,0,
122,305.04470563526945,0.6501193,,,,52,,,,,,,0,0,0,0,0,0,0,2003876.6,0,0,0,0,0,980113.94,0,0,0,0,
123,303.04763471452327,0.6516439,,,,52,,,,,,,0,2379287.2,0,0,0,5254696.0,0,2.8957726E7,2.0534286E7,0,322872.1,1593000.8,0,1.4312688E7,0,0,342876.7,0,
124,175.1079092742378,0.65181774,,,,112,,,,,,,0,0,702279.0,0,0,0,0,0,0,698504.7,0,0,0,0,0,491311.53,0,0,
125,127.0392537638869,0.65289575,,,,,,,,,,,0,0,236000.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,354.13886705537595,0.65521085,,,,52,,,,,,,0,0,0,0,0,0,0,463665.1,0,0,0,0,0,368918.2,0,0,0,0,
127,370.13366181854894,0.65521085,,,,52,,,,,,,0,0,0,0,0,0,0,333358.28,0,0,0,0,0,371714.1,0,0,0,0,
128,128.07085431406483,0.655404,,,,,,,,,,,0,0,0,0,0,0,0,0,0,177520.75,0,0,0,0,0,0,0,0,
129,191.1139893049592,0.655404,,,,,,,,,,,0,0,0,0,0,0,0,0,0,167462.77,0,0,0,0,0,0,0,0,
130,290.91209551640696,0.65620357,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19746.357,
131,442.1556433664027,0.65665525,,,,,,,,,,,244422.52,0,0,0,128201.5,0,0,0,0,0,0,0,0,0,0,0,133558.84,0,
132,398.1283370219896,0.6569567,,,,,,,,,,,0,0,0,0,0,0,0,0,276026.25,0,0,0,0,0,0,0,0,0,
133,365.10545365179314,0.6603836,,,,39,2,[M+Na]+,,4,147;141;133;146,342.11618,1196571.4,0,0,788531.06,936836.25,1486169.1,978853.2,878730.6,982272.0,0,945437.3,1404998.9,579297.25,599076.5,687985.9,0,800489.8,0,
134,193.07084523632633,0.6612726,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,239042.28,0,0,0,0,0,
135,460.2025535532177,0.66282016,,,,,,,,,,,203141.2,179081.88,0,0,184211.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,382.1699219124727,0.66543025,,,,,,,,,,,0,0,0,0,0,0,0,544975.2,718850.25,0,0,0,0,565311.5,0,0,0,0,
137,247.16657041612478,0.6663472,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34297.91,
138,198.1237739974327,0.6710524,,,,,,,,,,,264658.22,0,0,0,0,0,1727214.1,0,0,0,0,0,437545.94,0,387562.25,0,951276.0,0,
139,246.06107606463922,0.6719058,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,230506.4,0,0,0,0,0,
140,261.0370852488424,0.6719058,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,321686.9,0,0,0,0,0,
141,325.1127939473311,0.67363524,,,,39,2,[M-H2O+H]+,,3,147;141;133,342.11618,1354417.2,479796.06,402304.0,983524.1,1112382.1,1365516.0,1163276.1,791635.7,888639.3,0,995655.2,1435401.1,743166.0,679709.75,605434.4,0,796133.44,0,
142,146.11766331956585,0.6776343,,,,,,,,,,,0,0,0,0,0,0,341361.56,0,0,0,0,0,0,0,0,0,0,0,
143,189.1597611413878,0.6804515,,,,,,,,,,,0,0,303245.3,0,0,0,0,0,0,0,0,0,0,0,408607.34,0,0,0,
144,138.05503757131217,0.6812542,,,,,,,,,,,6570901.0,1.3222235E7,0,5460291.5,5941068.5,4277677.5,4585860.5,5017674.0,1568636.9,0,4024063.0,439941.22,1.7280918E7,3198180.0,2893522.5,0,4614442.5,0,
145,333.05814974344923,0.6844701,,,,84,,,,,,,2228090.2,0,0,613414.4,1774700.8,1558612.1,1228933.2,2796076.2,965224.9,0,1335082.4,2762851.2,2402270.8,4934196.0,596598.94,0,1447046.5,0,
146,343.12346245597547,0.68798107,,,,39,2,[M+H]+,,2,147;133,342.11618,900868.75,333727.1,260187.27,683400.44,729424.6,941866.44,770033.3,464776.25,603118.94,0,684495.0,1003552.8,460912.9,381494.78,429391.25,328850.06,547878.25,0,
147,360.15003287021506,0.6881463,,,,39,2,[M+NH4]+,,4,141;147;133;146,342.11618,7812431.5,0,2376604.8,5766845.5,6368563.5,7843189.5,6748629.0,4294934.5,5078318.0,0,5736988.0,8388208.5,3948986.5,3289868.2,3688203.8,0,4647919.0,0,
148,163.05986303038637,0.69261616,,,,,,,,,,,0,342955.56,0,0,0,0,0,1280411.0,1829687.1,0,0,0,0,0,0,0,0,0,
149,289.09180968709194,0.6944482,,,,39,,,,,,,331543.75,0,0,246531.58,277353.3,0,290131.62,0,0,0,252731.45,343446.94,0,0,0,0,199025.22,0,
150,388.1808749980436,0.6946516,,,,,,,,,,,0,0,0,203889.02,0,0,0,0,0,0,0,277155.53,0,0,0,0,0,0,
151,499.11422971599313,0.71385753,,,,,,,,,,,0,145389.81,155674.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,258.049814918028,0.7145599,,,,,,,,,,,0,0,160416.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,515.0920513729486,0.7318502,,,,,,,,,,,0,0,221541.1,180590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154,496.2027164138113,0.7346493,,,,,,,,,,,0,0,2421938.8,0,0,0,0,0,0,0,0,0,1279415.2,0,0,0,0,0,
155,242.087137882582,0.74811584,,,,,,,,,,,0,0,0,0,0,0,0,0,0,248164.98,0,0,0,0,0,0,0,0,
156,162.07611313047457,0.75481987,,,,,,,,,,,0,0,829727.5,0,0,0,0,0,0,436843.25,0,0,0,0,0,455444.6,0,0,
157,168.01355082528931,0.7571758,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49387.188,
158,200.03204024689757,0.7594677,,,,,,,,,,,0,0,0,0,0,0,0,0,0,153268.7,0,0,0,0,0,165667.33,0,0,
159,282.0857686279858,0.76936215,,,,,,,,,,,0,0,0,0,0,0,0,0,415360.16,0,0,0,0,0,0,0,0,0,
160,133.0496681159318,0.7694632,,,,84,,,,,,,528168.2,0,0,0,269925.97,495596.25,218254.27,642105.94,444859.53,0,430622.06,623542.2,490428.7,1071465.2,0,0,291215.62,0,
161,551.1575441063806,0.77016276,,,,116,4,[2M+Na]+,,4,170;171;161;166,264.08433,0,0,0,0,0,0,0,215464.97,513568.03,0,0,0,0,0,0,0,0,0,
162,310.14976647876676,0.77096254,,,,,,,,,,,0,0,0,0,0,765067.94,0,0,0,0,73173.92,423705.66,0,0,0,0,0,0,
163,295.10247108108126,0.7714467,,,,84,3,[M+H]+,,2,169;163,294.09495,842382.5,0,0,143332.02,386508.16,719478.75,285856.97,860536.25,645354.06,0,552221.25,1019467.6,676468.0,1458523.4,0,0,421721.44,0,
164,287.07348603101246,0.7729171,,,,116,4,[M+Na]+,,3,170;171;164,264.08433,0,0,0,0,0,438360.2,0,0,1630795.1,0,0,0,0,857678.4,0,0,0,0,
165,230.99023940081514,0.77386767,,,,,,,,,,,0,608994.6,0,0,319626.4,0,382862.62,0,0,299617.56,0,0,0,0,0,288922.03,0,0,
