confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
11	1	1	1	2	0.8880066913412886	-201.75408794745962	0.5246231155778894	22.215979318300093	C12H21BF2O5	[M + H]+	IDWBUWZLOWIIFY	InChI=1S/C12H21BF2O5/c1-11(2)12(3,4)20-13(19-11)9(10(14)15)18-8-17-7-6-16-5/h6-8H2,1-5H3	2-[2,2-Difluoro-1-(MEM)ethenyl]boronic acid pinacol ester	B1(OC(C(O1)(C)C)(C)C)C(=C(F)F)OCOCCOC	1.9842397	66521744	PubChem:(66521744)	2	294.15528	177.88	601_clematis_10_species_crop2-10min_231127_orbi_siri_604	604
12	1	1	1	1	0.8809448338718193	-28.22776493312998	0.9914572864321608	35.100046710336166	C18H24O12	[M + Na]+	WCVUIHQUPRXYKT	InChI=1S/C18H24O12/c1-8-16(9(19)3-4-27-8)30-17-15(25)14(24)13(23)10(29-17)7-28-12(22)6-18(2,26)5-11(20)21/h3-4,10,13-15,17,23-26H,5-7H2,1-2H3,(H,20,21)	Licoagroside B	CC1=C(C(=O)C=CO1)OC2C(C(C(C(O2)COC(=O)CC(C)(CC(=O)O)O)O)O)O	-2.4000001	637142;22297602;38356993;73880679	COCONUT:(CNP0025412 CNP0232682);HMDB:(36523);KNApSAcK:(19031);Natural Products:(UNPD178989);PubChem:(637142 22297602 38356993 73880679);SuperNatural:(SN00029471 SN00029470 SN00265222);CHEBI:(142266);ZINC bio:(ZINC31163718 ZINC31163722);additional;PubChem class - bio and metabolites;Training Set	20504634	455.11605	147.81	258_clematis_10_species_crop2-10min_231127_orbi_siri_261	261
13	1	1	1	1	0.8618526180580981	-52.71631741038984	0.9999999999999999	51.113904558350484	C15H26N2O6S	[M + H]+	HJWXIDMMFKEULE	InChI=1S/C15H26N2O6S/c1-10(19)8-12(21)24-7-6-16-11(20)4-5-17-14(23)13(22)15(2,3)9-18/h13,18,22H,4-9H2,1-3H3,(H,16,20)(H,17,23)	null	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)CO)O	-1.0	129670794	EcoCyc Mine;PubChem:(129670794);YMDB Mine;KEGG Mine	60129542146	363.1586	152.63	303_clematis_10_species_crop2-10min_231127_orbi_siri_306	306
14	1	2	1	2	0.8558130690621849	-77.34081809848455	0.235678391959799	18.559681647084233	C35H68NO9P	[M + Na]+	XGMFTQCLURFMAJ	InChI=1S/C35H68NO9P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-20-23-26-34(38)42-31-33(32-44-46(40,41)43-30-28-36(2,3)4)45-35(39)27-24-21-18-19-22-25-29-37/h29,33H,5-28,30-32H2,1-4H3/p+1	null	CCCCCCCCCCCCCCCCCC(=O)OCC(CO[P+](O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=O	9.0	101209647	PubChem:(101209647);YMDB Mine	34359738370	700.45457	520.48	1662_clematis_10_species_crop2-10min_231127_orbi_siri_1673	1673
15	1	1	1	2	0.8500946688583455	-51.70242775998614	0.9668341708542714	36.95949892560585	C14H15NO5	[M + H]+	QXEBSJWHWIIVGU	InChI=1S/C14H15NO5/c16-11-5-3-9(8-12(11)17)4-6-13(18)15-7-1-2-10(15)14(19)20/h3-6,8,10,16-17H,1-2,7H2,(H,19,20)	null	C1CC(N(C1)C(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O	1.20000005	56668333	PubChem:(56668333);PubMed	66	278.10278	178.36	608_clematis_10_species_crop2-10min_231127_orbi_siri_611	611
16	1	1	1	2	0.848768604996156	-280.30759120424347	0.9251256281407035	46.691130247912305	C26H37NO11	[M + H]+	KLRYMMLCMADUMI	InChI=1S/C26H37NO11/c1-12(8-26(2,3)11-27)13-4-6-14(7-5-13)23-34-10-16-22(37-23)19(31)21(33)25(36-16)38-24-20(32)18(30)17(29)15(9-28)35-24/h4-7,12,15-25,28-33H,8-10H2,1-3H3	null	CC(CC(C)(C)C#N)C1=CC=C(C=C1)C2OCC3C(O2)C(C(C(O3)OC4C(C(C(C(O4)CO)O)O)O)O)O	-0.699999988	117783846	PubChem:(117783846)	2	540.24413	180.47	715_clematis_10_species_crop2-10min_231127_orbi_siri_718	718
17	1	1	1	2	0.8459153915774934	-329.66245858134454	0.036683417085427134	93.5168082743472	C19H39NO10	[M + H]+	YLKOHZCQTVYVDB	InChI=1S/C19H39NO10/c20-2-4-24-6-8-26-10-12-28-14-16-30-18-17-29-15-13-27-11-9-25-7-5-23-3-1-19(21)22/h1-18,20H2,(H,21,22)	AmbotzPEG1380	C(COCCOCCOCCOCCOCCOCCOCCOCCN)C(=O)O	-4.69999981	51340929	PubChem:(51340929);PubChem class - safety and toxic	67108866	442.26491	262.74	1326_clematis_10_species_crop2-10min_231127_orbi_siri_1333	1333
18	1	7	1	6	0.8404556980137976	-269.21156584052153	0.019597989949748745	1.2207264732184169	C22H27N8O11P	[M + Na]+	DCMXNEFRKLLVIE	InChI=1S/C22H27N8O11P/c23-16-8-1-3-29(17(8)26-7-25-16)20-14(34)12(32)11(40-20)6-38-42(36,37)41-15-13(33)10(5-31)39-21(15)30-4-2-9-18(30)27-22(24)28-19(9)35/h1-4,7,10-15,20-21,31-34H,5-6H2,(H,36,37)(H2,23,25,26)(H3,24,27,28,35)	null	C1=CN(C2=C1C(=O)NC(=N2)N)C3C(C(C(O3)CO)O)OP(=O)(O)OCC4C(C(C(O4)N5C=CC6=C(N=CN=C65)N)O)O	-4.4000001	137132601	PubChem:(137132601)	2	633.14448	180.35	631_clematis_10_species_crop2-10min_231127_orbi_siri_634	634
19	1	1	1	1	0.8332014501665417	-3.9974642933955997	0.9974874371859296	125.1682526995508	C27H46O9	[M + H3N + H]+	HUSISCNTLUEZCN	InChI=1S/C27H46O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h3-4,6-7,9-10,21-22,24-29,31-33H,2,5,8,11-20H2,1H3	[2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropyl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COC1C(C(C(C(O1)CO)O)O)O)O	3.29999995	11497202;44715454;51692835;51692836;51692837;51692838;67458951;90805430;91203997;101518159;101562099;102302645;124899775;124899776;124899777;124899778;139291884	COCONUT:(CNP0176099);Natural Products:(UNPD123361 UNPD137650);PubChem:(11497202 44715454 51692835 51692836 51692837 51692838 67458951 90805430 91203997 101518159 101562099 102302645 124899775 124899776 124899777 124899778 139291884);SuperNatural:(SN00037435 SN00032617 SN00037432 SN00037433 SN00032616 SN00037434 SN00032615 SN00277675 SN00032614 SN00262736);CHEBI:(139416);ZINC bio:(ZINC31155081 ZINC31155085 ZINC31155090 ZINC31155095 ZINC35454647 ZINC35454651 ZINC35454655 ZINC35454658);additional;Training Set;PubMed;KEGG Mine	8593662050	532.3479	451.48	1575_clematis_10_species_crop2-10min_231127_orbi_siri_1586	1586
20	1	1	1	8	0.8219608069668586	-2.8332401492999866	0.7527638190954773	49.860603650003405	C30H26O13	[M + H]+	DVGGLGXQSFURLP	InChI=1S/C30H26O13/c31-16-6-1-14(2-7-16)3-10-22(35)40-13-21-24(36)26(38)27(39)30(42-21)43-29-25(37)23-19(34)11-18(33)12-20(23)41-28(29)15-4-8-17(32)9-5-15/h1-12,21,24,26-27,30-34,36,38-39H,13H2	Tiliroside	C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O	2.5	5320686;5464380;6479298;12775850;12775852;10175330;44258763;44258863;57264712;57369598;60076006;68318326;71775455;89210958;91219690;101429550;117617508;123505559;124524993;123863752;134728142;139033619	HMDB:(40689);SuperNatural:(SN00039516 SN00168952 SN00283602 SN00037361 SN00376026);ZINC bio:(ZINC17654711 ZINC49888963);additional;MeSH:(5320686);Plantcyc:(CPD-14976);PubMed;COCONUT:(CNP0167834 CNP0311004);KNApSAcK:(5842);Natural Products:(UNPD174846 UNPD185886 UNPD131167 UNPD179169 UNPD209896 UNPD211240);PubChem:(5320686 5464380 6479298 12775850 12775852 10175330 44258763 44258863 57264712 57369598 60076006 68318326 71775455 89210958 91219690 101429550 117617508 123505559 124524993 123863752 134728142 139033619);CHEBI:(80944);PubChem class - bio and metabolites;KEGG:(C17140);Training Set;Biocyc:(CPD-14976)	20638078	595.14427	244.33	1207_clematis_10_species_crop2-10min_231127_orbi_siri_1211	1211
21	1	3	1	1	0.8047264975412464	-415.16499597661243	0.07336683417085428	7.096410578783583	C17H32N6O8	[M + K]+	NXABBVMFHXAINE	InChI=1S/C17H32N6O8/c24-10-1-13(27)18-4-6-21-16(30)23(9-8-20-15(29)3-12-26)17(31)22-7-5-19-14(28)2-11-25/h24-26H,1-12H2,(H,18,27)(H,19,28)(H,20,29)(H,21,30)(H,22,31)	null	C(CO)C(=O)NCCNC(=O)N(CCNC(=O)CCO)C(=O)NCCNC(=O)CCO	-4.0	89089038	PubChem:(89089038)	2	487.1928	254.44	1269_clematis_10_species_crop2-10min_231127_orbi_siri_1275	1275
22	1	1	1	1	0.7982971400900605	-5.561185414570831	0.9954773869346734	110.53713006080771	C27H46O9	[M + H]+	HUSISCNTLUEZCN	InChI=1S/C27H46O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h3-4,6-7,9-10,21-22,24-29,31-33H,2,5,8,11-20H2,1H3	[2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropyl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COC1C(C(C(C(O1)CO)O)O)O)O	3.29999995	11497202;44715454;51692835;51692836;51692837;51692838;67458951;90805430;91203997;101518159;101562099;102302645;124899775;124899776;124899777;124899778;139291884	COCONUT:(CNP0176099);Natural Products:(UNPD123361 UNPD137650);PubChem:(11497202 44715454 51692835 51692836 51692837 51692838 67458951 90805430 91203997 101518159 101562099 102302645 124899775 124899776 124899777 124899778 139291884);SuperNatural:(SN00037435 SN00032617 SN00037432 SN00037433 SN00032616 SN00037434 SN00032615 SN00277675 SN00032614 SN00262736);CHEBI:(139416);ZINC bio:(ZINC31155081 ZINC31155085 ZINC31155090 ZINC31155095 ZINC35454647 ZINC35454651 ZINC35454655 ZINC35454658);additional;Training Set;PubMed;KEGG Mine	8593662050	515.32154	451.48	1582_clematis_10_species_crop2-10min_231127_orbi_siri_1593	1593
23	1	1	1	1	0.7944293973972949	-94.58034473132157	0.9999999999999999	85.31628215249012	C15H23NO8	[M + H]+	UWQOAZSOTYRGKC	InChI=1S/C15H23NO8/c16-9(14(21)22)5-7-1-3-8(4-2-7)23-15-13(20)12(19)11(18)10(6-17)24-15/h1-4,9-15,17-22H,5-6,16H2	null	C1=CC(=CC=C1CC(C(O)O)N)OC2C(C(C(C(O2)CO)O)O)O	-1.78863966	67241333;90768488;91093036	PubChem:(67241333 90768488 91093036);PubMed	66	346.14934	132.65	113_clematis_10_species_crop2-10min_231127_orbi_siri_115	115
24	1	1	1	3	0.7849665261575307	-332.21306476828966	0.8201005025125628	103.33000611083554	C24H37BN2O3	[M + Na]+	ZRHMLNIEQFRCLQ	InChI=1S/C24H37BN2O3/c1-29-12-4-6-18-14-19(8-5-13-30-2)23(25)21(15-18)17-27(22-9-10-22)24(28)20-7-3-11-26-16-20/h14-15,20,22,26H,3-13,16-17H2,1-2H3	null	[B]C1=C(C=C(C=C1CN(C2CC2)C(=O)C3CCCNC3)CCCOC)CCCOC	0.0	89131593	PubChem:(89131593)	2	434.28166	532.3	1677_clematis_10_species_crop2-10min_231127_orbi_siri_1688	1688
25	1	2	1	5	0.7828747990146987	-143.8683186106093	0.46030150753768845	100.32632120313215	C19H35N3O9	[M + K]+	JKYHDPMMERQRID	InChI=1S/C19H35N3O9/c1-12(25)22-16-18(29)17(28)13(11-24)31-19(16)30-10-3-2-5-14(26)20-7-4-8-21-15(27)6-9-23/h13,16-19,23-24,28-29H,2-11H2,1H3,(H,20,26)(H,21,27)(H,22,25)	null	CC(=O)NC1C(C(C(OC1OCCCCC(=O)NCCCNC(=O)CCO)CO)O)O	-3.20000005	70819555	PubChem:(70819555)	2	488.19842	266.4	1333_clematis_10_species_crop2-10min_231127_orbi_siri_1340	1340
26	1	1	1	1	0.7768935181190004	-355.3912869448751	0.9989949748743717	79.86590011167355	C21H33N5O6	[M + H]+	HFCVEERZBULTMS	InChI=1S/C21H33N5O6/c1-2-3-4-5-6-7-8-9-10-22-21-24-18(30)14-15(19(31)25-21)26(12-23-14)20-17(29)16(28)13(11-27)32-20/h12-13,16-17,20,27-29H,2-11H2,1H3,(H2,22,24,25,30,31)	6-(decylamino)-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-7H-imidazo[4,5-e][1,3]diazepine-4,8-dione	CCCCCCCCCCNC1=NC(=O)C2=C(C(=O)N1)N(C=N2)C3C(C(C(O3)CO)O)O	1.46151233	511023;22211155	PubChem:(511023 22211155);PubMed	66	452.24915	243.33	1194_clematis_10_species_crop2-10min_231127_orbi_siri_1198	1198
27	1	1	1	1	0.7767741704522959	-0.5897571771277321	0.9999999999999999	5038.543665024652	C24H50NO7P	[M + H]+	ASWBNKHCZGQVJV	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/p+1	1-16:0-lysoPC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.5999999	86554;86555;460602;460603;5313979;10097314;71751445;71751446;124202819;124202820;136212657;136212658	HMDB:(10382 62541);SuperNatural:(SN00036442 SN00036458);ZINC bio:(ZINC08214423 ZINC08219063);additional;MeSH:(86554 460602);Plantcyc:(CPD-8343);PubMed;Lipid:(LPC(16:0));COCONUT:(CNP0123091 CNP0346626);Natural Products:(UNPD14479 UNPD24099);PubChem:(86554 86555 460602 460603 5313979 10097314 71751445 71751446 124202819 124202820 136212657 136212658);CHEBI:(72998 28468);PubChem class - bio and metabolites;KEGG:(C04102);PubChem class - safety and toxic;YMDB:(1179);Training Set;Biocyc:(CPD-8343)	4382779758	496.33958	472.08	1601_clematis_10_species_crop2-10min_231127_orbi_siri_1612	1612
28	1	1	1	2	0.7735780801804224	-47.90454825085	0.9427135678391959	63.693826075871094	C13H24N2O5S	[M + H]+	WWROXTIUCJPVJU	InChI=1S/C13H24N2O5S/c1-9(17)21-7-6-14-10(18)4-5-15-12(20)11(19)13(2,3)8-16/h11,16,19H,4-8H2,1-3H3,(H,14,18)(H,15,20)	null	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)CO)O	-0.899999976	45254005;75102768;101639605	EcoCyc Mine;PubChem:(45254005 75102768 101639605);YMDB Mine;KEGG Mine;PubChem class - bio and metabolites	60146319362	321.1482	165.55	448_clematis_10_species_crop2-10min_231127_orbi_siri_451	451
29	1	3	1	1	0.7693902996567884	-1.3119244419476181	0.9999999999999999	83.141583741717	C9H8O4	[M + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	181.05034	121.71	50_clematis_10_species_crop2-10min_231127_orbi_siri_51	51
30	1	1	1	2	0.7640121320617282	-63.8648236015946	0.977386934673367	40.77903659801031	C13H13NO7	[M + H]+	YNHFZQQNJPOYRC	InChI=1S/C13H13NO7/c15-9-3-1-7(5-10(9)16)2-4-11(17)14-8(13(20)21)6-12(18)19/h1-5,8,15-16H,6H2,(H,14,17)(H,18,19)(H,20,21)	null	C1=CC(=C(C=C1C=CC(=O)NC(CC(=O)O)C(=O)O)O)O	0.0	23658567;24891368;68534277;68538816;68790109;90693470	COCONUT:(CNP0257654);Natural Products:(UNPD166607);PubChem:(23658567 24891368 68534277 68538816 68790109 90693470);SuperNatural:(SN00304370);additional;PubChem class - bio and metabolites;PubMed	20480066	296.07721	126.7	80_clematis_10_species_crop2-10min_231127_orbi_siri_82	82
31	1	1	1	1	0.7597445670226922	-0.534669562936575	0.9999999999999999	3010.4663272865023	C24H50NO7P	[M + Na]+	ASWBNKHCZGQVJV	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/p+1	1-16:0-lysoPC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.5999999	86554;86555;460602;460603;5313979;10097314;71751445;71751446;124202819;124202820;136212657;136212658	HMDB:(10382 62541);SuperNatural:(SN00036442 SN00036458);ZINC bio:(ZINC08214423 ZINC08219063);additional;MeSH:(86554 460602);Plantcyc:(CPD-8343);PubMed;COCONUT:(CNP0123091 CNP0346626);Natural Products:(UNPD14479 UNPD24099);PubChem:(86554 86555 460602 460603 5313979 10097314 71751445 71751446 124202819 124202820 136212657 136212658);CHEBI:(72998 28468);PubChem class - bio and metabolites;KEGG:(C04102);PubChem class - safety and toxic;YMDB:(1179);Training Set;Biocyc:(CPD-8343)	87812462	518.32171	472.57	1602_clematis_10_species_crop2-10min_231127_orbi_siri_1613	1613
