ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:Euonymus	GNPSGROUP:Euonymus alatus	GNPSGROUP:Euonymus europaeus	GNPSGROUP:Euonymus fortunei	GNPSGROUP:Lonicera	GNPSGROUP:Lonicera alpigena	GNPSGROUP:Lonicera caerulea	GNPSGROUP:Lonicera caprifolium	GNPSGROUP:Lonicera caucasica	GNPSGROUP:Lonicera etrusca	GNPSGROUP:Lonicera implexa	GNPSGROUP:Lonicera japonica	GNPSGROUP:Lonicera kamtschatica	GNPSGROUP:Lonicera nigra	GNPSGROUP:Lonicera periclymenum	GNPSGROUP:Lonicera tatarica	GNPSGROUP:Lonicera xylosteum	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf,jbn	Clematis alpina,Clematis chinensis,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3106.860117647059	3161.132	12889.244	0.0	0.0	0.0	5851.579333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1432.1382222222223	1423.0596842105265	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11","main.cluster index_upperinput":"11"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5080	0.5080	0	N/A	N/A	52816.622	3	11	186	 	3	265.0155	1	265.0155	52816.622
Clematis	jbuf,jbn	Clematis chinensis,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1656.4681176470588	0.0	5287.6565	0.0	0.0	0.0	5861.548333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	587.517388888889	925.5076315789474	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12","main.cluster index_upperinput":"12"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5095	0.5095	0	N/A	N/A	28159.958	2	12	-1	 	2	398.9062	1	398.9062	28159.958
Euonymus,Clematis	jbuf,jbn	Euonymus fortunei,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2797.212647058823	0.0	0.0	0.0	0.0	0.0	15850.871666666666	0.0	0.0	0.0	0.0	4210.649	0.0	0.0	16842.596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1315.310111111111	2143.1383684210527	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13","main.cluster index_upperinput":"13"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5097	0.5097	0	N/A	N/A	75354.72	4	13	238	 	4	328.8977	1	328.8977	75354.72
Euonymus,Clematis	jbuf,jbn	Clematis flammula,Euonymus fortunei	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	659.6373529411765	0.0	0.0	11213.835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4750.82375	0.0	0.0	19003.295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622.9908333333333	1000.1734210526315	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14","main.cluster index_upperinput":"14"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5099	0.5099	0	N/A	N/A	40394.369999999995	3	14	238	 	3	234.9612	1	234.9612	40394.369999999995
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	471.7830588235294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8020.312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	422.1216842105263	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15","main.cluster index_upperinput":"15"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	8020.312	1	15	-1	 	1	244.9987	1	244.9987	8020.312
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	824.8225882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14021.984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	737.9991578947369	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16","main.cluster index_upperinput":"16"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=750&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	14021.984	1	16	750	 	1	286.9589	1	286.9589	14021.984
Lonicera,Euonymus,Clematis	jbuf,jbn	Clematis heracleifolia,Clematis chinensis,Lonicera xylosteum,Euonymus alatus,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3534.6456470588237	0.0	8820.42	0.0	23916.652	0.0	6177.1613333333335	0.0	0.0	0.0	0.0	6465.88075	12931.7615	0.0	0.0	731.4170625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3900.891	3446.4359444444444	1874.7013157894737	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17","main.cluster index_upperinput":"17"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5119	0.5119	0	N/A	N/A	97655.17199999999	5	17	238	 	5	458.8558	1	458.8558	97655.17199999999
Euonymus,Clematis	jbuf,jbn	Clematis flammula,Euonymus fortunei	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	981.4591176470589	0.0	0.0	16684.805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5108.6685	0.0	0.0	20434.674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	926.9336111111111	1075.5091578947367	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18","main.cluster index_upperinput":"18"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5119	0.5119	0	N/A	N/A	53740.657	3	18	238	 	3	232.9282	1	232.9282	53740.657
Clematis	jbuf,jbn	Clematis heracleifolia,Clematis recta,Clematis terniflora	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1668.2998823529413	0.0	0.0	0.0	10211.1875	0.0	2860.7431666666666	0.0	4783.8405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1008.3283611111111	537.4309210526316	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"19","main.cluster index_upperinput":"19"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5126	0.5126	0	N/A	N/A	28361.098	3	19	238	 	3	385.9019	1	385.9019	28361.098
Lonicera,Clematis	jbuf,jbn	Clematis chinensis,Lonicera xylosteum,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2895.895470588235	0.0	8804.7675	0.0	0.0	0.0	10540.229333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1024.358375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5463.2446666666665	1603.377611111111	1934.6926315789474	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"20","main.cluster index_upperinput":"20"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5128	0.5128	0	N/A	N/A	73272.74949999999	5	20	238	 	5	442.8784	1	442.8784	73272.74949999999
Euonymus	jbuf	Euonymus fortunei	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6774.3115	0.0	0.0	27097.246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1426.170842105263	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21","main.cluster index_upperinput":"21"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5128	0.5128	0	N/A	N/A	46035.428	2	21	238	 	2	255.9438	1	255.9438	46035.428
Clematis	jbuf	Clematis heracleifolia	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	535.5357058823529	0.0	0.0	0.0	9104.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	479.16352631578945	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22","main.cluster index_upperinput":"22"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5129	0.5129	0	N/A	N/A	9104.107	1	22	238	 	1	312.9201	1	312.9201	9104.107
Lonicera	jbuf	Lonicera xylosteum	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1141.63525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6088.721333333334	0.0	961.377052631579	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23","main.cluster index_upperinput":"23"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5129	0.5129	0	N/A	N/A	18266.164	1	23	186	 	1	219.9845	1	219.9845	18266.164
Euonymus,Clematis	jbuf,jbn	Euonymus fortunei,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	810.3016470588236	0.0	0.0	0.0	0.0	0.0	4591.709333333333	0.0	0.0	0.0	0.0	8037.00625	0.0	0.0	32148.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	765.2848888888889	1692.0013157894737	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24","main.cluster index_upperinput":"24"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5130	0.5130	0	N/A	N/A	60657.327000000005	3	24	186	 	3	243.0005	1	243.0005	60657.327000000005
Clematis	jbuf,jbn	Clematis heracleifolia,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1908.8642352941179	0.0	0.0	0.0	17999.701	0.0	4816.997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	802.8328333333334	947.3526842105264	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25","main.cluster index_upperinput":"25"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5131	0.5131	0	N/A	N/A	32450.692000000003	2	25	238	 	2	369.9245	1	369.9245	32450.692000000003
Clematis	jbn	Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	410.3078235294118	0.0	0.0	0.0	0.0	0.0	2325.0776666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	387.51294444444443	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"26","main.cluster index_upperinput":"26"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5133	0.5133	0	N/A	N/A	6975.233	1	26	238	 	1	362.8857	1	362.8857	6975.233
Clematis	jbuf	Clematis viticella,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1322.0562352941176	0.0	0.0	0.0	0.0	0.0	4309.6230000000005	0.0	0.0	0.0	9546.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1182.8924210526316	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"27","main.cluster index_upperinput":"27"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5150	0.5150	0	N/A	N/A	22474.956	2	27	-1	 	2	182.9627	1	182.9627	22474.956
Clematis	jbuf	Clematis viticella,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1759.3222352941175	0.0	0.0	0.0	0.0	0.0	4503.399333333334	0.0	0.0	0.0	16398.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1574.1304210526316	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"28","main.cluster index_upperinput":"28"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=750&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5150	0.5150	0	N/A	N/A	29908.478	2	28	750	 	2	268.9484	1	268.9484	29908.478
