molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus	ConfidenceScore_sirius	CSI:FingerIDScore_sirius	ZodiacScore_sirius	SiriusScore_sirius	molecularFormula_sirius	adduct_sirius	InChIkey2D_sirius	InChI_sirius	name_sirius	smiles_sirius	xlogp_sirius	ionMass_sirius	Unnamed: 0_metAnnot	rank_spec_metAnnot	msms_score_metAnnot	libname_metAnnot	structure_wikidata_metAnnot	structure_inchikey_metAnnot	structure_inchi_metAnnot	structure_smiles_metAnnot	structure_molecular_formula_metAnnot	adduct_metAnnot	structure_exact_mass_metAnnot	structure_nameTraditional_metAnnot	short_inchikey_metAnnot	structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_metAnnot	organism_wikidata_metAnnot	organism_name_metAnnot	organism_taxonomy_ottid_metAnnot	organism_taxonomy_01domain_metAnnot	organism_taxonomy_02kingdom_metAnnot	organism_taxonomy_03phylum_metAnnot	organism_taxonomy_04class_metAnnot	organism_taxonomy_05order_metAnnot	organism_taxonomy_06family_metAnnot	organism_taxonomy_07tribe_metAnnot	organism_taxonomy_08genus_metAnnot	organism_taxonomy_09species_metAnnot	organism_taxonomy_10varietas_metAnnot	matched_domain_metAnnot	matched_kingdom_metAnnot	matched_phylum_metAnnot	matched_class_metAnnot	matched_order_metAnnot	matched_family_metAnnot	matched_tribe_metAnnot	matched_genus_metAnnot	matched_species_metAnnot	score_taxo_metAnnot	score_max_consistency_metAnnot	final_score_metAnnot	rank_final_metAnnot	component_id_metAnnot	structure_taxonomy_npclassifier_01pathway_consensus_metAnnot	freq_structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_consensus_metAnnot	freq_structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_consensus_metAnnot	freq_structure_taxonomy_npclassifier_03class_metAnnot	shared_id
C11H18N2O4	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides	0.459427648786141	-23.93081273685087		64.0577073251086	C11H18N2O4	[M + H]+	CSRXCVLPMJBQIM	InChI=1S/C11H18N2O4/c1-6(2)5-8-11(17)12-7(10(16)13-8)3-4-9(14)15/h6-8H,3-5H2,1-2H3,(H,12,17)(H,13,16)(H,14,15)		CC(C)CC1C(=O)NC(C(=O)N1)CCC(=O)O	0.300000012	243.1340328832547																																																		4701
C29H50O15	[M + Na]+	Terpenoids	Linear polyketides	Polyesters	0.172553283126776	-257.1850398974911		34.53209512848309	C29H50O15	[M + Na]+	YJYVFEPABSIYIG	InChI=1S/C29H50O15/c1-2-6-43-29(28(33)27(26-32)3-4-30)44-25-24-42-23-22-41-21-20-40-19-18-39-17-16-38-15-14-37-13-12-36-11-10-35-9-8-34-7-5-31/h2-4,26,31,33H,1,5-25H2		C=CCOC(=C(C(=CC=O)C=O)O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO	-1.39999998	661.3031220142952																																																		3598
C42H80NO8P	[M + Na]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.1831910688155905	-7.64749568341943		17.432372088354096	C42H80NO8P	[M + Na]+	XJHXMEGXCYRRPW	InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-17-18-19-20-21-22-23-24-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-15-13-11-9-7-2/h14,16,18-19,40H,6-13,15,17,20-39H2,1-5H3/p+1	1-dodecanoyl-2-(13Z,16Z-docosadienoyl)-glycero-3-phosphocholine	CCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCC=CCC=CCCCCC	13.0	780.5515124262356																																																		7271
C22H38FNO3	[M + H]+	Terpenoids	Fatty amides	Phenylalanine-derived alkaloids	0.1074569172106313	-182.95315521876825		28.636768870724342	C20H40FNO3	[M + Na]+	FCYYZQOKYJQQKE	InChI=1S/C20H40FNO3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)20(25)19(16-23)22-17(2)24/h18-20,23,25H,3-16H2,1-2H3,(H,22,24)		CCCCCCCCCCCCCCC(C(C(CO)NC(=O)C)O)F	5.9000001	384.29024711904935																																																		2844
C26H44N3O9P	[M + Na]+	Alkaloids	Ornithine alkaloids	Polyamines	0.0510909181925735	-244.77979023216685		37.6070116176043	C33H39N3O6	[M + Na]+	AYSXZIKXSXNVGJ	InChI=1S/C33H39N3O6/c1-21-8-5-6-11-27(21)34-30(39)29(23-14-18-26(38)19-15-23)36(24-9-7-10-24)31(40)28(35-32(41)42-33(2,3)4)20-22-12-16-25(37)17-13-22/h5-6,8,11-19,24,28-29,37-38H,7,9-10,20H2,1-4H3,(H,34,39)(H,35,41)	tert-butyl N-[1-[cyclobutyl-[1-(4-hydroxyphenyl)-2-(2-methylanilino)-2-oxoethyl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]carbamate	CC1=CC=CC=C1NC(=O)C(C2=CC=C(C=C2)O)N(C3CCC3)C(=O)C(CC4=CC=C(C=C4)O)NC(=O)OC(C)(C)C	5.5999999	596.2704712246702																																																		4962
C34H65N5O7	[M + Na]+	Terpenoids	Steroids	Cholestane steroids	0.238965523488249	-237.9577202469501		87.24502474884802	C34H65N5O7	[M + Na]+	CYOGBNAJDIQMAW	InChI=1S/C34H65N5O7/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-35-31(40)27-36-19-21-37(28-32(41)42)23-25-39(30-34(45)46)26-24-38(22-20-36)29-33(43)44/h2-30H2,1H3,(H,35,40)(H,41,42)(H,43,44)(H,45,46)		CCCCCCCCCCCCCCCCCCNC(=O)CN1CCN(CCN(CCN(CC1)CC(=O)O)CC(=O)O)CC(=O)O	0.300000012	678.4778113341123																																																		3616
C13H17N3O8	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides	0.2019265974385924	-125.34425977897072		4.473778218925993	C12H18N5O5P	[M + H]+	DRDNWUKIHBFMNF	InChI=1S/C12H18N5O5P/c1-20-7-3-9(22-8(7)4-21-23(2,18)19)17-6-16-10-11(13)14-5-15-12(10)17/h5-9H,3-4H2,1-2H3,(H,18,19)(H2,13,14,15)		COC1CC(OC1COP(=O)(C)O)N2C=NC3=C(N=CN=C32)N	-0.876057863	344.1101316860041																																																		6796
C6H8N4O7	[M + K]+	Alkaloids	Pseudoalkaloids	Purine alkaloids	0.2267211907572742	-174.83222605120517		40.08102379907629	C9H12O5S2	[M + Na]+	ADULPKHYBXNVCQ	InChI=1S/C9H12O5S2/c1-4-14-9(15)16-6(8(11)13-3)5-7(10)12-2/h5H,4H2,1-3H3	dimethyl (Z)-2-ethoxycarbothioylsulfanylbut-2-enedioate	CCOC(=S)SC(=CC(=O)OC)C(=O)OC	2.0999999	287.0016089605864																																																		4334
C41H70N6O11	[M + H]+	Amino acids and Peptides	Oligopeptides	Lipopeptides	0.0866292050835601	-263.86642294154655		39.14924818468773	C40H80O14	[M + K]+	YCAFYNVGNUIARX	InChI=1S/C40H80O14/c41-17-9-1-5-13-21-47-33-37-38(34-48-22-14-6-2-10-18-42)52-30-26-46-28-32-54-40(36-50-24-16-8-4-12-20-44)39(53-31-27-45-25-29-51-37)35-49-23-15-7-3-11-19-43/h37-44H,1-36H2		C1COC(C(OCCOCCOC(C(OCCO1)COCCCCCCO)COCCCCCCO)COCCCCCCO)COCCCCCCO	1.79999995	823.5174674459422																																																		4901
C26H45NO5	[M + H]+	Fatty acids	Steroids	Cholane steroids	0.1589717598009219	-158.28789489688867		91.43688758387592	C24H47NO5	[M + Na]+	HMCZDCKAEPCEGT	InChI=1S/C24H47NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)25-18-19-29-20-21-30-22-24(27)28/h2-22H2,1H3,(H,25,26)(H,27,28)	AmbotzPEG1203	CCCCCCCCCCCCCCCCCC(=O)NCCOCCOCC(=O)O	7.30000019	452.3365421807867																																																		2945
C26H38O12	[M + H]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids	0.430861149114449	-70.9961173706808		52.51668137023441	C26H38O12	[M + H]+	WZXVJBYHAAKDRT	InChI=1S/C26H38O12/c1-13(8-9-27)4-3-5-14(2)24(34)35-11-15-6-7-16-17(23(32)33)12-36-25(19(15)16)38-26-22(31)21(30)20(29)18(10-28)37-26/h5-6,12-13,16,18-22,25-31H,3-4,7-11H2,1-2H3,(H,32,33)		CC(CCC=C(C)C(=O)OCC1=CCC2C1C(OC=C2C(=O)O)OC3C(C(C(C(O3)CO)O)O)O)CCO	0.0	543.2438301551653	1539.0	2.0	0.46825996	ISDB	http://www.wikidata.org/entity/Q105330303	XLRKOLKRNKXOTP-WLUVJUPWSA-N	InChI=1S/C26H38O12/c1-13(8-10-27)5-4-6-14(2)23(33)35-12-17-19(28)20(29)21(30)25(37-17)38-24-18-15(7-9-26(18,3)34)16(11-36-24)22(31)32/h6,8,11,15,17-21,24-25,27-30,34H,4-5,7,9-10,12H2,1-3H3,(H,31,32)/b13-8+,14-6+/t15-,17-,18-,19-,20+,21-,24+,25+,26+/m1/s1	C/C(=C\CO)CC/C=C(\C)C(=O)OC[C@H]1O[C@@H](O[C@@H]2OC=C(C(=O)O)[C@H]3CC[C@](C)(O)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O	C26H38O12		542.236326656	(1S,4aS,7S,7aS)-7-hydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2E,6E)-8-hydroxy-2,6-dimethylocta-2,6-dienoyl]oxymethyl]oxan-2-yl]oxy-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-4-carboxylic acid	XLRKOLKRNKXOTP	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	http://www.wikidata.org/entity/Q259318	Vitex agnus-castus	988127.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Unknown']	['Vitex']	['Vitex agnus-castus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.8730398416519165	1	126.0	Terpenoids	0.4864864864864865	Monoterpenoids	0.4324324324324324	Secoiridoid monoterpenoids	0.3243243243243243	5247
C16H21NO5S	[M + Na]+	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.0678046178877513	-232.47635794140427		7.41950913651855	C16H21NO5S	[M + Na]+	LQXQLFJTFAQSJZ	InChI=1S/C16H21NO5S/c1-5-22-16(21)23-9-13(18)17(12(4)15(19)20)14-10(2)7-6-8-11(14)3/h6-8,12H,5,9H2,1-4H3,(H,19,20)		CCOC(=O)SCC(=O)N(C1=C(C=CC=C1C)C)C(C)C(=O)O	3.20000005	362.1032022090925																																																		4488
C28H44N4O4	[M + H]+	Alkaloids	Pseudoalkaloids	Cyclic peptides	0.199703538776139	-168.05443998203216		209.79345572838943	C24H51N2O5P	[M + Na]+	GMXXTVNRUURJKF	InChI=1S/C24H51N2O5P/c1-4-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-24(27)25-22-23-30-32(28,29)31-26(5-2)6-3/h4-23H2,1-3H3,(H,25,27)(H,28,29)		CCCCCCCCCCCCCCCCCC(=O)NCCOP(=O)(O)ON(CC)CC	5.4000001	501.34293860581727	2069.0	1.0	0.2830836	ISDB									QRRBJZIHSLBXNV							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.1323343515396118	1	1344.0							6760
C26H45N5O8	[M + H]+	Alkaloids	Sphingolipids	Simple amide alkaloids	0.2483346085372825	-207.3656036309929		136.3490818413574	C26H45N5O8	[M + H]+	KUZHMKJLDQHLJK	InChI=1S/C26H45N5O8/c1-13(2)10-16(27)22(34)30-21(15(5)6)24(36)28-17(11-14(3)4)23(35)29-18(12-20(32)33)25(37)31-9-7-8-19(31)26(38)39/h13-19,21H,7-12,27H2,1-6H3,(H,28,36)(H,29,35)(H,30,34)(H,32,33)(H,38,39)		CC(C)CC(C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)N1CCCC1C(=O)O)N	0.550855339	556.3332326524567																																																		3995
C17H28O5	[M + H]+	Polyketides	Linear polyketides	Prostaglandins	0.0735457786311398	-78.9680589714416		98.59167542276356	C17H28O5	[M + H]+	ZAIIHFVLTRMONS	InChI=1S/C17H28O5/c1-14(13-17(21)22)12-15(18)10-8-6-4-2-3-5-7-9-11-16(19)20/h13H,2-12H2,1H3,(H,19,20)(H,21,22)		CC(=CC(=O)O)CC(=O)CCCCCCCCCCC(=O)O	3.9000001	313.20097281632565	788.0	2.0	0.29908368	ISDB	http://www.wikidata.org/entity/Q105154807	LOMSXVINRLISDY-VYRBHSGPSA-N	InChI=1S/C17H28O5/c1-2-3-4-5-6-7-8-9-10-11-12-14(17(21)22)16(20)15(19)13-18/h8-12,15-16,18-20H,2-7,13H2,1H3,(H,21,22)/t15-,16?/m0/s1	CCCCCCCC=CC=CC=C(C(=O)O)C(O)[C@@H](O)CO	C17H28O5		312.193673996	2-[(2S)-1,2,3-trihydroxypropyl]tetradeca-2,4,6-trienoic acid	LOMSXVINRLISDY	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	http://www.wikidata.org/entity/Q104084013	Cytospora populina	5316824.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Diaporthales']	['Valsaceae']	['Unknown']	['Cytospora']	['Cytospora populina']		['Eukaryota']									1	0	2.196334719657898	1	327.0	Terpenoids	0.3111111111111111	Sesquiterpenoids	0.2222222222222222	Bicyclogermacrane sesquiterpenoids	0.0888888888888888	3053
